diseaseid	disease_name	geneid	symbol	uniprot	protein_class	gene_name	dsi	dpi	pli	score	el	ei	npmids	nsnps	year_initial	year_final
C0021368	Inflammation	9966	TNFSF15	O95150	signaling molecule	TNF superfamily member 15	0.584	0.621	0.0030333	0.31	no reported evidence		2	0	2004	2011
C0021368	Inflammation	4313	MMP2	P08253	"hydrolase; protease"	matrix metallopeptidase 2	0.373	0.862	0.83952	0.31	no reported evidence		2	0	2006	2015
C0021368	Inflammation	114548	NLRP3	Q96P20		NLR family pyrin domain containing 3	0.435	0.862	0.00070387	0.31	no reported evidence		3	0	2002	2012
C0021368	Inflammation	177	AGER	Q15109	"cell adhesion molecule; receptor"	advanced glycosylation end-product specific receptor	0.472	0.724	3.44E-16	0.31	no reported evidence		2	0	2004	2012
C0021368	Inflammation	4057	LTF	P02788	"hydrolase; protease; receptor; transfer/carrier protein"	lactotransferrin	0.573	0.69	5.54E-22	0.31	no reported evidence		2	0	2002	2005
C0021368	Inflammation	2833	CXCR3	P49682		C-X-C motif chemokine receptor 3	0.481	0.793	0.17201	0.31	no reported evidence		2	0	2003	2004
C0021368	Inflammation	623	BDKRB1	P46663	receptor	bradykinin receptor B1	0.642	0.517	0.0043971	0.31	no reported evidence		2	0	2005	2010
C0021368	Inflammation	624	BDKRB2	P30411	receptor	bradykinin receptor B2	0.619	0.621	0.13329	0.31	no reported evidence		2	0	2005	2010
C0021368	Inflammation	335	APOA1	P02647		apolipoprotein A1	0.463	0.759	0.00054889	0.31	no reported evidence		2	0	2008	2011
C0021368	Inflammation	196	AHR	P35869	"receptor; transcription factor"	aryl hydrocarbon receptor	0.462	0.862	0.99998	0.31	no reported evidence		3	0	2005	2016
C0021368	Inflammation	6863	TAC1	P20366		tachykinin precursor 1	0.473	0.793	0.75489	0.31	no reported evidence		4	0	1997	2011
C0021368	Inflammation	9536	PTGES	O14684		prostaglandin E synthase	0.562	0.69	0.65991	0.31	no reported evidence		2	0	2003	2015
C0021368	Inflammation	3717	JAK2	O60674		Janus kinase 2	0.43	0.69	0.47291	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	7128	TNFAIP3	P21580	"hydrolase; nucleic acid binding; protease"	TNF alpha induced protein 3	0.538	0.621	0.99979	0.3	no reported evidence		1	0	2014	2014
C0021368	Inflammation	11277	TREX1	Q9NSU2		three prime repair exonuclease 1	0.58	0.621	0.42238	0.3	no reported evidence		1	0	2006	2006
C0021368	Inflammation	5020	OXT	P01178	signaling molecule	oxytocin/neurophysin I prepropeptide	0.528	0.621	0.71566	0.3	no reported evidence		1	0	2009	2009
C0021368	Inflammation	8989	TRPA1	O75762		transient receptor potential cation channel subfamily A member 1	0.639	0.621	9.22E-33	0.3	no reported evidence		1	0	2010	2010
C0021368	Inflammation	3665	IRF7	Q92985	"nucleic acid binding; transcription factor"	interferon regulatory factor 7	0.6	0.69	2.17E-14	0.3	no reported evidence		1	0	2010	2010
C0021368	Inflammation	4615	MYD88	Q99836		myeloid differentiation primary response 88	0.47	0.828	0.13594	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	7161	TP73	O15350	transcription factor	tumor protein p73	0.472	0.724	0.99736	0.3	no reported evidence		1	0	2017	2017
C0021368	Inflammation	2588	GALNS	P34059	hydrolase	galactosamine (N-acetyl)-6-sulfatase	0.616	0.655	4.39E-10	0.3	no reported evidence		1	0	1995	1995
C0021368	Inflammation	8942	KYNU	Q16719	hydrolase	kynureninase	0.707	0.448	2.78E-15	0.3	no reported evidence		1	0	2006	2006
C0021368	Inflammation	3552	IL1A	P01583		interleukin 1 alpha	0.366	0.931	0.00014857	0.3	no reported evidence		2	0	2011	2012
C0021368	Inflammation	30009	TBX21	Q9UL17	"nucleic acid binding; transcription factor"	T-box 21	0.582	0.759	0.99635	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	11221	DUSP10	Q9Y6W6		dual specificity phosphatase 10	0.762	0.31	0.79161	0.3	no reported evidence		1	0	2007	2007
C0021368	Inflammation	1906	EDN1	P05305	signaling molecule	endothelin 1	0.417	0.828	0.45733	0.3	no reported evidence		1	0	2013	2013
C0021368	Inflammation	9971	NR1H4	Q96RI1	"nucleic acid binding; receptor; transcription factor"	nuclear receptor subfamily 1 group H member 4	0.522	0.655	0.0012509	0.3	no reported evidence		1	0	2017	2017
C0021368	Inflammation	10019	SH2B3	Q9UQQ2		SH2B adaptor protein 3	0.575	0.552	6.70E-05	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	7538	ZFP36	P26651	nucleic acid binding	ZFP36 ring finger protein	0.559	0.586	0.76823	0.3	no reported evidence		1	0	2003	2003
C0021368	Inflammation	2625	GATA3	P23771	"nucleic acid binding; transcription factor"	GATA binding protein 3	0.477	0.793	0.89505	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	9373	PLAA	Q9Y263	enzyme modulator	phospholipase A2 activating protein	0.752	0.241	0.51387	0.3	no reported evidence		1	0	2001	2001
C0021368	Inflammation	2056	EPO	P01588		erythropoietin	0.425	0.759	0.012147	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	10747	MASP2	O00187	"hydrolase; protease"	mannan binding lectin serine peptidase 2	0.642	0.655	3.59E-14	0.3	no reported evidence		1	0	2003	2003
C0021368	Inflammation	1978	EIF4EBP1	Q13541	nucleic acid binding	eukaryotic translation initiation factor 4E binding protein 1	0.529	0.793	0.21356	0.3	no reported evidence		1	0	2016	2016
C0021368	Inflammation	1958	EGR1	P18146	"nucleic acid binding; transcription factor"	early growth response 1	0.459	0.793	0.3269	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	4879	NPPB	P16860		natriuretic peptide B	0.567	0.552	9.13E-06	0.3	no reported evidence		1	0	2010	2010
C0021368	Inflammation	2920	CXCL2	P19875	signaling molecule	C-X-C motif chemokine ligand 2	0.555	0.69	4.22E-07	0.3	no reported evidence		1	0	2013	2013
C0021368	Inflammation	9311	ASIC3	Q9UHC3	transporter	acid sensing ion channel subunit 3	0.799	0.207	1.77E-07	0.3	no reported evidence		1	0	2001	2001
C0021368	Inflammation	9948	WDR1	O75083	cytoskeletal protein	WD repeat domain 1	0.713	0.483	0.99977	0.3	no reported evidence		1	0	2007	2007
C0021368	Inflammation	7249	TSC2	P49815	enzyme modulator	TSC complex subunit 2	0.463	0.69	1	0.3	no reported evidence		1	0	2016	2016
C0021368	Inflammation	1395	CRHR2	Q13324		corticotropin releasing hormone receptor 2	0.596	0.655	3.76E-16	0.3	no reported evidence		1	0	2006	2006
C0021368	Inflammation	6351	CCL4	"P13236;Q8NHW4"	signaling molecule	C-C motif chemokine ligand 4	0.526	0.862	0.20866	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	6348	CCL3	P10147	signaling molecule	C-C motif chemokine ligand 3	0.522	0.828	0.36096	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	407004	MIR22			microRNA 22	0.554	0.621		0.3	no reported evidence		1	0	2017	2017
C0021368	Inflammation	282617	IFNL3	Q8IZI9		interferon lambda 3	0.557	0.793	2.15E-08	0.3	no reported evidence		1	0	2017	2017
C0021368	Inflammation	796	CALCA	"P01258;P06881"	signaling molecule	calcitonin related polypeptide alpha	0.456	0.828	0.013536	0.3	no reported evidence		1	0	2001	2001
C0021368	Inflammation	834	CASP1	P29466	"enzyme modulator; hydrolase; protease"	caspase 1	0.468	0.828	0.00018521	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	55829	SELENOS	Q9BQE4		selenoprotein S	0.672	0.448		0.3	no reported evidence		1	0	2006	2006
C0021368	Inflammation	6356	CCL11	P51671	signaling molecule	C-C motif chemokine ligand 11	0.586	0.655	0.0098159	0.3	no reported evidence		1	0	2014	2014
C0021368	Inflammation	207	AKT1	P31749	"calcium-binding protein; kinase; transfer/carrier protein; transferase"	AKT serine/threonine kinase 1	0.355	0.862	0.97917	0.3	no reported evidence		2	0	2014	2016
C0021368	Inflammation	916	CD3E	P07766		CD3e molecule	0.648	0.448	0.0004171	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	7037	TFRC	P02786	"hydrolase; protease"	transferrin receptor	0.471	0.759	0.00029785	0.3	no reported evidence		1	0	2006	2006
C0021368	Inflammation	5770	PTPN1	P18031		protein tyrosine phosphatase, non-receptor type 1	0.569	0.621	0.77909	0.3	no reported evidence		1	0	2017	2017
C0021368	Inflammation	412	STS	P08842	hydrolase	steroid sulfatase	0.487	0.828	0.76889	0.3	no reported evidence		1	0	2014	2014
C0021368	Inflammation	540	ATP7B	P35670	"hydrolase; transporter"	ATPase copper transporting beta	0.547	0.621	5.37E-30	0.3	no reported evidence		1	0	2013	2013
C0021368	Inflammation	6774	STAT3	P40763	"nucleic acid binding; transcription factor"	signal transducer and activator of transcription 3	0.358	0.862	1	0.3	no reported evidence		3	0	2011	2014
C0021368	Inflammation	114131	UCN3	Q969E3		urocortin 3	0.659	0.586	0.047751	0.3	no reported evidence		1	0	2006	2006
C0021368	Inflammation	6820	SULT2B1	O00204		sulfotransferase family 2B member 1	0.663	0.31	0.41331	0.3	no reported evidence		1	0	2017	2017
C0021368	Inflammation	6097	RORC	P51449		RAR related orphan receptor C	0.609	0.655	0.99977	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	6584	SLC22A5	O76082		solute carrier family 22 member 5	0.663	0.552	1.53E-15	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	284	ANGPT1	Q15389	signaling molecule	angiopoietin 1	0.495	0.69	0.99071	0.3	no reported evidence		1	0	2008	2008
C0021368	Inflammation	7018	TF	P02787	"hydrolase; protease; receptor; transfer/carrier protein"	transferrin	0.548	0.724	4.29E-08	0.3	no reported evidence		1	0	2010	2010
C0021368	Inflammation	54982	CLN6	Q9NWW5		CLN6, transmembrane ER protein	0.663	0.207	0.00037943	0.3	no reported evidence		1	0	2013	2013
C0021368	Inflammation	5244	ABCB4	P21439	"hydrolase; protease"	ATP binding cassette subfamily B member 4	0.555	0.517	4.55E-07	0.3	no reported evidence		1	0	2012	2012
C0021368	Inflammation	1280	COL2A1	P02458		collagen type II alpha 1 chain	0.474	0.724	1	0.3	no reported evidence		2	0	2014	2017
C0021368	Inflammation	1947	EFNB1	P98172	signaling molecule	ephrin B1	0.579	0.69	0.90026	0.3	no reported evidence		1	0	2014	2014
C0021368	Inflammation	51083	GAL	P22466		galanin and GMAP prepropeptide	0.529	0.759	4.79E-06	0.3	no reported evidence		1	0	2008	2008
C0021368	Inflammation	40	ASIC2	Q16515	transporter	acid sensing ion channel subunit 2	0.743	0.276	0.99873	0.3	no reported evidence		1	0	2001	2001
C0021368	Inflammation	41	ASIC1	P78348	transporter	acid sensing ion channel subunit 1	0.681	0.448	0.88377	0.3	no reported evidence		1	0	2001	2001
C0021368	Inflammation	407040	MIR34A			microRNA 34a	0.47	0.759		0.3	no reported evidence		1	0	2014	2014
C0021368	Inflammation	406999	MIR217			microRNA 217	0.63	0.414		0.3	no reported evidence		1	0	2016	2016
C0021368	Inflammation	1141	CHRNB2	P17787	"receptor; transporter"	cholinergic receptor nicotinic beta 2 subunit	0.619	0.207	0.00077392	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	1137	CHRNA4	P43681	"receptor; transporter"	cholinergic receptor nicotinic alpha 4 subunit	0.521	0.586	0.00011281	0.3	no reported evidence		1	0	2011	2011
C0021368	Inflammation	5734	PTGER4	P35408	receptor	prostaglandin E receptor 4	0.58	0.517	0.95608	0.3	no reported evidence		1	0	2008	2008
C0021368	Inflammation	7039	TGFA	P01135	signaling molecule	transforming growth factor alpha	0.447	0.724	0.74028	0.3	no reported evidence		1	0	2002	2002
C0021368	Inflammation	183	AGT	P01019	enzyme modulator	angiotensinogen	0.406	0.862	3.87E-08	0.3	no reported evidence		3	0	2006	2016
C0021368	Inflammation	885	CCK	P06307		cholecystokinin	0.513	0.655	3.93E-05	0.3	no reported evidence		1	0	2004	2004
C0021368	Inflammation	12	SERPINA3	P01011	enzyme modulator	serpin family A member 3	0.572	0.69	8.07E-14	0.2	no reported evidence		1	0	2009	2009
C0021368	Inflammation	8638	OASL	Q15646	"defense/immunity protein; nucleic acid binding; transferase"	2'-5'-oligoadenylate synthetase like	0.799	0.276	1.94E-11	0.1	no reported evidence		0	1		
C0021368	Inflammation	6927	HNF1A	P20823	"nucleic acid binding; transcription factor"	HNF1 homeobox A	0.515	0.621	0.95679	0.1	no reported evidence		0	4		
C0021368	Inflammation	6364	CCL20	P78556	signaling molecule	C-C motif chemokine ligand 20	0.535	0.655	0.00027348	0.06	no reported evidence		6	0	2002	2008
C0021368	Inflammation	4790	NFKB1	P19838		nuclear factor kappa B subunit 1	0.365	0.931	1	0.04	no reported evidence		4	0	2002	2006
C0021368	Inflammation	5624	PROC	P04070	"hydrolase; protease"	protein C, inactivator of coagulation factors Va and VIIIa	0.645	0.586	9.90E-05	0.04	no reported evidence		4	0	2005	2008
C0021368	Inflammation	6376	CX3CL1	P78423	signaling molecule	C-X3-C motif chemokine ligand 1	0.533	0.759	0.88477	0.04	no reported evidence		4	0	2002	2007
C0021368	Inflammation	5657	PRTN3	P24158	"hydrolase; protease"	proteinase 3	0.58	0.586	3.55E-05	0.04	no reported evidence		4	0	2002	2004
C0021368	Inflammation	3606	IL18	Q14116		interleukin 18	0.404	0.862	0.029184	0.04	no reported evidence		4	0	2004	2006
C0021368	Inflammation	51561	IL23A	Q9NPF7	signaling molecule	interleukin 23 subunit alpha	0.479	0.724	0.36909	0.04	no reported evidence		4	0	2005	2008
C0021368	Inflammation	7057	THBS1	P07996		thrombospondin 1	0.448	0.759	0.99996	0.04	no reported evidence		4	0	2003	2008
C0021368	Inflammation	1991	ELANE	P08246	"hydrolase; protease"	elastase, neutrophil expressed	0.506	0.759	0.0013719	0.04	no reported evidence		4	0	2002	2007
C0021368	Inflammation	6696	SPP1	P10451		secreted phosphoprotein 1	0.391	0.862	1.05E-06	0.03	no reported evidence		3	0	2007	2008
C0021368	Inflammation	3627	CXCL10	P02778	signaling molecule	C-X-C motif chemokine ligand 10	0.437	0.828	0.39009	0.03	no reported evidence		3	0	2001	2007
C0021368	Inflammation	3308	HSPA4	P34932		heat shock protein family A (Hsp70) member 4	0.441	0.793	0.9999	0.03	no reported evidence		3	0	2007	2008
C0021368	Inflammation	133	ADM	P35318	signaling molecule	adrenomedullin	0.471	0.724	0.034615	0.03	no reported evidence		3	0	2004	2007
C0021368	Inflammation	90865	IL33	O95760		interleukin 33	0.503	0.793	7.75E-10	0.03	no reported evidence		3	0	2007	2009
C0021368	Inflammation	5054	SERPINE1	P05121	enzyme modulator	serpin family E member 1	0.384	0.793	0.047491	0.03	no reported evidence		3	0	2005	2008
C0021368	Inflammation	958	CD40	P25942		CD40 molecule	0.433	0.862	0.85939	0.03	no reported evidence		3	0	2004	2008
C0021368	Inflammation	4846	NOS3	P29474		nitric oxide synthase 3	0.401	0.862	8.89E-07	0.03	no reported evidence		3	0	2002	2009
C0021368	Inflammation	10392	NOD1	Q9Y239	"hydrolase; nucleic acid binding; protease; transcription factor"	nucleotide binding oligomerization domain containing 1	0.598	0.655	1.67E-17	0.03	no reported evidence		3	0	2003	2008
C0021368	Inflammation	56729	RETN	Q9HD89		resistin	0.542	0.759	0.039671	0.03	no reported evidence		3	0	2008	2009
C0021368	Inflammation	727	C5	P01031	"defense/immunity protein; enzyme modulator; signaling molecule"	complement C5	0.611	0.655	6.10E-24	0.03	no reported evidence		3	0	2002	2008
C0021368	Inflammation	5970	RELA	Q04206	"nucleic acid binding; transcription factor"	RELA proto-oncogene, NF-kB subunit	0.456	0.828	0.99942	0.03	no reported evidence		3	0	2002	2007
C0021368	Inflammation	64127	NOD2	Q9HC29	"hydrolase; nucleic acid binding; protease; transcription factor"	nucleotide binding oligomerization domain containing 2	0.458	0.862	1.64E-30	0.03	no reported evidence		3	0	2006	2008
C0021368	Inflammation	5328	PLAU	P00749	"hydrolase; protease"	plasminogen activator, urokinase	0.434	0.69	2.14E-06	0.03	no reported evidence		3	0	2003	2008
C0021368	Inflammation	1235	CCR6	P51684		C-C motif chemokine receptor 6	0.522	0.724	0.0062043	0.03	no reported evidence		3	0	2002	2007
C0021368	Inflammation	4314	MMP3	P08254	"hydrolase; protease"	matrix metallopeptidase 3	0.439	0.793	4.93E-15	0.03	no reported evidence		3	0	2006	2009
C0021368	Inflammation	1269	CNR2	P34972	receptor	cannabinoid receptor 2	0.554	0.621	6.98E-06	0.03	no reported evidence		3	0	2007	2008
C0021368	Inflammation	3827	KNG1	P01042	enzyme modulator	kininogen 1	0.53	0.862	3.61E-10	0.02	no reported evidence		2	0	2007	2008
C0021368	Inflammation	6280	S100A9	P06702	"calcium-binding protein; signaling molecule"	S100 calcium binding protein A9	0.488	0.793	0.46546	0.02	no reported evidence		2	0	2003	2006
C0021368	Inflammation	7177	TPSAB1	"P20231;Q15661"	"calcium-binding protein; enzyme modulator; hydrolase; protease; receptor; signaling molecule"	tryptase alpha/beta 1	0.762	0.345	1.23E-13	0.02	no reported evidence		2	0	2003	2005
C0021368	Inflammation	6403	SELP	P16109		selectin P	0.519	0.724	4.27E-32	0.02	no reported evidence		2	0	2006	2006
C0021368	Inflammation	5228	PGF	P49763	signaling molecule	placental growth factor	0.52	0.621	0.135	0.02	no reported evidence		2	0	2003	2008
C0021368	Inflammation	7130	TNFAIP6	P98066		TNF alpha induced protein 6	0.639	0.448	1.06E-06	0.02	no reported evidence		2	0	2003	2005
C0021368	Inflammation	7132	TNFRSF1A	P19438		TNF receptor superfamily member 1A	0.443	0.862	0.99585	0.02	no reported evidence		2	0	2007	2008
C0021368	Inflammation	7157	TP53	P04637	transcription factor	tumor protein p53	0.251	0.897	0.16862	0.02	no reported evidence		2	0	2005	2008
C0021368	Inflammation	4780	NFE2L2	Q16236	"cytoskeletal protein; hydrolase; nucleic acid binding; transcription factor"	nuclear factor, erythroid 2 like 2	0.42	0.862	0.0035489	0.02	no reported evidence		2	0	2008	2008
C0021368	Inflammation	5443	POMC	P01189		proopiomelanocortin	0.382	0.862	9.39E-05	0.02	no reported evidence		2	0	2003	2004
C0021368	Inflammation	6404	SELPLG	Q14242		selectin P ligand	0.621	0.517	0.18618	0.02	no reported evidence		2	0	2004	2004
C0021368	Inflammation	7424	VEGFC	P49767	signaling molecule	vascular endothelial growth factor C	0.501	0.69	0.51138	0.02	no reported evidence		2	0	2004	2007
C0021368	Inflammation	4306	NR3C2	P08235	"nucleic acid binding; receptor; transcription factor"	nuclear receptor subfamily 3 group C member 2	0.52	0.69	0.80843	0.02	no reported evidence		2	0	2005	2006
C0021368	Inflammation	6288	SAA1	P0DJI8	"defense/immunity protein; transfer/carrier protein; transporter"	serum amyloid A1	0.602	0.655	0.014396	0.02	no reported evidence		2	0	2005	2007
C0021368	Inflammation	6352	CCL5	P13501	signaling molecule	C-C motif chemokine ligand 5	0.429	0.793	0.0016641	0.02	no reported evidence		2	0	2003	2005
C0021368	Inflammation	6285	S100B	P04271	"calcium-binding protein; signaling molecule"	S100 calcium binding protein B	0.443	0.862	0.046548	0.02	no reported evidence		2	0	2007	2007
C0021368	Inflammation	4502	MT2A	P02795		metallothionein 2A	0.588	0.621	1.42E-05	0.02	no reported evidence		2	0	2004	2005
C0021368	Inflammation	4153	MBL2	P11226	receptor	mannose binding lectin 2	0.415	0.828	0.014648	0.02	no reported evidence		2	0	2007	2008
C0021368	Inflammation	7450	VWF	P04275	enzyme modulator	von Willebrand factor	0.462	0.724	7.85E-24	0.02	no reported evidence		2	0	2002	2005
C0021368	Inflammation	6564	SLC15A1	P46059	transporter	solute carrier family 15 member 1	0.743	0.414	1.42E-12	0.02	no reported evidence		2	0	2004	2006
C0021368	Inflammation	4908	NTF3	P20783	signaling molecule	neurotrophin 3	0.525	0.621	0.88635	0.02	no reported evidence		2	0	2003	2006
C0021368	Inflammation	6366	CCL21	O00585	signaling molecule	C-C motif chemokine ligand 21	0.55	0.69	0.034342	0.02	no reported evidence		2	0	2007	2007
C0021368	Inflammation	8995	TNFSF18	Q9UNG2		TNF superfamily member 18	0.815	0.207	0.00021916	0.02	no reported evidence		2	0	2006	2006
C0021368	Inflammation	57817	HAMP	P81172		hepcidin antimicrobial peptide	0.499	0.759	0.0082683	0.02	no reported evidence		2	0	2003	2004
C0021368	Inflammation	3082	HGF	P14210	"hydrolase; protease"	hepatocyte growth factor	0.394	0.793	0.99958	0.02	no reported evidence		2	0	2002	2006
C0021368	Inflammation	960	CD44	P16070		CD44 molecule (Indian blood group)	0.389	0.862	2.10E-07	0.02	no reported evidence		2	0	2008	2008
