entrezgene	hgnc_symbol	dis_score	GC_score
7538	ZFP36	0.3	2.44
114131	UCN3	0.3	1.99
916	CD3E	0.3	1.96
6820	SULT2B1	0.3	1.95
5770	PTPN1	0.3	1.72
54982	CLN6	0.3	1.56
1978	EIF4EBP1	0.3	1.51
41	ASIC1	0.3	1.39
412	STS	0.3	1.16
11221	DUSP10	0.3	0.71
9311	ASIC3	0.3	0.66
40	ASIC2	0.3	0.66
1137	CHRNA4	0.3	0.47
1141	CHRNB2	0.3	0.38
12	SERPINA3	0.2	9.73
6927	HNF1A	0.1	2.58
8638	OASL	0.1	0.58
6364	CCL20	0.06	11.45
1991	ELANE	0.04	38.16
5657	PRTN3	0.04	33.8
4790	NFKB1	0.04	27.82
3606	IL18	0.04	23.53
51561	IL23A	0.04	12.22
6376	CX3CL1	0.04	9.75
7057	THBS1	0.04	5.79
5624	PROC	0.04	5.01
64127	NOD2	0.03	44.97
3627	CXCL10	0.03	18.28
4314	MMP3	0.03	16.01
958	CD40	0.03	14.76
56729	RETN	0.03	14.76
5970	RELA	0.03	13.65
5054	SERPINE1	0.03	13.4
10392	NOD1	0.03	12.11
90865	IL33	0.03	12.02
6696	SPP1	0.03	11.66
727	C5	0.03	11.25
4846	NOS3	0.03	9.38
1235	CCR6	0.03	9
5328	PLAU	0.03	6.47
3308	HSPA4	0.03	6.2
133	ADM	0.03	6.14
1269	CNR2	0.03	5.4
4908	NTF3	0.02	NA
6366	CCL21	0.02	NA
8740	TNFSF14	0.02	NA
634	CEACAM1	0.02	NA
7132	TNFRSF1A	0.02	32.17
959	CD40LG	0.02	28.6
6352	CCL5	0.02	24.29
50943	FOXP3	0.02	23.1
1080	CFTR	0.02	22.39
6288	SAA1	0.02	19.94
6280	S100A9	0.02	18.66
2919	CXCL1	0.02	17.46
3827	KNG1	0.02	17.21
7450	VWF	0.02	16.39
6403	SELP	0.02	15.03
301	ANXA1	0.02	14.83
1673	DEFB4A	0.02	14.82
4153	MBL2	0.02	13.95
7157	TP53	0.02	13.14
1432	MAPK14	0.02	12.2
3600	IL15	0.02	11.85
5443	POMC	0.02	10.55
10673	TNFSF13B	0.02	10.42
7130	TNFAIP6	0.02	10.39
51738	GHRL	0.02	9.02
351	APP	0.02	8.84
10333	TLR6	0.02	8.25
4780	NFE2L2	0.02	8.2
3082	HGF	0.02	7.92
6404	SELPLG	0.02	7.43
960	CD44	0.02	7.34
57817	HAMP	0.02	7.2
6285	S100B	0.02	6.4
5228	PGF	0.02	5.95
1471	CST3	0.02	5.93
8743	TNFSF10	0.02	5.45
6564	SLC15A1	0.02	5.06
652	BMP4	0.02	4.67
708	C1QBP	0.02	4.34
2246	FGF1	0.02	4.19
7177	TPSAB1	0.02	3.94
8995	TNFSF18	0.02	3.94
64806	IL25	0.02	3.87
7424	VEGFC	0.02	2.85
1410	CRYAB	0.02	2.78
4306	NR3C2	0.02	2.76
91966	CXorf40A	0.02	2.52
4502	MT2A	0.02	1.52
7079	TIMP4	0.01	NA
51305	KCNK9	0.01	NA
55937	APOM	0.01	NA
54567	DLL4	0.01	NA
116519	APOA5	0.01	NA
260434	PYDC1	0.01	NA
338322	NLRP10	0.01	NA
7532	YWHAG	0.01	NA
79865	TREML2	0.01	NA
80274	SCUBE1	0.01	NA
6699	SPRR1B	0.01	NA
90070	LACRT	0.01	NA
339221	ENPP7	0.01	NA
7423	VEGFB	0.01	NA
8862	APLN	0.01	NA
7533	YWHAH	0.01	NA
7818	DAP3	0.01	NA
27179	IL36A	0.01	NA
29943	PADI1	0.01	NA
10628	TXNIP	0.01	NA
11019	LIAS	0.01	NA
23054	NCOA6	0.01	NA
1237	CCR8	0.01	NA
2288	FKBP4	0.01	NA
2160	F11	0.01	NA
2155	F7	0.01	NA
343	AQP8	0.01	NA
274	BIN1	0.01	NA
2335	FN1	0.01	NA
5562	PRKAA1	0.01	NA
3556	IL1RAP	0.01	NA
2957	GTF2A1	0.01	NA
4210	MEFV	0.01	39.89
355	FAS	0.01	27.26
6401	SELE	0.01	26.01
7412	VCAM1	0.01	25.37
5265	SERPINA1	0.01	25.3
4312	MMP1	0.01	24.91
5243	ABCB1	0.01	23.47
356	FASLG	0.01	22.01
720	C4A	0.01	21.65
3592	IL12A	0.01	21.05
7098	TLR3	0.01	20.85
2212	FCGR2A	0.01	20.05
3593	IL12B	0.01	19.26
2147	F2	0.01	18.64
718	C3	0.01	17.37
4582	MUC1	0.01	17.34
1116	CHI3L1	0.01	16.59
51816	ADA2	0.01	15.79
7056	THBD	0.01	15.67
1511	CTSG	0.01	14.47
3566	IL4R	0.01	14.32
3659	IRF1	0.01	13.89
115650	TNFRSF13C	0.01	13.39
2908	NR3C1	0.01	13.39
100	ADA	0.01	13.25
6283	S100A12	0.01	12.98
3329	HSPD1	0.01	11.98
7432	VIP	0.01	11.84
11251	PTGDR2	0.01	11.8
2214	FCGR3A	0.01	11.76
671	BPI	0.01	11.71
6441	SFTPD	0.01	11.66
6387	CXCL12	0.01	11.49
1435	CSF1	0.01	11.28
5806	PTX3	0.01	11.23
1499	CTNNB1	0.01	11.18
5444	PON1	0.01	11.18
721	C4B	0.01	10.75
999	CDH1	0.01	10.53
361	AQP4	0.01	10.38
5327	PLAT	0.01	10.36
847	CAT	0.01	10.21
1236	CCR7	0.01	10.12
50616	IL22	0.01	10.08
5580	PRKCD	0.01	9.96
4311	MME	0.01	9.76
23495	TNFRSF13B	0.01	9.42
6357	CCL13	0.01	9.41
8742	TNFSF12	0.01	9.28
3683	ITGAL	0.01	9.28
820	CAMP	0.01	9.04
9332	CD163	0.01	8.97
9021	SOCS3	0.01	8.87
3269	HRH1	0.01	8.71
4088	SMAD3	0.01	8.69
10344	CCL26	0.01	8.61
51284	TLR7	0.01	8.61
3091	HIF1A	0.01	8.51
10135	NAMPT	0.01	8.44
3479	IGF1	0.01	8.29
2321	FLT1	0.01	8.27
2896	GRN	0.01	8.23
54	ACP5	0.01	8.05
1392	CRH	0.01	8.02
5728	PTEN	0.01	7.91
1508	CTSB	0.01	7.84
1950	EGF	0.01	7.79
7052	TGM2	0.01	7.77
6362	CCL18	0.01	7.74
1026	CDKN1A	0.01	7.63
2252	FGF7	0.01	7.55
1238	ACKR2	0.01	7.54
54210	TREM1	0.01	7.45
940	CD28	0.01	7.45
8174	MADCAM1	0.01	7.33
2209	FCGR1A	0.01	7.33
4684	NCAM1	0.01	7.26
285	ANGPT2	0.01	7.2
6373	CXCL11	0.01	7.02
5175	PECAM1	0.01	6.99
1268	CNR1	0.01	6.85
2532	ACKR1	0.01	6.55
4092	SMAD7	0.01	6.47
5196	PF4	0.01	6.45
6372	CXCL6	0.01	6.38
7448	VTN	0.01	6.34
1557	CYP2C19	0.01	6.29
2358	FPR2	0.01	6.27
103	ADAR	0.01	6.17
5159	PDGFRB	0.01	6.17
7305	TYROBP	0.01	6.16
2688	GH1	0.01	6.11
2520	GAST	0.01	6.08
728	C5AR1	0.01	6.01
246778	IL27	0.01	5.92
8651	SOCS1	0.01	5.9
8398	PLA2G6	0.01	5.78
185	AGTR1	0.01	5.76
1755	DMBT1	0.01	5.57
6278	S100A7	0.01	5.56
5176	SERPINF1	0.01	5.51
9235	IL32	0.01	5.47
1270	CNTF	0.01	5.29
5354	PLP1	0.01	5.29
6346	CCL1	0.01	5.28
23411	SIRT1	0.01	5.23
608	TNFRSF17	0.01	5.23
3320	HSP90AA1	0.01	5.21
3976	LIF	0.01	5.19
332	BIRC5	0.01	5.09
5155	PDGFB	0.01	5.08
197	AHSG	0.01	5.03
961	CD47	0.01	5.01
968	CD68	0.01	4.97
160364	CLEC12A	0.01	4.92
9420	CYP7B1	0.01	4.9
51094	ADIPOR1	0.01	4.87
79602	ADIPOR2	0.01	4.82
1588	CYP19A1	0.01	4.75
5646	PRSS3	0.01	4.71
9547	CXCL14	0.01	4.66
4150	MAZ	0.01	4.65
6318	SERPINB4	0.01	4.61
8741	TNFSF13	0.01	4.59
1361	CPB2	0.01	4.48
1999	ELF3	0.01	4.46
10365	KLF2	0.01	4.43
5241	PGR	0.01	4.43
1667	DEFA1	0.01	4.4
4319	MMP10	0.01	4.36
50604	IL20	0.01	4.2
5979	RET	0.01	4.17
5154	PDGFA	0.01	4.09
1829	DSG2	0.01	3.99
3672	ITGA1	0.01	3.99
131450	CD200R1	0.01	3.89
249	ALPL	0.01	3.73
710	SERPING1	0.01	3.72
1668	DEFA3	0.01	3.7
2643	GCH1	0.01	3.62
58191	CXCL16	0.01	3.57
51330	TNFRSF12A	0.01	3.51
952	CD38	0.01	3.5
1191	CLU	0.01	2.81
6363	CCL19	0.01	2.77
8784	TNFRSF18	0.01	2.76
4267	CD99	0.01	2.76
682	BSG	0.01	2.7
283	ANG	0.01	2.63
719	C3AR1	0.01	2.54
9423	NTN1	0.01	2.51
3984	LIMK1	0.01	2.49
440068	CARD17	0.01	2.44
6781	STC1	0.01	2.42
50848	F11R	0.01	2.4
3001	GZMA	0.01	2.4
116	ADCYAP1	0.01	2.39
325	APCS	0.01	1.99
9308	CD83	0.01	1.91
155	ADRB3	0.01	1.89
4880	NPPC	0.01	1.89
5764	PTN	0.01	1.85
360	AQP3	0.01	1.81
7114	TMSB4X	0.01	1.8
337	APOA4	0.01	1.8
25824	PRDX5	0.01	1.77
7980	TFPI2	0.01	1.74
2323	FLT3LG	0.01	1.72
5245	PHB	0.01	1.72
775	CACNA1C	0.01	1.71
3816	KLK1	0.01	1.68
2204	FCAR	0.01	1.6
4345	CD200	0.01	1.6
3604	TNFRSF9	0.01	1.55
80854	SETD7	0.01	1.48
962	CD48	0.01	1.44
26298	EHF	0.01	1.37
5281	PIGF	0.01	1.37
9	NAT1	0.01	1.35
6317	SERPINB3	0.01	1.3
3777	KCNK3	0.01	1.24
3698	ITIH2	0.01	1.18
1652	DDT	0.01	1.16
10859	LILRB1	0.01	0.72
4909	NTF4	0.01	0.71
3084	NRG1	0.01	0.71
64078	SLC28A3	0.01	0.66
347	APOD	0.01	0.66
364	AQP7	0.01	0.5
5331	PLCB3	0.01	0.47
283748	PLA2G4D	0.01	0.43
9153	SLC28A2	0.01	0.43
57758	SCUBE2	0.01	0.21
683	BST1	0.01	0.21
65997	RASL11B	0.01	0.12
