ensembl_gene_id	hgnc_symbol	logFC_RETT_TC	PValue_RETT_TC	entrezgene
ENSG00000177595	PIDD1	0.794376556	0.000806195	55367
ENSG00000184254	ALDH1A3	0.896211984	0.000817567	220
ENSG00000238278	ALG1L6P	1.032701173	0.000823666	NA
ENSG00000188807	TMEM201	0.479656435	0.000831379	199953
ENSG00000168944	CEP120	-0.392207006	0.000831466	153241
ENSG00000119383	PTPA	0.651700695	0.000834889	5524
ENSG00000029534	ANK1	0.737656815	0.000840514	286
ENSG00000139266	MARCH9	-0.391607146	0.000841262	92979
ENSG00000227887	RPS26P13	0.523132184	0.000841781	NA
ENSG00000204653	ASPDH	0.614384165	0.00084211	554235
ENSG00000157502	MUM1L1	-0.859672824	0.00085752	139221
ENSG00000127084	FGD3	-0.528142335	0.000879593	89846
ENSG00000164512	ANKRD55	-0.624275823	0.000879832	79722
ENSG00000131931	THAP1	-0.537723721	0.000903571	55145
ENSG00000188529	SRSF10	-0.569802278	0.000932193	10772
ENSG00000165102	HGSNAT	-0.40766371	0.000939873	138050
ENSG00000170293	CMTM8	-0.692530998	0.000939998	152189
ENSG00000131558	EXOC4	-0.497348953	0.000949337	60412
ENSG00000086730	LAT2	-0.476264096	0.000950179	7462
ENSG00000109339	MAPK10	-1.52065392	0.000951621	5602
ENSG00000144406	UNC80	-0.429931144	0.000957017	285175
ENSG00000196821	C6orf106	-0.811578427	0.000967643	64771
ENSG00000225585	IPPKP1	0.377893127	0.000982256	NA
ENSG00000100122	CRYBB1	-0.401793778	0.00100918	1414
ENSG00000106560	GIMAP2	-0.337695813	0.001036258	26157
ENSG00000275395	FCGBP	-0.668271608	0.001040288	8857
ENSG00000136381	IREB2	-0.38959879	0.001060636	3658
ENSG00000139567	ACVRL1	-0.986622497	0.001064492	94
ENSG00000163273	NPPC	-0.379269191	0.001068598	4880
ENSG00000145685	LHFPL2	-0.516168305	0.001068677	10184
ENSG00000110274	CEP164	0.813651038	0.001072625	22897
ENSG00000106526	ACTR3C	0.321099827	0.001082664	653857
ENSG00000168234	TTC39C	0.616829005	0.001084444	125488
ENSG00000100644	HIF1A	0.469666941	0.001089949	3091
ENSG00000103490	PYCARD	-0.556412181	0.001090634	29108
ENSG00000124493	GRM4	0.489858436	0.001109615	2914
ENSG00000066294	CD84	-0.439712405	0.001118616	8832
ENSG00000099999	RNF215	0.562066315	0.001120059	200312
ENSG00000171988	JMJD1C	-0.606615284	0.001133237	221037
ENSG00000134152	KATNBL1	0.434317433	0.001171687	79768
ENSG00000133069	TMCC2	0.734361305	0.001206572	9911
ENSG00000162980	ARL5A	-0.606049209	0.001206784	26225
ENSG00000174992	ZG16	0.342460246	0.001214205	653808
ENSG00000133627	ACTR3B	-0.805081808	0.001237779	57180
ENSG00000125730	C3	-0.628259247	0.001243638	718
ENSG00000173369	C1QB	-1.455833072	0.00125645	713
ENSG00000228696	ARL17B	0.717434671	0.001256992	100996709
ENSG00000228696	ARL17B	0.717434671	0.001256992	100506084
ENSG00000228696	ARL17B	0.717434671	0.001256992	51326
ENSG00000137752	CASP1	-0.477610844	0.001262776	834
ENSG00000108984	MAP2K6	-0.351095721	0.001273498	5608
ENSG00000183914	DNAH2	-0.406485734	0.001281118	146754
ENSG00000183773	AIFM3	0.865718571	0.001296003	150209
ENSG00000075340	ADD2	-0.488794976	0.001302132	119
ENSG00000173227	SYT12	0.583196208	0.001306453	91683
ENSG00000180251	SLC9A4	0.429291491	0.001325103	389015
ENSG00000123505	AMD1	-0.88511831	0.001327046	262
ENSG00000197093	GAL3ST4	-0.73643046	0.001334788	79690
ENSG00000104064	GABPB1	0.40508767	0.001337324	2553
ENSG00000140678	ITGAX	-0.42685105	0.001337754	3687
ENSG00000073969	NSF	-0.552697038	0.001342821	4905
ENSG00000143499	SMYD2	0.530411111	0.001349923	56950
ENSG00000178573	MAF	-0.720012449	0.001359056	4094
ENSG00000159840	ZYX	0.7974222	0.00135937	7791
ENSG00000122986	HVCN1	-0.401497783	0.001368168	84329
ENSG00000103415	HMOX2	0.475860996	0.001384108	3163
ENSG00000166664	CHRFAM7A	-0.718599118	0.001396967	89832
ENSG00000227232	WASH7P	0.491763838	0.0014025	653635
ENSG00000053702	NRIP2	0.589147539	0.001412503	83714
ENSG00000090612	ZNF268	0.326364476	0.001416174	10795
ENSG00000140968	IRF8	-0.500188851	0.001440731	3394
ENSG00000159140	SON	0.353153235	0.001443948	6651
ENSG00000159733	ZFYVE28	0.430211928	0.001446397	57732
ENSG00000187091	PLCD1	0.61734121	0.001451865	5333
ENSG00000079841	RIMS1	-0.91590153	0.001471451	22999
ENSG00000134215	VAV3	1.330260868	0.001478857	10451
ENSG00000136167	LCP1	-0.725944531	0.001484316	3936
ENSG00000143369	ECM1	0.705720313	0.00152366	1893
ENSG00000103460	TOX3	-0.456794383	0.001533559	27324
ENSG00000163125	RPRD2	0.645836258	0.001551346	23248
ENSG00000204482	LST1	-0.611460593	0.001567246	7940
ENSG00000184828	ZBTB7C	0.554200843	0.001573382	201501
ENSG00000104691	UBXN8	-0.558319215	0.001579031	7993
ENSG00000080709	KCNN2	-0.439824779	0.001589849	3781
ENSG00000153551	CMTM7	-0.622863006	0.001591001	112616
ENSG00000166257	SCN3B	-0.989807994	0.001598734	55800
ENSG00000114026	OGG1	-0.594083326	0.001603884	4968
ENSG00000268043	NBPF12	0.3484475	0.001623466	149013
ENSG00000100284	TOM1	0.551451747	0.001638356	10043
ENSG00000104043	ATP8B4	-0.384961174	0.001665263	79895
ENSG00000181984	GOLGA8CP	0.662205684	0.001668254	729786
ENSG00000006459	KDM7A	0.512231792	0.00167555	80853
ENSG00000214595	EML6	-0.401954216	0.001690602	400954
ENSG00000018189	RUFY3	-0.65613504	0.001710153	22902
ENSG00000169059	VCX3A	0.449137789	0.00172731	51481
ENSG00000112237	CCNC	-0.730896545	0.001740848	892
ENSG00000119614	VSX2	0.29679026	0.001753644	338917
ENSG00000133119	RFC3	-0.365912406	0.001763548	5983
ENSG00000186577	SMIM29	-0.362265939	0.001769797	221491
ENSG00000179222	MAGED1	-0.404235196	0.001772537	9500
ENSG00000065989	PDE4A	0.526569212	0.001774826	5141
ENSG00000154330	PGM5	-0.695898816	0.001781424	5239
ENSG00000213199	ASIC3	0.537640487	0.001793685	9311
ENSG00000177463	NR2C2	-0.627765573	0.001798615	7182
ENSG00000174514	MFSD4A	-0.871028812	0.00180377	148808
ENSG00000113555	PCDH12	-0.393309536	0.001818014	51294
ENSG00000164794	KCNV1	-0.508932588	0.001844363	27012
ENSG00000173933	RBM4	-0.583484411	0.001863819	5936
ENSG00000156052	GNAQ	-1.126280867	0.001874918	2776
ENSG00000150627	WDR17	-0.41495771	0.001901533	116966
ENSG00000196071	OR2L13	-0.764005352	0.001908758	284521
ENSG00000134121	CHL1	-1.388409689	0.001911411	10752
ENSG00000165533	TTC8	-0.5330297	0.001914208	123016
ENSG00000082684	SEMA5B	0.559488541	0.001915591	54437
ENSG00000155307	SAMSN1	-0.395038348	0.001965347	388813
ENSG00000155307	SAMSN1	-0.395038348	0.001965347	64092
ENSG00000165731	RET	0.381721364	0.001973766	5979
ENSG00000106682	EIF4H	-1.235288041	0.001974385	7458
ENSG00000117632	STMN1	-1.184463466	0.001980929	3925
ENSG00000143569	UBAP2L	-0.627293434	0.001981563	9898
ENSG00000111641	NOP2	0.430736832	0.001994341	4839
ENSG00000187134	AKR1C1	-0.619600439	0.001997555	1645
ENSG00000101901	ALG13	-0.665664144	0.002010068	79868
ENSG00000143119	CD53	-0.430819053	0.002016029	963
ENSG00000266733	TBC1D29	0.417154797	0.002027555	26083
ENSG00000205810	KLRC3	-0.37602947	0.002031209	3823
ENSG00000204291	COL15A1	-0.291230909	0.002034242	1306
ENSG00000106443	PHF14	-0.482571286	0.002041516	9678
ENSG00000072858	SIDT1	-0.458994391	0.002043312	54847
ENSG00000240463	RPS19P3	0.454237257	0.002045967	NA
ENSG00000114279	FGF12	-1.04155012	0.002062678	2257
ENSG00000169213	RAB3B	-0.772843907	0.002075287	5865
ENSG00000144868	TMEM108	-0.516487467	0.002118868	66000
ENSG00000170291	ELP5	0.33398097	0.002123908	23587
ENSG00000151176	PLBD2	0.651322593	0.002163172	196463
ENSG00000159182	PRAC1	0.303639652	0.002190521	84366
ENSG00000110066	KMT5B	0.380133374	0.002206862	51111
ENSG00000204116	CHIC1	-0.385724163	0.002225724	53344
ENSG00000164129	NPY5R	-0.496819139	0.002227166	4889
ENSG00000116521	SCAMP3	0.424192925	0.00223545	10067
ENSG00000236491		0.322025634	0.002244139	NA
ENSG00000275391	MIR6770-3	0.356688242	0.002245177	102466259
ENSG00000274512	TBC1D3L	0.568189992	0.002247668	101060376
ENSG00000274512	TBC1D3L	0.568189992	0.002247668	729873
ENSG00000139209	SLC38A4	0.333281222	0.002257797	55089
ENSG00000140564	FURIN	0.554401728	0.002276381	5045
ENSG00000119684	MLH3	0.341510711	0.002289347	27030
ENSG00000141497	ZMYND15	-0.388326923	0.002300671	84225
ENSG00000042317	SPATA7	-0.388371501	0.002314723	55812
ENSG00000229944	EIF4EP2	-0.59868381	0.00232006	NA
ENSG00000183751	TBL3	0.396842782	0.002340494	10607
ENSG00000070831	CDC42	-1.163671531	0.002348929	998
ENSG00000100030	MAPK1	-0.483376326	0.00235476	5594
ENSG00000011347	SYT7	0.459074706	0.002358488	9066
ENSG00000175216	CKAP5	-0.652135276	0.002362326	9793
ENSG00000109381	ELF2	-0.400883312	0.002387217	1998
ENSG00000197889	MEIG1	0.284515096	0.002392479	644890
ENSG00000270074		-0.284662933	0.002397612	NA
ENSG00000102606	ARHGEF7	-0.745333808	0.002403587	8874
ENSG00000025796	SEC63	-0.427453441	0.00240662	11231
ENSG00000205444		0.327683632	0.002410255	497048
ENSG00000239719		0.411347685	0.002430274	NA
ENSG00000181541	MAB21L2	0.914345763	0.002438643	10586
ENSG00000215475	SIAH3	-0.451318502	0.002444946	283514
ENSG00000129682	FGF13	-0.361130702	0.002454634	2258
ENSG00000115216	NRBP1	0.452955336	0.002462096	29959
ENSG00000166863	TAC3	-0.8080187	0.002474723	6866
ENSG00000156875	MFSD14A	-0.681018217	0.002500628	64645
ENSG00000172889	EGFL7	0.426075367	0.002519304	51162
ENSG00000163697	APBB2	-0.41025133	0.002520914	323
ENSG00000070404	FSTL3	0.450453571	0.002551471	10272
ENSG00000125378	BMP4	0.56996976	0.002572255	652
ENSG00000168434	COG7	0.444002741	0.002574807	91949
ENSG00000188517	COL25A1	0.294615727	0.002585705	84570
ENSG00000179148	ALOXE3	0.360155992	0.002596214	59344
ENSG00000185024	BRF1	0.663398931	0.002602158	2972
ENSG00000138650	PCDH10	-0.753312465	0.002646678	57575
ENSG00000069493	CLEC2D	-0.447042379	0.00265131	29121
ENSG00000137193	PIM1	0.645029295	0.002661416	5292
ENSG00000068745	IP6K2	-0.674017317	0.002664307	51447
ENSG00000171502	COL24A1	-0.730016343	0.00267993	255631
ENSG00000106415	GLCCI1	-0.390536824	0.002684214	113263
ENSG00000109534	GAR1	-0.371441034	0.002744103	54433
ENSG00000188324	OR6C6	-0.35399497	0.002753468	283365
ENSG00000139318	DUSP6	-0.724038038	0.002768993	1848
ENSG00000168395	ING5	-0.355565922	0.002779137	84289
ENSG00000143740	SNAP47	0.46474794	0.002804338	116841
ENSG00000166250	CLMP	0.311904686	0.002812948	79827
ENSG00000113532	ST8SIA4	-0.392640423	0.002825633	7903
ENSG00000132744	ACY3	-0.476210739	0.002862784	91703
ENSG00000147753	TTTY7	-0.312237385	0.002885325	246122
ENSG00000264112		0.488387636	0.002924862	NA
ENSG00000101773	RBBP8	0.39557236	0.002949454	5932
ENSG00000168802	CHTF8	0.426476926	0.002959282	54921
ENSG00000109255	NMU	-0.658454076	0.002969934	10874
ENSG00000119688	ABCD4	-0.286975308	0.002975744	5826
ENSG00000266028	SRGAP2	-0.475121796	0.002987918	23380
ENSG00000203709	C1orf132	0.598342726	0.00299838	NA
ENSG00000174876	AMY1B	-0.389178177	0.003043811	277
ENSG00000176007	FAM220BP	-0.334580083	0.00304384	NA
ENSG00000258707		-0.729174104	0.003077576	NA
ENSG00000157216	SSBP3	0.780395279	0.00308216	23648
ENSG00000106367	AP1S1	-1.841504788	0.003120146	1174
ENSG00000102225	CDK16	-0.326352683	0.00312973	5127
ENSG00000198399	ITSN2	0.279405186	0.00318142	50618
ENSG00000131002	TXLNGY	0.338842949	0.003184033	246126
ENSG00000164418	GRIK2	-0.462644678	0.003203215	2898
ENSG00000185989	RASA3	0.553897402	0.003208807	22821
ENSG00000162433	AK4	-0.521385159	0.003212647	205
ENSG00000196503	ARL9	-0.63059049	0.003217604	132946
ENSG00000140526	ABHD2	0.302429509	0.003245456	11057
ENSG00000207716	MIR572	-0.41035367	0.003245704	693157
ENSG00000100060	MFNG	-0.497742345	0.003268267	4242
ENSG00000196154	S100A4	-0.493583833	0.003271163	6275
ENSG00000117697	NSL1	0.326570682	0.003272283	25936
ENSG00000160194	NDUFV3	-0.286431402	0.003283963	4731
ENSG00000148835	TAF5	0.33509386	0.003285934	6877
ENSG00000159189	C1QC	-1.183054302	0.003292247	714
ENSG00000148110	MFSD14B	-0.618708946	0.003321293	84641
ENSG00000132958	TPTE2	-0.415494615	0.003346152	93492
ENSG00000151846	PABPC3	-0.472526583	0.003347225	5042
ENSG00000197903	HIST1H2BK	-0.464431345	0.003356035	85236
ENSG00000163171	CDC42EP3	-0.349897303	0.003358517	10602
ENSG00000255993	PSMC1P9	-0.713286613	0.003379204	NA
ENSG00000268034		-0.686153765	0.003379405	NA
ENSG00000139645	ANKRD52	0.395098161	0.003392741	283373
ENSG00000100227	POLDIP3	-0.356657159	0.003397823	84271
ENSG00000116017	ARID3A	0.443949368	0.003401398	1820
ENSG00000112511	PHF1	0.577945079	0.003449016	5252
ENSG00000198026	ZNF335	0.453382488	0.003479753	63925
ENSG00000103742	IGDCC4	0.633723591	0.003480004	57722
ENSG00000231171	LINC01098	-0.356670168	0.003508917	285501
ENSG00000150175	FRMPD2B	-1.344745478	0.003510496	NA
ENSG00000187678	SPRY4	-0.354479697	0.003512694	81848
ENSG00000175318	GRAMD2A	-0.344263959	0.003520089	196996
ENSG00000179862	CITED4	0.46913398	0.003524749	163732
ENSG00000197461	PDGFA	0.301394193	0.003526616	5154
ENSG00000197622	CDC42SE1	-0.311003523	0.00357777	56882
ENSG00000154016	GRAP	-0.592181987	0.003581838	10750
ENSG00000174574	AKIRIN1	-0.875227814	0.003587025	79647
ENSG00000145248	SLC10A4	-0.558828495	0.003588542	201780
ENSG00000144161	ZC3H8	-0.491166044	0.003592516	84524
ENSG00000099917	MED15	0.445375032	0.003611899	51586
ENSG00000133106	EPSTI1	-0.457568146	0.003627943	94240
ENSG00000225406		0.440851155	0.003637792	NA
ENSG00000135486	HNRNPA1	-0.592212669	0.003643939	3178
ENSG00000239264	TXNDC5	-0.429985242	0.003646281	81567
ENSG00000114019	AMOTL2	0.323216356	0.003660514	51421
ENSG00000105383	CD33	-0.400466689	0.003683593	945
ENSG00000101187	SLCO4A1	0.31491872	0.003692318	28231
ENSG00000164122	ASB5	0.32746952	0.00369238	140458
ENSG00000198743	SLC5A3	-0.341290368	0.003696844	6526
ENSG00000157680	DGKI	-0.592477497	0.003716424	9162
ENSG00000167785	ZNF558	0.386783937	0.003743152	148156
ENSG00000234903		0.267155179	0.003746072	NA
ENSG00000142733	MAP3K6	0.520429409	0.003758753	9064
ENSG00000243491		0.399956927	0.003769696	NA
ENSG00000137161	CNPY3	-0.452073633	0.003784738	10695
ENSG00000105428	ZNRF4	0.328217455	0.003826955	148066
ENSG00000110429	FBXO3	-0.838795149	0.003881916	26273
ENSG00000136531	SCN2A	-0.700545616	0.003905311	6326
ENSG00000229373	LINC00452	0.332844715	0.003912268	643365
ENSG00000175274	TP53I11	0.480799098	0.003929493	9537
ENSG00000146587	RBAK	-0.389107227	0.003932847	57786
ENSG00000247077	PGAM5	-0.385805511	0.003948901	192111
ENSG00000135341	MAP3K7	-0.577812439	0.003991987	6885
ENSG00000104695	PPP2CB	-0.938956823	0.003992601	5516
ENSG00000249311	TERF1P3	-0.288884264	0.004003255	NA
ENSG00000169282	KCNAB1	-0.591220292	0.004005805	7881
ENSG00000125388	GRK4	0.558953013	0.004018732	2868
ENSG00000016864	GLT8D1	0.318581809	0.004031473	55830
ENSG00000133318	RTN3	-0.475065174	0.004067632	10313
ENSG00000103253	HAGHL	0.484150096	0.004082463	84264
ENSG00000151067	CACNA1C	0.603527284	0.004095356	775
ENSG00000182481	KPNA2	-0.594461691	0.004098775	3838
ENSG00000229334		-0.312292033	0.004119895	NA
ENSG00000113328	CCNG1	0.396078428	0.004126349	900
ENSG00000132466	ANKRD17	-0.739656697	0.00412967	26057
ENSG00000047579	DTNBP1	-0.52872203	0.00415207	84062
ENSG00000129515	SNX6	-0.511668146	0.004175932	58533
ENSG00000244405	ETV5	-0.658499505	0.004188767	2119
ENSG00000175115	PACS1	0.527706812	0.004194774	55690
ENSG00000204371	EHMT2	0.475136498	0.004196062	10919
ENSG00000198189	HSD17B11	-0.292686607	0.004227409	51170
ENSG00000124203	ZNF831	-0.318118927	0.004237255	128611
ENSG00000162729	IGSF8	0.436244546	0.004244135	93185
ENSG00000082269	FAM135A	0.275990094	0.004284695	57579
ENSG00000127329	PTPRB	-0.430991866	0.004285757	5787
ENSG00000177324	BEND2	0.328201196	0.004296378	139105
ENSG00000106066	CPVL	-0.640444234	0.004297799	54504
ENSG00000102878	HSF4	0.388308779	0.004302433	3299
ENSG00000186481	ANKRD20A5P	0.353057115	0.004305737	NA
ENSG00000260490	MYL12BP1	-0.503757791	0.004306889	NA
ENSG00000181038	METTL23	-0.560216365	0.004309581	124512
ENSG00000101230	ISM1	-0.454709066	0.004322584	140862
ENSG00000222046	DCDC2B	-0.36309488	0.004342945	149069
ENSG00000165886	UBTD1	0.525806348	0.004351142	80019
ENSG00000166006	KCNC2	-0.599145462	0.004351454	3747
ENSG00000254614		-0.338958395	0.004355786	728975
ENSG00000164871	SPAG11B	0.287821183	0.004356654	10407
ENSG00000111679	PTPN6	-0.379211806	0.004363716	5777
ENSG00000197584	KCNMB2	-0.321075818	0.00437116	10242
ENSG00000061918	GUCY1B3	-0.66351548	0.004398767	2983
ENSG00000133519	ZDHHC8P1	0.675149641	0.004410812	NA
ENSG00000178162	FAR2P2	-0.315304381	0.00441209	NA
ENSG00000260053	ABCB10P4	-0.346970945	0.004419681	NA
ENSG00000146556	WASH2P	0.314116121	0.004466956	NA
ENSG00000112033	PPARD	0.540882131	0.004486449	5467
ENSG00000103351	CLUAP1	-0.378529382	0.004502989	23059
ENSG00000068831	RASGRP2	-0.423558782	0.004509539	10235
ENSG00000162650	ATXN7L2	0.640566077	0.0045618	127002
ENSG00000197136	PCNX3	0.561209467	0.004582676	399909
ENSG00000162607	USP1	-0.758690047	0.004590145	7398
ENSG00000115661	STK16	-0.518625255	0.004599473	8576
ENSG00000109445	ZNF330	0.314734008	0.004607131	27309
ENSG00000163935	SFMBT1	-0.349395157	0.00465315	51460
ENSG00000152315	KCNK13	-0.3175336	0.004673303	56659
ENSG00000182583	VCX	0.417940725	0.004681555	26609
ENSG00000188846	RPL14	0.619504344	0.004709551	9045
ENSG00000160741	CRTC2	0.519081499	0.004725072	200186
ENSG00000249948	GBA3	-0.280635995	0.004788343	57733
ENSG00000229689		0.339564206	0.004809909	NA
ENSG00000105497	ZNF175	0.477214413	0.004815979	7728
ENSG00000152034	MCHR2	-0.427289456	0.004825097	84539
ENSG00000185436	IFNLR1	0.366634224	0.0048393	163702
ENSG00000187013	C17orf82	0.361293604	0.004868732	388407
ENSG00000185862	EVI2B	-0.488039964	0.004884265	2124
ENSG00000156804	FBXO32	-0.706385985	0.004891909	114907
ENSG00000180440	SERTM1	-0.96725434	0.004926593	400120
ENSG00000164692	COL1A2	-0.438143204	0.004927809	1278
ENSG00000143226	FCGR2A	-0.442553824	0.0049376	9103
ENSG00000143226	FCGR2A	-0.442553824	0.0049376	2212
ENSG00000233836		-0.280432298	0.004949682	NA
ENSG00000113719	ERGIC1	-0.304742538	0.004960794	57222
ENSG00000146243	IRAK1BP1	-0.467286907	0.004969811	134728
ENSG00000144713	RPL32	0.281252481	0.004974337	6161
ENSG00000217950	NOC2LP2	0.593145418	0.004981132	NA
ENSG00000261269		-0.370043136	0.004988475	NA
ENSG00000100614	PPM1A	-0.959786917	0.004997469	5494
ENSG00000176887	SOX11	0.382001556	0.005006494	6664
ENSG00000160563	MED27	-0.826745335	0.00502555	9442
ENSG00000196544	BORCS6	0.41115913	0.005050266	54785
ENSG00000082458	DLG3	-0.568372739	0.005088832	1741
ENSG00000110077	MS4A6A	-0.368827161	0.005145308	64231
ENSG00000163694	RBM47	-0.33911862	0.005150176	54502
ENSG00000238227	TMEM250	0.40407158	0.005178721	90120
ENSG00000145860	RNF145	-0.421119703	0.005187044	153830
ENSG00000234419	CICP13	0.269528278	0.00520407	NA
ENSG00000156976	EIF4A2	-0.743560925	0.005205657	1974
ENSG00000158373	HIST1H2BD	-0.494797182	0.005221458	3017
ENSG00000196954	CASP4	0.285136482	0.005224187	837
ENSG00000169508	GPR183	-0.405775885	0.005225902	1880
ENSG00000256660	CLEC12B	0.279029848	0.005242013	387837
ENSG00000060558	GNA15	-0.690901262	0.005249705	2769
ENSG00000004660	CAMKK1	0.53565543	0.005259387	84254
ENSG00000187554	TLR5	-0.358162659	0.005268144	7100
ENSG00000136839	OR13C9	0.296584049	0.005274604	286362
ENSG00000119977	TCTN3	-0.578939553	0.005278891	26123
ENSG00000182667	NTM	-0.38253863	0.005279481	50863
ENSG00000177182	CLVS1	-0.345981377	0.005294769	157807
ENSG00000169629	RGPD8	-0.674333268	0.005299225	727851
ENSG00000171621	SPSB1	0.566192658	0.00530228	80176
ENSG00000135387	CAPRIN1	-0.956733382	0.005308383	4076
ENSG00000075790	BCAP29	-0.708168722	0.005311096	55973
ENSG00000184557	SOCS3	0.415325521	0.005331516	9021
ENSG00000180089	TMEM86B	0.527341946	0.005341312	255043
