ensembl_gene_id	logFC_ICM	PValue_ICM	hgnc_symbol	entrezgene
ENSG00000010803	-0.151115911	0.355058408	SCMH1	22955
ENSG00000010810	-0.050698865	0.782137987	FYN	2534
ENSG00000010818	-0.893560382	0.002325008	HIVEP2	3097
ENSG00000010932	0.021924244	0.973484427	FMO1	2326
ENSG00000011007	-0.181968666	0.243768465	ELOA	6924
ENSG00000011009	0.199379223	0.311023221	LYPLA2	11313
ENSG00000011021	-0.027252692	0.865489965	CLCN6	1185
ENSG00000011028	0.29599494	0.226420235		9902
ENSG00000011083	0.334811689	0.604266161	SLC6A7	6534
ENSG00000011105	0.288401808	0.31001439	TSPAN9	10867
ENSG00000011114	-0.146805544	0.442788374	BTBD7	55727
ENSG00000011132	0.674188189	0.003649145	APBA3	9546
ENSG00000011143	0.703593869	0.003202751	MKS1	54903
ENSG00000011198	-1.051145216	0.00363996	ABHD5	51099
ENSG00000011201	-0.4256932	0.215404035	ANOS1	3730
ENSG00000011243	0.081674546	0.716749759	AKAP8L	26993
ENSG00000011258	0.09846527	0.617819577	MBTD1	54799
ENSG00000011260	-0.388327609	0.191626213	UTP18	51096
ENSG00000011275	-0.32686306	0.108863569	RNF216	54476
ENSG00000011295	-0.344133579	0.040215446	TTC19	54902
ENSG00000011304	0.141868678	0.461366829	PTBP1	5725
ENSG00000011332	0.948614404	0.220858903	DPF1	8193
ENSG00000011347	-0.144049302	0.448494439	SYT7	9066
ENSG00000011376	0.263845444	0.13589001	LARS2	23395
ENSG00000011405	-0.301134784	0.035444396	PIK3C2A	5286
ENSG00000011422	-1.259756788	0.011800346	PLAUR	5329
ENSG00000011426	0.6609572	0.200831685	ANLN	54443
ENSG00000011451	0.1084405	0.581273889	WIZ	58525
ENSG00000011454	0.155240474	0.26458819	RABGAP1	2844
ENSG00000011454	0.155240474	0.26458819	RABGAP1	23637
ENSG00000011465	-0.654855698	0.07032136	DCN	1634
ENSG00000011478	-0.196422543	0.557995956	QPCTL	54814
ENSG00000011485	-0.222027379	0.343366208	PPP5C	5536
ENSG00000011523	-0.212600234	0.327702869	CEP68	23177
ENSG00000011566	0.009807302	0.949358585	MAP4K3	8491
ENSG00000011600	-0.034101178	0.920403529	TYROBP	7305
ENSG00000011638	-1.002888872	0.002043112	TMEM159	57146
ENSG00000012048	0.202246903	0.350039393	BRCA1	672
ENSG00000012061	0.131788437	0.493688391	ERCC1	2067
ENSG00000012124	-0.002572397	0.995815362	CD22	933
ENSG00000012174	-0.218584396	0.450088654	MBTPS2	51360
ENSG00000012211	0.434470905	0.052720379	PRICKLE3	4007
ENSG00000012223	-0.564499288	0.062433228	LTF	4057
ENSG00000012232	-0.25270415	0.100792186	EXTL3	2137
ENSG00000012504	0.505776835	0.39632708	NR1H4	9971
ENSG00000012660	-0.714018838	0.014772899	ELOVL5	60481
ENSG00000012779	-0.85878259	0.05521339	ALOX5	240
ENSG00000012817	0.227745237	0.638312839	KDM5D	8284
ENSG00000012822	-0.244696666	0.102422138	CALCOCO1	57658
ENSG00000012963	-0.243292188	0.096355436	UBR7	55148
ENSG00000012983	-0.448708838	0.042155698	MAP4K5	11183
ENSG00000013016	-0.028124621	0.902845246	EHD3	30845
ENSG00000013275	0.111076725	0.571411923	PSMC4	5704
ENSG00000013288	-0.12078318	0.480734237	MAN2B2	23324
ENSG00000013293	1.333811034	0.041081536	SLC7A14	57709
ENSG00000013297	0.100087015	0.78436823	CLDN11	5010
ENSG00000013306	0.474928467	0.025114837	SLC25A39	51629
ENSG00000013364	-0.169436681	0.520273888	MVP	9961
ENSG00000013374	0.006335365	0.967528902	NUB1	51667
ENSG00000013375	-0.436638399	0.061914529	PGM3	5238
ENSG00000013392	0.260416961	0.436717384	RWDD2A	112611
ENSG00000013441	0.068333283	0.820933978	CLK1	1195
ENSG00000013503	0.233588741	0.235089666	POLR3B	55703
ENSG00000013523	-0.129822203	0.527647394	ANGEL1	23357
ENSG00000013561	-0.436303797	0.033821778	RNF14	9604
ENSG00000013563	-0.322407309	0.09809958	DNASE1L1	1774
ENSG00000013573	0.145042184	0.70505824	DDX11	1663
ENSG00000013583	-0.486611047	0.081599288	HEBP1	50865
ENSG00000013588	-1.768494951	0.005195701	GPRC5A	9052
ENSG00000013619	-0.16633332	0.605789038	MAMLD1	10046
ENSG00000013725	0.885726936	0.155024488	CD6	923
ENSG00000013810	0.412995275	0.202068586	TACC3	10460
ENSG00000014123	-0.00783879	0.958443897	UFL1	23376
ENSG00000014138	-0.405774826	0.096643077	POLA2	23649
ENSG00000014164	0.409297372	0.110770794	ZC3H3	23144
ENSG00000014216	-0.339822194	0.060295213	CAPN1	823
ENSG00000014257	-0.303934351	0.677860955	ACPP	55
ENSG00000014641	-0.309528823	0.302259486	MDH1	4190
ENSG00000014824	-0.371857559	0.131349127	SLC30A9	10463
ENSG00000014914	0.115325525	0.694419169	MTMR11	10903
ENSG00000014919	0.283467821	0.15484558	COX15	1355
ENSG00000015133	-0.085690583	0.693376137	CCDC88C	440193
ENSG00000015153	0.251079905	0.057611438	YAF2	10138
ENSG00000015171	-0.221202888	0.190378112	ZMYND11	10771
ENSG00000015285	0.119398624	0.771581361	WAS	7454
ENSG00000015475	-0.578960503	0.062361779	BID	637
ENSG00000015479	-0.651351505	4.71e-05	MATR3	9782
ENSG00000015520	0.05167994	0.933181379	NPC1L1	29881
ENSG00000015532	0.187281372	0.373262064	XYLT2	64132
ENSG00000015676	0.031079747	0.842149294	NUDCD3	23386
ENSG00000016391	-1.332144699	0.004354843	CHDH	55349
ENSG00000016402	-0.750020142	0.153879389	IL20RA	53832
ENSG00000016864	0.02604697	0.900554016	GLT8D1	55830
ENSG00000017260	0.289467699	0.051994559	ATP2C1	27032
ENSG00000017427	0.141131172	0.581033051	IGF1	3479
ENSG00000017483	-0.6194915	0.154848082	SLC38A5	92745
ENSG00000017797	-0.447395978	0.00705531	RALBP1	10928
ENSG00000018189	-0.036616046	0.828386794	RUFY3	22902
ENSG00000018236	-0.254016582	0.692224441	CNTN1	1272
ENSG00000018280	-0.954282581	0.063185879	SLC11A1	6556
ENSG00000018408	-0.313869179	0.123902787	WWTR1	25937
ENSG00000018510	-0.270915458	0.142418341	AGPS	8540
ENSG00000018610	-0.127758896	0.627094984	CXorf56	63932
ENSG00000018625	-0.117772303	0.599948727	ATP1A2	477
ENSG00000018699	0.150793464	0.450944048	TTC27	55622
ENSG00000018869	-0.178786449	0.549075971	ZNF582	147948
ENSG00000019102	0.34883016	0.349438673	VSIG2	23584
ENSG00000019144	0.367355037	0.078953289	PHLDB1	23187
ENSG00000019169	-1.956398314	0.00504313	MARCO	8685
ENSG00000019485	-0.601558134	0.240644725	PRDM11	56981
ENSG00000019505	-0.516403591	0.230634908	SYT13	57586
ENSG00000019549	-0.746902826	0.019066628	SNAI2	6591
ENSG00000019582	0.109970052	0.612712579	CD74	972
ENSG00000019991	-0.95540398	0.027235417	HGF	3082
ENSG00000019995	-0.132664832	0.351045504	ZRANB1	54764
ENSG00000020129	0.712455228	0.000342355	NCDN	23154
ENSG00000020181	0.207194119	0.299857399	ADGRA2	25960
ENSG00000020256	-0.074892125	0.778339995	ZFP64	55734
ENSG00000020426	0.003650852	0.983464633	MNAT1	4331
ENSG00000020577	-0.073006775	0.603592152	SAMD4A	23034
ENSG00000020633	-0.488557389	0.3232716	RUNX3	864
ENSG00000020922	-0.388069093	0.22611825	MRE11	4361
ENSG00000021300	0.422537551	0.112026485	PLEKHB1	58473
ENSG00000021355	-0.381197965	0.121391778	SERPINB1	1992
ENSG00000021488	-0.419535534	0.524178926	SLC7A9	11136
ENSG00000021574	-0.337581671	0.143702	SPAST	6683
ENSG00000021645	-2.051792046	0.007142779	NRXN3	9369
ENSG00000021762	0.194206056	0.319026766	OSBPL5	114879
ENSG00000021776	-0.357719979	0.188940609	AQR	9716
ENSG00000021826	-0.171482176	0.673475817	CPS1	1373
ENSG00000022267	0.044887183	0.888338498	FHL1	2273
ENSG00000022277	0.097782318	0.570059689	RTF2	51507
ENSG00000022355	0.675582561	0.298256136	GABRA1	2554
ENSG00000022556	1.658446821	0.023787492	NLRP2	55655
ENSG00000022567	-0.012321004	0.95247309	SLC45A4	57210
ENSG00000022840	-0.328839786	0.02735097	RNF10	9921
ENSG00000022976	0.496249923	0.031157872	ZNF839	55778
ENSG00000023041	-0.156702131	0.411424039	ZDHHC6	64429
ENSG00000023171	0.106070937	0.652596257	GRAMD1B	57476
ENSG00000023191	-0.092797359	0.704120914	RNH1	6050
ENSG00000023228	-0.61127963	0.025539625	NDUFS1	4719
ENSG00000023287	-0.044324519	0.785864433	RB1CC1	9821
ENSG00000023318	-0.061647028	0.616424148	ERP44	23071
ENSG00000023330	-0.337680025	0.320567893	ALAS1	211
ENSG00000023445	-1.266564185	0.000924341	BIRC3	330
ENSG00000023516	-0.281736126	0.128058185	AKAP11	11215
ENSG00000023572	-0.530355601	0.068727394	GLRX2	51022
ENSG00000023608	-0.143510038	0.609088619	SNAPC1	6617
ENSG00000023697	-0.098415001	0.711375498	DERA	51071
ENSG00000023734	-0.586701202	0.013204368	STRAP	11171
ENSG00000023839	-0.745061773	0.192221212	ABCC2	1244
ENSG00000023892	0.472236149	0.255551267	DEF6	50619
ENSG00000023902	0.015758408	0.959643681	PLEKHO1	51177
ENSG00000023909	-1.078143197	0.004940041	GCLM	2730
ENSG00000024048	-0.149317745	0.226137537	UBR2	23304
ENSG00000024422	0.398164766	0.052761601	EHD2	30846
ENSG00000024526	0.732368104	0.236961134	DEPDC1	55635
ENSG00000024862	0.710943515	0.006316816	CCDC28A	25901
ENSG00000025039	-0.775299502	0.002699063	RRAGD	58528
ENSG00000025156	-0.393465662	0.035060219	HSF2	3298
ENSG00000025293	-0.466911881	0.018930804	PHF20	51230
ENSG00000025434	0.473167125	0.092775876	NR1H3	10062
ENSG00000025708	-0.308493737	0.360803737	TYMP	1890
ENSG00000025770	0.315713343	0.097471695	NCAPH2	29781
ENSG00000025772	-0.061171896	0.789680873	TOMM34	10953
ENSG00000025796	-0.315118696	0.029504758	SEC63	11231
ENSG00000025800	-0.283365509	0.08453202	KPNA6	23633
ENSG00000026025	0.089283932	0.676878447	VIM	7431
ENSG00000026103	-0.53744884	0.193873501	FAS	355
ENSG00000026297	0.413221596	0.153203998	RNASET2	8635
ENSG00000026508	-1.522973286	0.004603633	CD44	960
ENSG00000026559	-0.922037155	0.232000589	KCNG1	3755
ENSG00000026652	0.506372118	0.063799836	AGPAT4	56895
ENSG00000026751	0.182589381	0.725044814	SLAMF7	57823
ENSG00000026950	-0.385933845	0.169813562	BTN3A1	11119
ENSG00000027001	0.000172769	0.999538568	MIPEP	4285
ENSG00000027075	-0.474527378	0.07702714	PRKCH	5583
ENSG00000027644	0.427645928	0.459880602	INSRR	3645
ENSG00000027697	-0.375648694	0.008968706	IFNGR1	3459
ENSG00000027847	0.441922737	0.044504643	B4GALT7	11285
ENSG00000027869	0.23328229	0.666386522	SH2D2A	9047
ENSG00000028116	-0.34286971	0.080361298	VRK2	7444
ENSG00000028137	-0.121737137	0.584787345	TNFRSF1B	7133
ENSG00000028203	-0.466092243	0.017984062	VEZT	55591
ENSG00000028277	0.088066726	0.824772395	POU2F2	5452
ENSG00000028310	0.05534149	0.693651407	BRD9	65980
ENSG00000028528	-0.016984004	0.877467271	SNX1	6642
ENSG00000028839	-0.721148523	0.014566596	TBPL1	9519
ENSG00000029153	0.599579592	0.059153656	ARNTL2	56938
ENSG00000029363	-0.255290508	0.082295137	BCLAF1	9774
ENSG00000029364	0.014610338	0.919971252	SLC39A9	55334
ENSG00000029534	0.497571751	0.029465297	ANK1	286
ENSG00000029639	0.030066528	0.880737113	TFB1M	51106
ENSG00000029725	-0.211419619	0.139189366	RABEP1	9135
ENSG00000029993	0.864373853	0.02175273	HMGB3	3149
ENSG00000030066	-0.152018862	0.386202426	NUP160	23279
ENSG00000030110	-0.502492794	0.16112012	BAK1	578
ENSG00000030304	0.217157788	0.679751492	MUSK	4593
ENSG00000030419	0.374467058	0.20847079	IKZF2	22807
ENSG00000030582	-0.117381383	0.563503349	GRN	2896
ENSG00000031003	-0.577159772	0.014911715	FAM13B	51306
ENSG00000031081	-0.48596491	0.022628336	ARHGAP31	57514
ENSG00000031691	-0.149717412	0.708036135	CENPQ	55166
ENSG00000031698	-0.446302809	0.057458369	SARS	6301
ENSG00000031823	-0.067152108	0.669834713	RANBP3	8498
ENSG00000032219	0.025947397	0.874883351	ARID4A	5926
ENSG00000032389	-0.219200522	0.283502924	EIPR1	7260
ENSG00000032444	0.278244071	0.137480047	PNPLA6	10908
ENSG00000032742	0.119980697	0.591901226	IFT88	8100
ENSG00000033011	0.251141745	0.39833406	ALG1	56052
ENSG00000033030	0.087056777	0.727201556	ZCCHC8	55596
ENSG00000033050	-0.331005089	0.092824589	ABCF2	10061
ENSG00000033100	0.276388565	0.166269105	CHPF2	54480
ENSG00000033122	-0.160931871	0.751810011	LRRC7	57554
ENSG00000033170	-0.636357844	0.009897585	FUT8	2530
ENSG00000033178	-0.217537391	0.233128771	UBA6	55236
ENSG00000033327	-0.218071279	0.224335386	GAB2	9846
ENSG00000033627	0.084754417	0.591443601	ATP6V0A1	535
ENSG00000033800	-0.394659855	0.042268354	PIAS1	8554
ENSG00000033867	-0.340512295	0.172487357	SLC4A7	9497
