ensembl_gene_id	hgnc_symbol	logFC_RETT_FC	PValue_RETT_FC	entrezgene
ENSG00000164828	SUN1	-0.497574428	0.000358111	23353
ENSG00000107984	DKK1	0.408672576	0.000391331	22943
ENSG00000101958	GLRA2	-0.58147748	0.00041087	2742
ENSG00000231389	HLA-DPA1	-0.948127288	0.000414489	3113
ENSG00000110367	DDX6	0.428525092	0.000415212	1656
ENSG00000170275	CRTAP	0.416465385	0.000417981	10491
ENSG00000241697	TMEFF1	-0.488840697	0.000431072	8577
ENSG00000270861		-0.498578853	0.00043391	NA
ENSG00000133315	MACROD1	0.612113367	0.000451888	28992
ENSG00000140678	ITGAX	-0.486139292	0.000453526	3687
ENSG00000091436	MAP3K20	0.797606167	0.000465004	51776
ENSG00000164794	KCNV1	-0.601512238	0.00047138	27012
ENSG00000168393	DTYMK	-0.497205534	0.000496035	1841
ENSG00000106483	SFRP4	-0.434053317	0.000499665	6424
ENSG00000081985	IL12RB2	-0.471400754	0.00050394	3595
ENSG00000117697	NSL1	0.411379298	0.000507624	25936
ENSG00000114013	CD86	-0.602134642	0.000513698	942
ENSG00000153551	CMTM7	-0.709933684	0.00054621	112616
ENSG00000127084	FGD3	-0.557944145	0.000554225	89846
ENSG00000243414	TICAM2	0.451351516	0.000577467	353376
ENSG00000187122	SLIT1	-0.474289533	0.000616989	6585
ENSG00000177302	TOP3A	0.447356823	0.000665665	7156
ENSG00000168066	SF1	-0.586509037	0.00066997	7536
ENSG00000139874	SSTR1	-0.610387626	0.000735953	6751
ENSG00000118960	HS1BP3	-0.445219937	0.000740875	64342
ENSG00000100226	GTPBP1	0.485021555	0.000767768	9567
ENSG00000188155	KRTAP10-6	0.38110752	0.000768937	386674
ENSG00000072858	SIDT1	-0.518301655	0.000780617	54847
ENSG00000270074		-0.327692582	0.00079543	NA
ENSG00000006704	GTF2IRD1	0.353085039	0.000810251	9569
ENSG00000196935	SRGAP1	0.617123025	0.00082017	57522
ENSG00000235118	FAM237A	-0.416042689	0.000824864	200726
ENSG00000151702	FLI1	-0.447242514	0.000859433	2313
ENSG00000171860	C3AR1	-0.449946215	0.000865459	719
ENSG00000208005	MIR503	-0.459333036	0.000872945	574506
ENSG00000167785	ZNF558	0.46857217	0.000873071	148156
ENSG00000105982	RNF32	-0.449020953	0.000925034	140545
ENSG00000160211	G6PD	0.7251355	0.00092652	2539
ENSG00000187091	PLCD1	0.647279029	0.000995442	5333
ENSG00000078237	TIGAR	-0.568762468	0.000995533	57103
ENSG00000169313	P2RY12	-1.104834024	0.001010587	64805
ENSG00000124535	WRNIP1	-0.736414294	0.00101513	56897
ENSG00000173905	GOLIM4	0.558112565	0.001022011	27333
ENSG00000132470	ITGB4	0.95620688	0.001044202	3691
ENSG00000265354	TIMM23	-0.620912239	0.001052049	100287932
ENSG00000030582	GRN	-0.378653893	0.001059133	2896
ENSG00000106683	LIMK1	0.829643857	0.001067105	3984
ENSG00000143603	KCNN3	1.243324413	0.001071127	3782
ENSG00000175470	PPP2R2D	-0.847379827	0.001121784	55844
ENSG00000279675		0.568981288	0.001124001	NA
ENSG00000204648	SSX9	0.3603024	0.001127018	280660
ENSG00000196646	ZNF136	0.581764453	0.001137476	7695
ENSG00000099840	IZUMO4	0.374646551	0.001146348	113177
ENSG00000140968	IRF8	-0.514783016	0.001147463	3394
ENSG00000276085	CCL3L3	-0.822797035	0.00116254	414062
ENSG00000276085	CCL3L3	-0.822797035	0.00116254	6349
ENSG00000103490	PYCARD	-0.551615729	0.001169097	29108
ENSG00000279382		-0.351038399	0.001188476	NA
ENSG00000162511	LAPTM5	-0.757768257	0.001198713	7805
ENSG00000116774	OLFML3	-0.527703697	0.001216507	56944
ENSG00000213316	LTC4S	-0.535994481	0.00121873	4056
ENSG00000125730	C3	-0.811103269	0.001219274	718
ENSG00000125149	C16orf70	-0.436048417	0.001221393	80262
ENSG00000143369	ECM1	0.310611967	0.001328246	1893
ENSG00000170160	CCDC144A	-0.496320766	0.001332848	9720
ENSG00000162599	NFIA	0.594224735	0.00135908	4774
ENSG00000180182	MED14	0.367840638	0.001359193	9282
ENSG00000113719	ERGIC1	0.719861639	0.001364648	57222
ENSG00000166833	NAV2	0.689446699	0.001381387	89797
ENSG00000182197	EXT1	0.631475851	0.001396032	2131
ENSG00000196557	CACNA1H	-0.78780231	0.001398029	8912
ENSG00000197561	ELANE	-0.405546546	0.001405118	1991
ENSG00000000003	TSPAN6	0.538585375	0.00140977	7105
ENSG00000110446	SLC15A3	-0.645717439	0.001435706	51296
ENSG00000228696	ARL17B	0.705126091	0.001440518	100996709
ENSG00000228696	ARL17B	0.705126091	0.001440518	100506084
ENSG00000228696	ARL17B	0.705126091	0.001440518	51326
ENSG00000119782	FKBP1B	-0.741162785	0.001512711	2281
ENSG00000197798	FAM118B	0.417386091	0.001515541	79607
ENSG00000204131	NHSL2	0.339037172	0.001551749	392490
ENSG00000204131	NHSL2	0.339037172	0.001551749	340527
ENSG00000069667	RORA	0.876138002	0.001553434	6095
ENSG00000011600	TYROBP	-1.030988655	0.001575409	7305
ENSG00000170579	DLGAP1	-0.48331612	0.001640325	9229
ENSG00000162543	UBXN10	0.382128159	0.001670942	127733
ENSG00000265437		-0.402402921	0.001671375	NA
ENSG00000060140	STYK1	-0.487426343	0.001701125	55359
ENSG00000134516	DOCK2	-0.560416293	0.001749586	1794
ENSG00000145685	LHFPL2	-0.483357876	0.001789402	10184
ENSG00000083454	P2RX5	-0.517818482	0.001800614	5026
ENSG00000127951	FGL2	-0.408916737	0.001801264	10875
ENSG00000168765	GSTM4	0.516025556	0.001807302	2948
ENSG00000100393	EP300	0.37068987	0.001826796	2033
ENSG00000154222	CC2D1B	0.345741013	0.001830233	200014
ENSG00000162627	SNX7	-0.351496143	0.001843205	51375
ENSG00000206536	OR5K3	-0.314244145	0.001890325	403277
ENSG00000264431		-0.318998476	0.001903429	NA
ENSG00000189134	NKAPL	0.383853657	0.001911414	222698
ENSG00000103742	IGDCC4	0.687925065	0.001913614	57722
ENSG00000111799	COL12A1	-0.431181721	0.002039141	1303
ENSG00000165566	AMER2	-0.508599497	0.002040486	219287
ENSG00000182871	COL18A1	-0.545526076	0.002128121	80781
ENSG00000188585	CLEC20A	0.300768513	0.002164421	NA
ENSG00000165731	RET	0.376308597	0.002196589	5979
ENSG00000161267	BDH1	0.406024746	0.002200131	622
ENSG00000157540	DYRK1A	-0.656606933	0.00224078	1859
ENSG00000107099	DOCK8	-0.3709692	0.002246584	81704
ENSG00000068028	RASSF1	-0.388489202	0.002250588	11186
ENSG00000198785	GRIN3A	-0.504189531	0.002262356	116443
ENSG00000073737	DHRS9	-0.343024696	0.00226919	10170
ENSG00000103274	NUBP1	0.307549354	0.002282128	4682
ENSG00000135414	GDF11	0.344158909	0.002292802	10220
ENSG00000112167	SAYSD1	0.669175301	0.002299299	55776
ENSG00000122644	ARL4A	0.78923975	0.002306559	10124
ENSG00000120693	SMAD9	0.459855194	0.00231794	4093
ENSG00000105278	ZFR2	0.453503106	0.002345367	23217
ENSG00000168634	WFDC13	-0.344439003	0.002345818	164237
ENSG00000059377	TBXAS1	-0.52754652	0.002347606	6916
ENSG00000168763	CNNM3	0.390437624	0.002347643	26505
ENSG00000201700	SNORD113-3	-0.447668096	0.002362413	767563
ENSG00000154645	CHODL	0.322892999	0.002371005	140578
ENSG00000187713	TMEM203	-0.601173975	0.002392102	94107
ENSG00000197903	HIST1H2BK	-0.485699831	0.002431631	85236
ENSG00000145283	SLC10A6	-0.398339404	0.002432972	345274
ENSG00000184584	TMEM173	-0.451410325	0.002439013	340061
ENSG00000241973	PI4KA	-1.085607984	0.002442832	5297
ENSG00000188807	TMEM201	0.417685529	0.002449272	199953
ENSG00000171791	BCL2	0.615940336	0.002458772	596
ENSG00000273963	ENPP7P14	-0.299182902	0.002466158	NA
ENSG00000153234	NR4A2	-1.129528087	0.002476671	4929
ENSG00000143119	CD53	-0.417678295	0.002536495	963
ENSG00000196104	SPOCK3	-0.690027514	0.002581211	50859
ENSG00000125850	OVOL2	-0.666767869	0.002592167	58495
ENSG00000227747		-0.416981238	0.002645255	NA
ENSG00000261556	SMG1P7	0.445040301	0.002659044	100506060
ENSG00000171174	RBKS	0.346781417	0.002663929	64080
ENSG00000110786	PTPN5	0.40242295	0.002678105	84867
ENSG00000277632	CCL3	-0.390046939	0.00269624	6348
ENSG00000127334	DYRK2	-0.361707949	0.002696295	8445
ENSG00000123496	IL13RA2	-0.342527064	0.002768841	3598
ENSG00000027075	PRKCH	-0.678198303	0.002771951	5583
ENSG00000119689	DLST	1.102687778	0.00279131	1743
ENSG00000114026	OGG1	-0.551284921	0.002803477	4968
ENSG00000164129	NPY5R	-0.481016097	0.002821607	4889
ENSG00000051523	CYBA	-0.834944774	0.002841569	1535
ENSG00000174498	IGDCC3	0.499935037	0.002947327	9543
ENSG00000198157	HMGN5	0.526789178	0.002949244	79366
ENSG00000197705	KLHL14	-0.478808132	0.002974652	57565
ENSG00000196126	HLA-DRB1	-0.749442629	0.00297832	3123
ENSG00000140090	SLC24A4	0.565475704	0.003038144	123041
ENSG00000166927	MS4A7	-0.382470551	0.003045611	58475
ENSG00000148908	RGS10	-0.850568078	0.003054117	6001
ENSG00000197302	ZNF720	-0.302146422	0.003143079	124411
ENSG00000183718	TRIM52	0.487153274	0.003144326	84851
ENSG00000232533		-0.339232014	0.003151076	NA
ENSG00000211689	TRGC1	-0.339251202	0.003166337	445347
ENSG00000151846	PABPC3	-0.475957491	0.003180307	5042
ENSG00000169035	KLK7	-0.836197128	0.003187655	5650
ENSG00000172426	RSPH9	-0.296503378	0.003202846	221421
ENSG00000082684	SEMA5B	0.520487785	0.003250843	54437
ENSG00000075131	TIPIN	0.509458967	0.003279344	54962
ENSG00000230572		0.398864321	0.003333383	NA
ENSG00000023909	GCLM	-0.454656285	0.003333674	2730
ENSG00000108953	YWHAE	0.433318664	0.00333847	7531
ENSG00000134461	ANKRD16	0.376138288	0.00336417	54522
ENSG00000225051	HMGB3P22	0.336728158	0.003375147	NA
ENSG00000139679	LPAR6	-0.551246272	0.003424018	10161
ENSG00000188529	SRSF10	-0.479933242	0.003437599	10772
ENSG00000105122	RASAL3	-0.533732723	0.003441074	64926
ENSG00000106070	GRB10	-0.739105419	0.003454274	2887
ENSG00000139318	DUSP6	-0.701889724	0.003454646	1848
ENSG00000137522	RNF121	0.823613971	0.003461086	55298
ENSG00000214688	C10orf105	0.382552082	0.003468473	414152
ENSG00000155858	LSM11	0.553877409	0.003476288	134353
ENSG00000105255	FSD1	-0.775166641	0.003492737	79187
ENSG00000204501	PRAMEF15	-0.272377898	0.003544937	653619
ENSG00000129355	CDKN2D	-0.613398154	0.003556513	1032
ENSG00000175906	ARL4D	-0.365973382	0.003572258	379
ENSG00000135002	RFK	-0.331979593	0.003611737	55312
ENSG00000135903	PAX3	-0.387003378	0.003615234	5077
ENSG00000117598	PLPPR5	-0.515367929	0.003621623	163404
ENSG00000186288	PABPC1L2A	-0.341239037	0.003661719	340529
ENSG00000115216	NRBP1	0.428009132	0.003690289	29959
ENSG00000165832	TRUB1	-0.393125323	0.003736519	142940
ENSG00000079616	KIF22	0.284288017	0.003756647	3835
ENSG00000129292	PHF20L1	-0.387693853	0.003768272	51105
ENSG00000266094	RASSF5	-0.334037533	0.003778251	83593
ENSG00000112146	FBXO9	-0.835770468	0.003779964	26268
ENSG00000248485	PCP4L1	-0.590339164	0.003818772	654790
ENSG00000198821	CD247	0.32186532	0.003824737	919
ENSG00000186854	TRABD2A	-0.483890017	0.003892227	105374836
ENSG00000186854	TRABD2A	-0.483890017	0.003892227	129293
ENSG00000124098	FAM210B	0.651914746	0.003909861	116151
ENSG00000116698	SMG7	0.75262778	0.003931874	9887
ENSG00000054277	OPN3	-0.727428315	0.00395389	23596
ENSG00000116406	EDEM3	0.337311816	0.003989017	80267
ENSG00000151327	FAM177A1	-0.733543161	0.004001957	283635
ENSG00000075539	FRYL	-0.363868965	0.004047864	285527
ENSG00000130768	SMPDL3B	-0.515321976	0.004063804	27293
ENSG00000215256	DHRS4-AS1	0.682641171	0.004069804	55449
ENSG00000151360	ALLC	-0.297943057	0.004135952	55821
ENSG00000204031	LCN1P2	0.283319871	0.004206883	NA
ENSG00000205502	C2CD4B	-0.554127826	0.004245588	388125
ENSG00000148600	CDHR1	0.528544039	0.004252011	92211
ENSG00000110060	PUS3	0.333374206	0.004312302	83480
ENSG00000160194	NDUFV3	-0.27500659	0.004353595	4731
ENSG00000183684	ALYREF	-0.553703913	0.004355548	10189
ENSG00000170745	KCNS3	-0.585324553	0.004358981	3790
ENSG00000170684	ZNF296	0.336672519	0.004359599	162979
ENSG00000067334	DNTTIP2	0.279007578	0.00438205	30836
ENSG00000074855	ANO8	0.551522265	0.004406178	57719
ENSG00000166821	PEX11A	0.369697812	0.004431708	8800
ENSG00000205809	KLRC2	-0.708384686	0.004451515	3822
ENSG00000229205	LINC00200	0.370339952	0.004470754	399706
ENSG00000119684	MLH3	0.310712869	0.004471124	27030
ENSG00000139970	RTN1	-0.383590842	0.004648984	6252
ENSG00000197766	CFD	-0.447568448	0.004655044	1675
ENSG00000155090	KLF10	-0.315886785	0.004680542	7071
ENSG00000107593	PKD2L1	-0.708377129	0.004686093	9033
ENSG00000163913	IFT122	-0.311338323	0.004750815	55764
ENSG00000250668	LINC02123	-0.347783197	0.004769681	101929261
ENSG00000170633	RNF34	-0.413936484	0.004788817	80196
ENSG00000232810	TNF	-0.357773581	0.004850724	7124
ENSG00000166452	AKIP1	0.308859429	0.00486246	56672
ENSG00000072518	MARK2	-0.369278564	0.004870108	2011
ENSG00000175283	DOLK	0.334493633	0.004882407	22845
ENSG00000169800	RBMY1F	0.320426248	0.004883118	159163
ENSG00000161179	YDJC	-0.30810428	0.004892791	150223
ENSG00000163516	ANKZF1	0.412006648	0.004904652	55139
ENSG00000247315	ZCCHC3	0.468179224	0.004956851	85364
ENSG00000147246	HTR2C	-0.41187387	0.004985907	3358
ENSG00000133250	ZNF414	0.381097132	0.004996646	84330
ENSG00000105409	ATP1A3	0.468490197	0.005011295	478
ENSG00000010539	ZNF200	-0.336109168	0.005068152	7752
ENSG00000110429	FBXO3	-0.765206845	0.005075233	26273
ENSG00000280767		0.333379239	0.005095675	NA
ENSG00000176046	NUPR1	0.466996462	0.005113914	26471
ENSG00000247746	USP51	0.351687773	0.005114998	158880
ENSG00000103363	ELOB	0.394209386	0.005122767	6923
ENSG00000165996	HACD1	-0.442004308	0.005213675	9200
ENSG00000204963	PCDHA7	-0.300079832	0.005229269	56141
ENSG00000186081	KRT5	0.332088669	0.005251577	3852
ENSG00000173369	C1QB	-1.195709239	0.00525212	713
ENSG00000013275	PSMC4	-0.73987116	0.005254885	5704
ENSG00000123505	AMD1	-0.731842683	0.005260005	262
ENSG00000061938	TNK2	-0.331777532	0.005284531	10188
ENSG00000187134	AKR1C1	-0.539539134	0.005304082	1645
ENSG00000259495		0.323743718	0.005347286	NA
ENSG00000196734	LCE1B	-0.284153102	0.005388898	353132
ENSG00000253868	FER1L6-AS2	-0.301232405	0.005402591	157376
ENSG00000126264	HCST	-0.680906349	0.005404229	10870
ENSG00000134115	CNTN6	-0.402365542	0.005433465	27255
ENSG00000112245	PTP4A1	-0.657474556	0.005442042	7803
ENSG00000205464	ATP6AP1L	0.282241553	0.005446209	92270
ENSG00000213901	SLC23A3	-0.270621961	0.005485881	151295
ENSG00000147324	MFHAS1	0.729023582	0.005511872	9258
ENSG00000270330		-0.251423111	0.005512486	NA
ENSG00000015285	WAS	-0.436733404	0.005596975	7454
ENSG00000189099	PRSS48	0.386224899	0.005606264	345062
ENSG00000079393	DUSP13	-0.276125962	0.005615415	51207
ENSG00000189253	TRIM64B	-0.349051619	0.005633147	642446
ENSG00000265565	MIR3143	-0.267267289	0.005662072	100422934
ENSG00000109255	NMU	-0.598521592	0.005703564	10874
ENSG00000154175	ABI3BP	0.507939511	0.005711354	25890
ENSG00000104472	CHRAC1	0.329509447	0.005728342	54108
ENSG00000155380	SLC16A1	-0.31112822	0.005789922	6566
ENSG00000110063	DCPS	0.375832194	0.00583314	28960
ENSG00000163527	STT3B	-0.559229311	0.005867418	201595
ENSG00000093144	ECHDC1	-0.421782148	0.005883438	55862
ENSG00000198730	CTR9	-0.345907958	0.005932201	9646
ENSG00000141858	SAMD1	0.47081527	0.00595798	90378
ENSG00000176007	FAM220BP	-0.302584821	0.006027782	NA
ENSG00000144285	SCN1A	0.991639651	0.006032832	6323
ENSG00000165655	ZNF503	-0.379038115	0.006044196	84858
ENSG00000197249	SERPINA1	-0.307155385	0.006075531	5265
ENSG00000110628	SLC22A18	-0.485912776	0.006101631	5002
ENSG00000172771	EFCAB12	0.277361271	0.00610979	90288
ENSG00000162980	ARL5A	-0.483876741	0.006111095	26225
ENSG00000135502	SLC26A10	0.297122085	0.006174875	65012
ENSG00000100055	CYTH4	-0.524587649	0.006189606	27128
ENSG00000169860	P2RY1	0.314791503	0.006198119	5028
ENSG00000127080	IPPK	-0.430471259	0.006251417	64768
ENSG00000214946	TBC1D26	-0.310554573	0.006313219	353149
ENSG00000199072	MIRLET7F1	0.276860442	0.006340682	406888
ENSG00000214435	AS3MT	0.301277774	0.006343679	57412
ENSG00000198324	FAM109A	0.27621624	0.00635248	144717
ENSG00000095932	SMIM24	-0.449696625	0.006419417	284422
ENSG00000119688	ABCD4	0.285121655	0.006428119	5826
ENSG00000163633	C4orf36	-0.267611269	0.006438269	132989
ENSG00000197093	GAL3ST4	-0.590116473	0.006477854	79690
ENSG00000134215	VAV3	1.07809161	0.006551192	10451
ENSG00000029363	BCLAF1	0.299761207	0.00655971	9774
ENSG00000254440	PBOV1	0.330240313	0.006568595	59351
ENSG00000129682	FGF13	-0.312771162	0.006574329	2258
ENSG00000174514	MFSD4A	-0.444842087	0.006636229	148808
ENSG00000131686	CA6	0.277739817	0.006652508	765
ENSG00000184060	ADAP2	-0.559399209	0.006678196	55803
ENSG00000171962	DRC3	0.268318604	0.006703302	83450
ENSG00000198948	MFAP3L	-0.282555858	0.006767963	9848
ENSG00000166997	CNPY4	-0.310722407	0.006775208	245812
ENSG00000197912	SPG7	0.410699656	0.006882043	6687
ENSG00000185436	IFNLR1	0.347085319	0.006909938	163702
ENSG00000213658	LAT	-0.326473502	0.006914328	27040
ENSG00000260404		-0.296926272	0.006922798	NA
ENSG00000101407	TTI1	0.29541713	0.00694399	9675
ENSG00000282051		-0.297989388	0.006952819	NA
ENSG00000198939	ZFP2	0.388281941	0.006956611	80108
ENSG00000283615	MIR924	0.309321193	0.006958817	100126323
ENSG00000137507	LRRC32	-0.461673782	0.006998888	2615
ENSG00000100427	MLC1	1.00879079	0.007058911	23209
ENSG00000204472	AIF1	-0.867729898	0.007063384	199
ENSG00000232665	PHBP10	0.357105129	0.007065751	NA
ENSG00000186591	UBE2H	-0.303133166	0.007080726	7328
ENSG00000173933	RBM4	-0.676968725	0.007087729	5936
ENSG00000135063	FAM189A2	0.803363997	0.00709521	9413
ENSG00000138698	RAP1GDS1	-0.674514034	0.007114613	5910
ENSG00000110719	TCIRG1	0.285231431	0.007120139	10312
ENSG00000111860	CEP85L	0.352164821	0.007144707	387119
ENSG00000156110	ADK	-0.384420581	0.007146476	132
ENSG00000136161	RCBTB2	-0.274402714	0.007151618	1102
ENSG00000152578	GRIA4	0.3729464	0.007152046	2893
ENSG00000242770		0.366801661	0.007168096	NA
ENSG00000006125	AP2B1	1.069441291	0.007178903	163
ENSG00000185513	L3MBTL1	-0.383521361	0.00724443	26013
ENSG00000100351	GRAP2	0.262166599	0.007285666	9402
ENSG00000089693	MLF2	-0.581402665	0.007317237	8079
ENSG00000170291	ELP5	-0.256739517	0.007319287	23587
ENSG00000153531	ADPRHL1	0.377002053	0.007325016	113622
ENSG00000144852	NR1I2	-0.298211784	0.007329607	8856
ENSG00000275494		0.40774835	0.007341038	NA
ENSG00000139645	ANKRD52	0.351729896	0.007344156	283373
ENSG00000132646	PCNA	-0.411592451	0.00737467	5111
ENSG00000164512	ANKRD55	-0.330951592	0.007412503	79722
ENSG00000181541	MAB21L2	0.774439509	0.00752361	10586
ENSG00000167193	CRK	-0.438452775	0.007527919	1398
ENSG00000181693	OR8H1	-0.283853297	0.007535528	219469
ENSG00000228275	ARMCX3-AS1	0.280940636	0.007542017	NA
ENSG00000161791	FMNL3	0.264164914	0.007544673	91010
ENSG00000149948	HMGA2	0.244907083	0.007554865	8091
ENSG00000123130	ACOT9	0.394518944	0.007569734	23597
ENSG00000186297	GABRA5	-0.975080839	0.007572624	2558
ENSG00000237298	TTN-AS1	-0.333937221	0.007579821	101927055
ENSG00000237298	TTN-AS1	-0.333937221	0.007579821	100506866
ENSG00000284620		-0.378497626	0.007605669	NA
ENSG00000135829	DHX9	-0.512696533	0.007605985	1660
ENSG00000165606	DRGX	0.305053435	0.007608008	644168
ENSG00000186063	AIDA	0.288540097	0.007611394	64853
ENSG00000120727	PAIP2	-0.359404241	0.007624426	51247
ENSG00000147996	CBWD5	-0.268885236	0.007642454	220869
ENSG00000237868		0.33247946	0.007647154	NA
ENSG00000197872	FAM49A	-0.397060198	0.007650055	81553
ENSG00000160993	ALKBH4	0.345419752	0.00766053	54784
ENSG00000198420	TCAF1	-0.564886099	0.007690092	9747
ENSG00000152082	MZT2B	-0.404251353	0.007732779	80097
ENSG00000119487	MAPKAP1	-0.479354992	0.007759157	79109
ENSG00000175206	NPPA	-0.6189603	0.007764101	4878
ENSG00000157093	LYZL4	-0.306036972	0.007773688	131375
ENSG00000198561	CTNND1	-0.254875407	0.007774137	1500
ENSG00000086717	PPEF1	-0.538077586	0.007800623	5475
ENSG00000118922	KLF12	0.403942212	0.00784356	11278
ENSG00000160256	FAM207A	-0.340119162	0.00785957	85395
ENSG00000080224	EPHA6	0.267183032	0.007876062	285220
ENSG00000054793	ATP9A	0.415432063	0.00789716	10079
ENSG00000239265	CLRN1-AS1	0.256673089	0.007910794	NA
ENSG00000138606	SHF	0.587847314	0.007918556	90525
ENSG00000261127		-0.274261567	0.007926291	NA
ENSG00000204694	OR11A1	-0.261867421	0.007958896	26531
ENSG00000136866	ZFP37	0.315360664	0.007964854	7539
ENSG00000106571	GLI3	0.522648021	0.00796994	2737
ENSG00000182481	KPNA2	-0.514841756	0.007971759	3838
ENSG00000168229	PTGDR	-0.249062717	0.007991401	5729
ENSG00000240771	ARHGEF25	0.82443507	0.007995074	115557
ENSG00000100099	HPS4	-0.28387046	0.008001904	89781
ENSG00000090316	MAEA	-0.829278952	0.00800418	10296
ENSG00000178988	MRFAP1L1	-0.561003298	0.008032464	114932
ENSG00000266028	SRGAP2	-0.339155223	0.008043372	23380
ENSG00000100473	COCH	-0.422600152	0.008065128	1690
ENSG00000069812	HES2	-0.347341286	0.008069018	54626
ENSG00000165072	MAMDC2	0.394952981	0.008119838	256691
ENSG00000130045	NXNL2	0.257941565	0.008123158	158046
ENSG00000163273	NPPC	-0.284935004	0.00814743	4880
ENSG00000102362	SYTL4	0.741170446	0.008157534	94121
ENSG00000188846	RPL14	0.568064937	0.008217377	9045
ENSG00000183631	PRR32	-0.491486167	0.008241401	100130613
ENSG00000006128	TAC1	-0.677790122	0.008242764	6863
ENSG00000158373	HIST1H2BD	-0.447820947	0.008264225	3017
ENSG00000197375	SLC22A5	0.462914421	0.008266164	6584
ENSG00000117724	CENPF	-0.343691649	0.008284063	1063
ENSG00000112183	RBM24	-0.448892671	0.008290392	221662
ENSG00000133627	ACTR3B	-0.879614441	0.008308461	57180
ENSG00000029993	HMGB3	0.371871765	0.008326185	3149
ENSG00000205054	LINC01121	-0.27903922	0.008344134	400952
ENSG00000183576	SETD3	-0.373921831	0.008375779	84193
ENSG00000198276	UCKL1	-0.285816611	0.008389702	54963
ENSG00000091986	CCDC80	-0.345842586	0.008428065	151887
ENSG00000163430	FSTL1	0.607904571	0.008443131	11167
ENSG00000069849	ATP1B3	-0.709340186	0.008471293	483
ENSG00000214425	LRRC37A4P	0.304558409	0.008477442	NA
ENSG00000143569	UBAP2L	-0.506480375	0.008508513	9898
ENSG00000179695	OR6C2	0.30945239	0.008535926	341416
ENSG00000184916	JAG2	0.321147089	0.00854669	3714
ENSG00000169891	REPS2	-0.281892996	0.008562329	9185
ENSG00000105609	LILRB5	0.281638035	0.008568765	10990
ENSG00000135624	CCT7	-1.042618358	0.008586106	10574
ENSG00000221949	LINC01465	0.272611473	0.008592433	NA
ENSG00000225746	MEG8	-0.374807601	0.008607979	NA
ENSG00000255622	PCDHB17P	-0.30303635	0.008620468	NA
ENSG00000170632	ARMC10	-0.430749266	0.008635859	83787
ENSG00000041802	LSG1	0.334586706	0.008644991	55341
ENSG00000213024	NUP62	-0.275640238	0.008667423	23636
ENSG00000197757	HOXC6	0.557053156	0.008667608	3223
ENSG00000183160	TMEM119	-0.709967594	0.008701616	338773
ENSG00000187848	P2RX2	-0.640764876	0.008737399	22953
ENSG00000100058	CRYBB2P1	-0.719913753	0.008787091	1416
ENSG00000125952	MAX	-0.264421423	0.00882164	4149
ENSG00000169413	RNASE6	-0.343609293	0.00891159	6039
ENSG00000137460	FHDC1	0.352039093	0.008912505	85462
ENSG00000265369	PCAT18	-0.254450943	0.008924883	728606
ENSG00000173406	DAB1	0.338441262	0.009026535	1600
ENSG00000182450	KCNK4	-0.3044965	0.009109725	50801
ENSG00000149547	EI24	-0.495631621	0.009120884	9538
ENSG00000063601	MTMR1	-0.261567695	0.009177969	8776
