ensembl_gene_id	logFC_BC	PValue_BC	entrezgene
ENSG00000004961	0.102599359	0.770569299	3052
ENSG00000004975	0.086255406	0.775037562	1856
ENSG00000005001	3.854012887	0.002871692	64063
ENSG00000005007	0.584820153	0.073587441	5976
ENSG00000005020	-2.755652988	0.000420448	8935
ENSG00000005022	0.487514183	0.080547471	292
ENSG00000005059	-0.568941687	0.416593935	55013
ENSG00000005073	3.757722427	0.05290611	3207
ENSG00000005075	1.597425139	0.003467205	5439
ENSG00000005100	0.584879306	0.128752722	56919
ENSG00000005102	-5.960292311	3.77e-05	4222
ENSG00000005108	-3.883852424	6.49e-05	221981
ENSG00000005156	1.50546046	0.005141002	3980
ENSG00000005175	0.535947693	0.109990888	79657
ENSG00000005187	-0.90311112	0.289103061	6296
ENSG00000005189	0.640294458	0.157222987	81691
ENSG00000005194	0.130360869	0.646766314	57019
ENSG00000005206	1.00198352	0.011580991	56928
ENSG00000005238	-0.958388805	0.043266067	80256
ENSG00000005243	-2.5017488	0.001019145	51226
ENSG00000005249	-4.120750763	0.000384136	5577
ENSG00000005302	-0.816529834	0.015243987	10943
ENSG00000005339	-0.25057172	0.406873313	1387
ENSG00000005379	1.232783241	0.133948179	9256
ENSG00000005381	-1.622458834	0.102294888	4353
ENSG00000005421	2.157300002	0.087733264	5444
ENSG00000005436	-0.258809544	0.42586175	6936
ENSG00000005448	1.869810659	0.003131408	84058
ENSG00000005469	0.099532522	0.880731137	54677
ENSG00000005471	0.670468459	0.477453678	5244
ENSG00000005483	-0.35904204	0.478542145	55904
ENSG00000005486	1.699263195	0.000364514	57414
ENSG00000005513	-1.827178361	0.055467106	30812
ENSG00000005700	-0.049041809	0.888574272	25998
ENSG00000005801	1.136957435	0.012816025	7748
ENSG00000005810	-2.965463744	5.5e-05	23077
ENSG00000005812	-0.900541001	0.08009505	26224
ENSG00000005844	0.033481793	0.949460737	3683
ENSG00000005882	-1.562284502	0.046470549	5164
ENSG00000005884	0.89208853	0.186032245	3675
ENSG00000005889	-0.344876313	0.430726223	7543
ENSG00000005893	0.178218231	0.553961072	3920
ENSG00000005961	0.230860174	0.711201938	3674
ENSG00000005981	-2.051340525	0.046807523	51666
ENSG00000006007	0.28817657	0.451351757	51573
ENSG00000006015	1.216437731	0.02676417	55049
ENSG00000006016	-1.255795421	0.060379366	9244
ENSG00000006025	0.970681166	0.076846484	114881
ENSG00000006042	0.275851989	0.669088298	26022
ENSG00000006047	-0.348350804	0.690292733	51087
ENSG00000006059	3.654372079	0.036074981	3883
ENSG00000006062	-1.097495035	0.016489384	9020
ENSG00000006071	2.696375165	0.046409836	6833
ENSG00000006118	4.332831581	6e-05	54972
ENSG00000006125	0.374642581	0.319159683	163
ENSG00000006128	-0.23332488	0.875628524	6863
ENSG00000006194	0.669659717	0.026249016	10127
ENSG00000006210	-2.106724135	0.030309338	6376
ENSG00000006282	0.87533267	0.152934716	64847
ENSG00000006283	-1.887556833	0.017633141	8913
ENSG00000006327	2.571589383	0.029019204	51330
ENSG00000006377	-0.0447507	0.970607982	1750
ENSG00000006432	1.57918427	0.114315276	4293
ENSG00000006451	-0.056796847	0.849513827	5898
ENSG00000006453	2.511659897	0.001007509	55971
ENSG00000006459	-1.737394173	0.001728933	80853
ENSG00000006468	-1.79781199	0.009720226	2115
ENSG00000006530	0.191283073	0.505484964	55750
ENSG00000006534	-0.5001358	0.365753103	221
ENSG00000006555	2.501079851	0.072767942	55001
ENSG00000006576	0.573298265	0.246120431	57157
ENSG00000006606	-1.949659488	0.019332373	10344
ENSG00000006607	-0.312056732	0.327317075	9855
ENSG00000006611	1.777657005	0.184232891	10083
ENSG00000006625	1.902750983	0.000689063	79017
ENSG00000006634	1.328417233	0.01395577	10926
ENSG00000006638	-0.184687139	0.761556427	6915
ENSG00000006652	-0.773918454	0.182178296	3475
ENSG00000006695	-0.243250829	0.464771456	1352
ENSG00000006704	1.929418794	2.76e-05	9569
ENSG00000006712	0.91340666	0.003357747	54623
ENSG00000006715	-0.062595964	0.896644618	27072
ENSG00000006740	-0.133858443	0.775922604	9912
ENSG00000006744	-0.094443418	0.732232972	60528
ENSG00000006747	1.261254026	0.25017153	85477
ENSG00000006756	0.937576965	0.148699415	414
ENSG00000006757	0.867975601	0.135478416	8228
ENSG00000006788	-0.450308415	0.466642876	8735
ENSG00000006831	-0.158632245	0.747832122	79602
ENSG00000006837	-0.047479314	0.922659351	51265
ENSG00000007001	-0.586567439	0.482916744	151531
ENSG00000007038	0.076844111	0.955165306	10942
ENSG00000007047	1.518867562	0.001635641	57787
ENSG00000007062	1.182516499	0.576211294	8842
ENSG00000007080	1.606796362	0.008505119	115098
ENSG00000007129	-1.821566806	0.042819636	90273
ENSG00000007168	-0.952225082	0.007260892	5048
ENSG00000007171	-1.009096191	0.262267857	4843
ENSG00000007174	-3.363342414	0.009450415	1770
ENSG00000007202	-0.331752928	0.418470344	9703
ENSG00000007216	-2.877262212	0.156860486	9058
ENSG00000007237	-4.254127294	4.46e-05	8522
ENSG00000007255	2.213311336	1.62e-05	79090
ENSG00000007264	1.248138082	0.269421228	4145
ENSG00000007306	3.547243512	0.022095227	1087
ENSG00000007312	-1.853153634	0.020248156	974
ENSG00000007314	-6.603002663	1.02e-06	6329
ENSG00000007341	-0.044285944	0.9014126	54879
ENSG00000007350	-4.488642971	0.000479104	8277
ENSG00000007372	-0.582077774	0.301482219	5080
ENSG00000007376	2.343901016	5.32e-05	113000
ENSG00000007384	1.158754463	0.003055993	64285
ENSG00000007392	1.117104286	0.00185912	55692
ENSG00000007402	4.020122825	0.00290523	9254
ENSG00000007516	2.524431262	0.006440854	8938
ENSG00000007520	1.205596978	0.00483563	115939
ENSG00000007541	1.976872169	7.19e-05	9091
ENSG00000007545	-0.070428105	0.792875503	57585
ENSG00000007866	0.83953147	0.026113665	7005
ENSG00000007908	-3.139207314	0.015011546	6401
ENSG00000007923	-0.306164929	0.351647635	55735
ENSG00000007933	-3.287327153	4.2e-05	2328
ENSG00000007944	-0.408833103	0.379007347	29116
ENSG00000007952	1.720275506	0.009013575	27035
ENSG00000007968	2.013135801	0.013130014	1870
ENSG00000008018	0.287093017	0.372102266	5689
ENSG00000008056	3.762827469	0.011206734	6853
ENSG00000008083	0.660862776	0.09687352	3720
ENSG00000008086	-0.430443384	0.562197685	6792
ENSG00000008118	5.257344991	0.008532601	57172
ENSG00000008128	0.665290593	0.145272427	728642
ENSG00000008130	-0.672580964	0.05494191	65220
ENSG00000008196	0.319407742	0.865854003	7021
ENSG00000008197	8.08403392	0.032436536	83741
ENSG00000008226	1.089487287	0.192003663	9940
ENSG00000008256	-2.259799561	0.000495129	9265
ENSG00000008277	-1.447014745	0.014951471	53616
ENSG00000008282	-0.811301008	0.030703382	6856
ENSG00000008283	2.16983974	5.8e-05	1534
ENSG00000008294	-1.208259229	0.016664055	9043
ENSG00000008300	3.843335143	0.000225712	1951
ENSG00000008311	-2.831010093	0.001652381	10157
ENSG00000008323	-1.699659555	0.008448097	55200
ENSG00000008324	1.275207635	0.015719474	51188
ENSG00000008382	1.121690309	0.004640901	84954
ENSG00000008394	-1.422032605	0.092104526	4257
ENSG00000008405	-0.81953905	0.075113024	1407
ENSG00000008441	-0.115294907	0.849557384	4784
ENSG00000008513	0.550367497	0.289921307	6482
ENSG00000008516	0.376938982	0.658747058	64386
ENSG00000008517	-0.492181375	0.33914012	9235
ENSG00000008710	-0.803556533	0.081168759	5310
ENSG00000008735	4.927438108	0.001827381	23542
ENSG00000008838	0.300590231	0.360643483	9862
ENSG00000008853	-0.314525965	0.364330417	23221
ENSG00000008869	-0.042749461	0.900524986	54497
ENSG00000008952	-0.456585425	0.150359852	7095
ENSG00000008988	-0.251144616	0.57312591	6224
ENSG00000009307	-1.113423538	0.00273154	7812
ENSG00000009335	-0.368699055	0.136340576	9690
ENSG00000009413	-2.496385871	0.000400838	5980
ENSG00000009694	-5.575425529	3.17e-05	10178
ENSG00000009724	-2.261017902	0.00327811	10747
ENSG00000009765	0.272706884	0.8350989	389434
ENSG00000009780	-1.029649526	0.009566506	199870
ENSG00000009790	-1.074388255	0.08435533	80342
ENSG00000009830	0.031843288	0.933168846	29954
ENSG00000009844	0.155102812	0.554922188	51534
ENSG00000009950	-6.548809564	0.00011571	51085
ENSG00000009954	-0.322003012	0.245645895	9031
ENSG00000010017	0.847199836	0.079161418	10048
ENSG00000010030	1.968867054	0.011745896	51513
ENSG00000010072	0.656610389	0.124240303	83932
ENSG00000010165	0.396529886	0.178391335	51603
ENSG00000010219	1.309746116	0.034240185	8798
ENSG00000010244	0.326909076	0.244671904	7756
ENSG00000010256	0.696412316	0.07307039	7384
ENSG00000010270	-0.003146303	0.994370876	83930
ENSG00000010278	1.690721017	0.015271092	928
ENSG00000010282	-4.118801223	0.002580515	57467
ENSG00000010292	0.57591779	0.103867836	9918
ENSG00000010295	-2.457945075	0.000176609	25900
ENSG00000010310	1.710500342	0.02608573	2696
ENSG00000010318	-0.21193848	0.771174333	51533
ENSG00000010319	-5.010831262	3.27e-06	56920
ENSG00000010322	-0.479098676	0.186922012	11188
ENSG00000010327	-2.933424725	0.000707103	23166
ENSG00000010361	1.021808288	0.007862337	80199
ENSG00000010379	0.587639955	0.6075745	6540
ENSG00000010404	-0.700527247	0.029002015	3423
ENSG00000010438	-0.368100455	0.708328596	5646
ENSG00000010539	0.111928202	0.734450678	7752
ENSG00000010610	-2.390309808	9.66e-05	920
ENSG00000010626	1.232137935	0.010430154	10233
ENSG00000010671	-2.279508043	0.00133476	695
ENSG00000010704	-0.100561349	0.883161024	3077
ENSG00000010803	-0.45725968	0.241053757	22955
ENSG00000010810	-3.322116906	1.76e-06	2534
ENSG00000010818	-1.536067031	0.023360506	3097
ENSG00000010932	-3.084377243	0.00266477	2326
ENSG00000011007	-0.473521966	0.100775569	6924
ENSG00000011009	1.650810952	0.000995325	11313
ENSG00000011021	-1.489530193	0.000753853	1185
ENSG00000011028	-1.794188005	0.001790351	9902
ENSG00000011052	2.834800098	0.003755683	654364
ENSG00000011105	0.312496088	0.312293238	10867
ENSG00000011114	-0.765902069	0.032767321	55727
ENSG00000011132	0.654132596	0.05565199	9546
ENSG00000011143	0.647793117	0.070068351	54903
ENSG00000011198	-1.054160254	0.073686283	51099
ENSG00000011201	-0.527113839	0.576809654	3730
ENSG00000011243	1.365151387	0.000198617	26993
ENSG00000011258	-0.23375767	0.58682919	54799
ENSG00000011260	0.846491271	0.073673341	51096
ENSG00000011275	-0.15529858	0.532677547	54476
ENSG00000011295	0.235616168	0.47309515	54902
ENSG00000011304	0.932877863	0.001904835	5725
ENSG00000011332	2.523920299	0.005673318	8193
ENSG00000011347	3.634988005	0.001514198	9066
ENSG00000011376	0.230820517	0.533953072	23395
ENSG00000011405	-0.761421984	0.132599745	5286
ENSG00000011422	0.520777243	0.401339176	5329
ENSG00000011426	1.68458158	0.051285002	54443
ENSG00000011451	0.686892863	0.036249637	58525
ENSG00000011454	-0.709159001	0.017745026	23637
ENSG00000011454	-0.709159001	0.017745026	2844
ENSG00000011465	-5.010681823	2.12e-06	1634
ENSG00000011478	1.753913878	0.002152788	54814
ENSG00000011485	1.076959494	0.00055047	5536
ENSG00000011523	-1.510800326	1.84e-05	23177
ENSG00000011566	-0.297803806	0.245761692	8491
ENSG00000011590	1.724724938	0.050315966	27033
ENSG00000011600	-1.695243277	0.007087817	7305
ENSG00000011638	-0.268455577	0.444351449	57146
ENSG00000011677	3.414664686	0.059744767	2556
ENSG00000012048	0.818391822	0.077194268	672
ENSG00000012061	0.828977361	0.012100812	2067
ENSG00000012124	1.544134699	0.050175311	933
ENSG00000012171	2.253502555	0.061958736	7869
ENSG00000012174	0.215448612	0.726484871	51360
ENSG00000012211	1.286989242	0.005974853	4007
ENSG00000012223	0.84336312	0.573074086	4057
ENSG00000012232	-0.116854053	0.812261516	2137
ENSG00000012660	0.602210863	0.435400404	60481
ENSG00000012779	-1.017265444	0.089258777	240
ENSG00000012822	-1.353616971	0.000732081	57658
ENSG00000012963	0.298053504	0.350724482	55148
ENSG00000012983	-0.908439349	0.001761062	11183
ENSG00000013016	0.295347968	0.710311649	30845
ENSG00000013275	1.529518564	0.000478503	5704
ENSG00000013288	0.012886481	0.975670179	23324
ENSG00000013293	-2.895492133	0.014608905	57709
ENSG00000013297	-2.812942638	0.005129982	5010
ENSG00000013306	2.137213974	1.16e-05	51629
ENSG00000013364	0.697876303	0.254533902	9961
ENSG00000013374	-0.434518371	0.085778176	51667
ENSG00000013375	-0.257036537	0.540724548	5238
ENSG00000013392	0.082264803	0.849104907	112611
ENSG00000013441	-0.626202373	0.080455638	1195
ENSG00000013503	-0.318953362	0.269625409	55703
ENSG00000013523	-0.14555129	0.7764969	23357
ENSG00000013561	-0.044475374	0.901318541	9604
ENSG00000013563	0.111205704	0.76185906	1774
ENSG00000013573	0.825899809	0.162888971	1663
ENSG00000013583	1.754079882	0.017880728	50865
ENSG00000013588	2.573480311	0.002601717	9052
ENSG00000013619	-0.52648869	0.601305735	10046
ENSG00000013725	-0.460253492	0.558651906	923
ENSG00000013810	2.365813679	0.002993324	10460
ENSG00000014123	-0.330650503	0.432044601	23376
ENSG00000014138	1.072595434	0.006913201	23649
ENSG00000014164	1.622236758	7.61e-05	23144
ENSG00000014216	0.950456149	0.019195035	823
ENSG00000014257	-0.52365399	0.457024381	55
ENSG00000014641	-0.943951895	0.018798875	4190
ENSG00000014824	0.675095828	0.090034858	10463
ENSG00000014914	0.065846616	0.925584124	10903
ENSG00000014919	0.132274793	0.609067559	1355
ENSG00000015133	1.595786102	0.003550689	440193
ENSG00000015153	0.128395647	0.666646302	10138
ENSG00000015171	-0.302820713	0.390527232	10771
ENSG00000015285	-1.425790268	0.005988345	7454
ENSG00000015413	0.496397046	0.504722362	1800
ENSG00000015475	0.838023049	0.119721007	637
ENSG00000015479	-0.493105153	0.32366995	9782
ENSG00000015520	-0.513398345	0.586419067	29881
ENSG00000015532	0.936871862	0.01256611	64132
ENSG00000015592	2.154801921	0.164317846	81551
ENSG00000015676	-0.003160553	0.992560381	23386
ENSG00000016391	1.297935903	0.204953762	55349
ENSG00000016402	0.416288872	0.686923403	53832
ENSG00000016602	-1.528800409	0.3472767	22802
ENSG00000016864	-0.166867671	0.6251331	55830
ENSG00000017260	0.247605555	0.319013161	27032
ENSG00000017427	-4.886882061	4.34e-06	3479
ENSG00000017483	0.480947654	0.489773524	92745
ENSG00000017797	-0.543869061	0.082886817	10928
ENSG00000018189	-0.17774196	0.618261721	22902
ENSG00000018236	-2.488252152	0.007529026	1272
ENSG00000018280	-0.707788644	0.318781641	6556
ENSG00000018408	-1.17858586	0.015299916	25937
ENSG00000018510	0.045863143	0.947612992	8540
ENSG00000018610	-0.221749258	0.419260982	63932
ENSG00000018625	-6.589652722	0.000975672	477
ENSG00000018699	0.207937652	0.578189181	55622
ENSG00000018869	-0.173763371	0.666193124	147948
ENSG00000019102	0.401572779	0.711284236	23584
ENSG00000019144	-2.743065541	1.6e-05	23187
ENSG00000019169	-6.703875817	0.000109146	8685
ENSG00000019186	0.157599974	0.931586767	1591
ENSG00000019485	-1.25535119	0.003150846	56981
ENSG00000019505	3.469797455	0.104846649	57586
ENSG00000019549	-2.620187695	7.26e-06	6591
ENSG00000019582	-0.465097705	0.348679688	972
ENSG00000019991	-3.2023225	0.000144919	3082
ENSG00000019995	-1.023150737	0.013258208	54764
ENSG00000020129	2.94489918	0.00525164	23154
ENSG00000020181	-3.167177095	0.000343243	25960
ENSG00000020256	0.581891504	0.129413599	55734
ENSG00000020426	0.194856406	0.616315884	4331
ENSG00000020577	-2.843251909	0.000553514	23034
ENSG00000020633	-1.056325803	0.122606829	864
ENSG00000020922	-0.148805536	0.603115672	4361
ENSG00000021300	1.794391588	0.120075967	58473
ENSG00000021355	-0.565220358	0.174752985	1992
ENSG00000021461	-1.772205814	0.143048083	64816
ENSG00000021488	0.912465816	0.146322908	11136
ENSG00000021574	0.062137222	0.820962178	6683
ENSG00000021645	0.417433095	0.656179041	9369
ENSG00000021762	0.431914939	0.371988441	114879
ENSG00000021776	-0.171480787	0.573854731	9716
ENSG00000021826	0.233193433	0.828585716	1373
ENSG00000022267	-8.401253377	5.5e-08	2273
ENSG00000022277	0.24257597	0.476246737	51507
ENSG00000022556	3.677002938	0.047174858	55655
ENSG00000022567	0.144559059	0.676710509	57210
ENSG00000022840	0.132096531	0.669024006	9921
ENSG00000022976	0.17667241	0.664579547	55778
ENSG00000023041	0.603834288	0.0538591	64429
ENSG00000023171	-1.45783378	0.014392255	100128242
ENSG00000023171	-1.45783378	0.014392255	57476
ENSG00000023191	-0.30279476	0.446430151	6050
ENSG00000023228	-0.48946043	0.21335116	4719
ENSG00000023287	0.072804656	0.875040955	9821
ENSG00000023318	-0.17274798	0.50592118	23071
ENSG00000023330	-0.23652445	0.423294027	211
ENSG00000023445	-0.525815687	0.418291947	330
ENSG00000023516	-1.178467622	0.01367161	11215
ENSG00000023572	1.246063334	0.021001145	51022
ENSG00000023608	-0.553541421	0.147076417	6617
ENSG00000023697	0.053209215	0.87451314	51071
ENSG00000023734	0.24582703	0.347036232	11171
ENSG00000023839	-1.764633309	0.076604603	1244
ENSG00000023892	0.976993131	0.035006618	50619
ENSG00000023902	0.559915057	0.395935518	51177
ENSG00000023909	-0.446823087	0.286095241	2730
ENSG00000024048	-0.352394862	0.319135471	23304
ENSG00000024422	-3.057630266	8.39e-05	30846
ENSG00000024526	2.395449749	0.010555144	55635
ENSG00000024862	-0.393983971	0.167671157	25901
ENSG00000025039	-1.490096422	0.017297746	58528
ENSG00000025156	0.020932651	0.945596261	3298
ENSG00000025293	0.241960056	0.421238846	51230
ENSG00000025423	1.855797417	0.033363789	8630
ENSG00000025434	-1.834725225	0.000435022	10062
ENSG00000025708	1.118789934	0.059613355	1890
ENSG00000025770	0.74438882	0.017059852	29781
ENSG00000025772	1.848495592	0.000125349	10953
ENSG00000025796	-0.303158993	0.332229013	11231
ENSG00000025800	-0.212366224	0.446937553	23633
ENSG00000026025	-3.705168442	1.12e-06	7431
ENSG00000026036	0.793618769	0.20502092	NA
ENSG00000026103	-1.766257504	0.001463122	355
ENSG00000026297	1.021086752	0.049378161	8635
ENSG00000026508	-0.253830714	0.668189347	960
ENSG00000026559	1.791334667	0.069711774	3755
ENSG00000026652	-2.319938361	3.57e-05	56895
ENSG00000026751	-1.404433308	0.077868033	57823
ENSG00000026950	-0.998075848	0.011410853	11119
ENSG00000027001	0.605976996	0.101085838	4285
ENSG00000027075	-1.538229906	0.000171342	5583
ENSG00000027644	-1.452751161	0.018642489	3645
ENSG00000027697	-1.91808429	8.66e-06	3459
ENSG00000027847	0.802004092	0.014857945	11285
ENSG00000027869	1.977275886	0.051116401	9047
ENSG00000028116	1.224493777	0.02972608	7444
ENSG00000028137	-2.707196641	2.61e-05	7133
ENSG00000028203	0.362687831	0.345015876	55591
ENSG00000028277	-1.219497696	0.044567121	5452
ENSG00000028310	0.386425034	0.260814472	65980
ENSG00000028528	-0.863049072	0.060968895	6642
ENSG00000028839	-0.361157408	0.263595752	9519
ENSG00000029153	-0.857786229	0.123883187	56938
ENSG00000029363	-0.218858248	0.441728092	9774
ENSG00000029364	0.858092773	0.122162825	55334
ENSG00000029534	4.065606146	0.024444282	286
ENSG00000029559	5.030872219	0.001278564	3381
ENSG00000029639	0.619662291	0.061502874	51106
ENSG00000029725	0.523304744	0.249022553	9135
ENSG00000029993	3.566563753	0.002432867	3149
ENSG00000030066	-0.465210788	0.273653644	23279
ENSG00000030110	0.951486159	0.08188645	578
ENSG00000030304	-1.216243912	0.28459397	4593
ENSG00000030419	-0.438486305	0.520375121	22807
ENSG00000030582	0.201838706	0.680357789	2896
ENSG00000031003	-1.227521304	0.015480543	51306
ENSG00000031081	-2.85149548	1.41e-05	57514
ENSG00000031691	-0.039321802	0.932913851	55166
ENSG00000031698	0.088055332	0.77353841	6301
ENSG00000031823	0.531772385	0.054410088	8498
ENSG00000032219	-1.214077463	0.005753904	5926
ENSG00000032389	1.61317427	0.000859857	7260
ENSG00000032444	0.174920218	0.631245231	10908
ENSG00000032742	0.433890306	0.29482877	8100
ENSG00000033011	1.00875178	0.031268996	56052
ENSG00000033030	0.337892248	0.250978116	55596
ENSG00000033050	0.492502357	0.151920685	10061
ENSG00000033100	0.846669227	0.033290567	54480
ENSG00000033122	-0.762448007	0.138909447	57554
ENSG00000033170	0.850502165	0.080385939	2530
ENSG00000033178	0.062771818	0.825959157	55236
ENSG00000033327	-1.830596871	0.008050938	9846
ENSG00000033627	0.397779946	0.393996663	535
ENSG00000033800	-0.569430168	0.037871541	8554
ENSG00000033867	0.518398611	0.417167965	9497
ENSG00000034053	2.742589413	0.033595977	321
ENSG00000034152	0.005693993	0.989089214	5606
ENSG00000034239	-2.520765593	0.031163015	79645
ENSG00000034510	1.127204401	0.201457751	9168
ENSG00000034533	-0.370310167	0.302895886	28990
ENSG00000034677	-0.313089366	0.329800362	25897
ENSG00000034693	-0.270872624	0.403291912	8504
ENSG00000034713	-0.08123974	0.825825503	11345
ENSG00000034971	-11.62159655	1.07e-07	4653
ENSG00000035115	0.806941267	0.068727381	26751
ENSG00000035141	1.184394485	0.00751318	84908
ENSG00000035403	-0.842609251	0.016641828	7414
ENSG00000035499	2.765187296	0.001553285	55789
ENSG00000035664	-0.610802204	0.330996294	23604
ENSG00000035681	-0.622944866	0.07001639	8439
ENSG00000035687	0.915006671	0.057819954	159
ENSG00000035720	-1.485806424	0.123863568	26228
ENSG00000035862	-3.066891725	3.78e-06	7077
ENSG00000035928	-0.470247558	0.153744391	5981
ENSG00000036054	-0.168844143	0.619903115	55773
ENSG00000036257	0.128504561	0.684872415	8452
ENSG00000036448	-2.658301875	0.002135977	9172
ENSG00000036473	-4.868221489	0.000336078	5009
ENSG00000036530	0.179902001	0.86653875	10858
ENSG00000036565	6.168772863	0.008064519	6570
ENSG00000036672	0.03197795	0.966517696	9099
ENSG00000037042	-0.267216631	0.405877721	27175
ENSG00000037241	1.216482675	0.002249694	51121
ENSG00000037280	-1.370277269	0.008150705	2324
ENSG00000037474	0.831745433	0.012610616	54888
ENSG00000037637	-0.17985517	0.456242595	54455
ENSG00000037749	-0.839731516	0.209199687	4238
ENSG00000037757	0.041879103	0.899539044	84245
ENSG00000037897	1.485191886	0.004202323	4234
ENSG00000037965	-1.894045863	0.003010957	3224
ENSG00000038002	0.872946786	0.040833845	175
ENSG00000038210	0.297866683	0.421740768	55300
ENSG00000038219	-0.722738435	0.098111512	259282
ENSG00000038274	-0.585244244	0.071734256	27430
ENSG00000038295	-4.432479236	8.08e-08	7092
ENSG00000038358	0.14864378	0.773284028	23644
ENSG00000038382	-1.410994883	0.001792914	7204
ENSG00000038427	-1.715044052	0.011246515	1462
ENSG00000038532	0.517984891	0.109932685	23274
ENSG00000038945	-1.734028274	0.041210127	4481
ENSG00000039068	2.562504468	0.106937824	999
ENSG00000039123	-0.202645826	0.509625578	23517
ENSG00000039139	0.591896404	0.599912508	1767
ENSG00000039319	-0.116068348	0.794911444	9765
ENSG00000039523	-0.410559884	0.372335944	79567
ENSG00000039537	-8.455844725	0.000170825	729
ENSG00000039560	0.015114688	0.971834534	26064
ENSG00000039600	-0.743599993	0.34490644	11063
ENSG00000039650	1.5319279	0.000620669	11284
ENSG00000040199	-1.075097578	0.021793954	23035
ENSG00000040275	0.815792998	0.033526651	54908
ENSG00000040341	0.781071438	0.166175601	27067
ENSG00000040487	1.405190795	0.003386946	54896
ENSG00000040531	-0.641778114	0.03436342	1497
ENSG00000040608	1.780846213	0.00545297	65078
ENSG00000040633	0.684679802	0.05502166	79142
ENSG00000040731	-3.876265166	0.013728476	1008
ENSG00000040933	-0.494420866	0.120918203	3631
ENSG00000041353	2.356110574	0.043364963	5874
ENSG00000041357	0.412440682	0.286585949	5685
ENSG00000041515	-3.044917825	0.003504678	23026
ENSG00000041802	0.540121051	0.076899797	55341
ENSG00000041880	-0.456645231	0.351047303	10039
ENSG00000041982	-0.914245825	0.092916962	3371
ENSG00000041988	0.15636193	0.596324918	90326
ENSG00000042062	-2.72641549	0.000672097	140876
ENSG00000042088	0.319320794	0.300038998	55775
ENSG00000042286	-1.973912798	0.00177571	84883
