hgnc_symbol	logFC_MUO	PValue_MUO	entrezgene
RAB18	-0.367536273	5.24e-08	22931
FCER1G	1.946881976	5.28e-08	2207
DOCK2	1.108572822	5.29e-08	1794
IFI16	0.623151505	5.48e-08	3428
SAMHD1	0.87942941	5.62e-08	25939
PMM1	-0.415039063	6.04e-08	5372
CYTH4	0.880946566	6.93e-08	27128
CENPV	-0.909371511	6.99e-08	201161
VSIG4	1.756678992	7.61e-08	11326
NBAS	-0.233799523	7.62e-08	51594
PIP4K2A	0.419555666	8.3e-08	5305
L2HGDH	-0.359941754	8.56e-08	79944
CD248	1.643938338	8.62e-08	57124
ATL2	-0.398498536	8.67e-08	64225
ADAP2	1.274169921	8.73e-08	55803
CYBB	1.941092357	9.06e-08	1536
FGR	0.55657959	9.11e-08	2268
IFI30	2.676600866	1.02e-07	10437
CMTM3	0.721191407	1.02e-07	123920
SLC4A4	-1.676130021	1.07e-07	8671
HECTD1	-0.284406391	1.09e-07	25831
P2RX7	0.778128489	1.12e-07	5027
P2RX7	0.778128489	1.12e-07	5027
ACADM	-0.577218206	1.24e-07	34
ACADM	-0.577218206	1.24e-07	34
MOCS1 /// LOC100505635	-0.754054479	1.24e-07	NA
CSNK2A2	-0.446428576	1.24e-07	1459
CSNK2A2	-0.446428576	1.24e-07	1459
NCF4	1.027326308	1.25e-07	4689
LGALS12	-1.045724061	1.28e-07	85329
BMP2K	0.85032436	1.28e-07	55589
MAP3K5	-1.49607631	1.3e-07	4217
INSR	-0.600394111	1.49e-07	3643
ITIH5	0.796561106	1.49e-07	80760
ST3GAL6	-0.617754254	1.5e-07	10402
BNIP3	-0.62273298	1.57e-07	664
CTSS	1.937988283	1.6e-07	1520
TIMP1	0.614222937	1.65e-07	7076
ITGB5	0.687604632	1.65e-07	3693
EPDR1	1.046142576	1.79e-07	54749
VCAN	1.698172435	1.8e-07	1462
ITGB2	0.422973632	1.82e-07	3689
MS4A7 /// MS4A14	1.898664203	1.82e-07	NA
PXMP2	-1.022460938	1.85e-07	5827
COPS2	-0.431815005	1.86e-07	9318
SPP1	3.087193082	1.86e-07	6696
EMILIN2	1.308244979	1.88e-07	84034
CPPED1	0.745465962	1.95e-07	55313
GLIPR2	1.330008372	2.04e-07	152007
ACACB	-0.679094588	2.08e-07	32
ACACB	-0.679094588	2.08e-07	32
TGFB1	0.855643138	2.14e-07	NA
VAMP8	1.174525672	2.32e-07	8673
DBP	-0.902954101	2.45e-07	1628
GPR183	1.596121652	2.45e-07	1880
SLC2A4	-1.882202151	2.46e-07	6517
PAIP2B	-1.162859234	2.54e-07	400961
CCDC158	-0.301487516	2.55e-07	339965
GTF3C3	-0.433663505	2.56e-07	9330
PCCA	-0.607491629	2.57e-07	5095
C1S	0.687133787	2.61e-07	716
PLAC9	0.667811802	2.63e-07	219348
DOCK10	1.078002929	2.73e-07	55619
GPSM3	0.395246233	2.76e-07	63940
LAMP1	0.322091241	2.76e-07	3916
LOC105379555	-1.103009902	2.92e-07	NA
EIF3E /// LOC105375704	-0.346330917	2.93e-07	NA
CALU	0.592564178	3.05e-07	813
NIPSNAP3B	-1.889090402	3.09e-07	55335
NIPSNAP3B	-1.889090402	3.09e-07	55335
TGOLN2	0.299665178	3.11e-07	10618
MYO9B	0.605102539	3.26e-07	4650
SVIL	-0.906372072	3.28e-07	6840
TAPBP	0.400565011	3.36e-07	6892
MMP9	2.775913783	3.45e-07	4318
BNIP3L	-0.208356584	3.63e-07	665
SIRT1	-0.917811804	3.63e-07	23411
CNTFR	-0.840366911	3.76e-07	1271
FSTL1 /// LOC105374067 /// LOC105374068	0.412423271	3.85e-07	NA
ADAMTS10	1.181884764	3.99e-07	81794
TBC1D2	0.515694752	4.06e-07	55357
HADHB	-0.402640209	4.11e-07	3032
PTK2B	0.284232001	4.31e-07	2185
ALOX5	0.797781809	4.37e-07	240
FAM105A	0.835518971	4.65e-07	NA
GPR137B	1.288678854	4.68e-07	7107
ANO6	-0.442626936	4.72e-07	196527
USP13	-0.614780972	4.79e-07	8975
KLHL24	-0.571498324	4.83e-07	54800
MRPS36	-0.516863144	4.93e-07	92259
SUMO3	0.244977679	5e-07	6612
MEOX2-AS1	-0.724923269	5.09e-07	NA
ARPC5	0.534388953	5.22e-07	10092
HADH	-0.549246653	5.26e-07	3033
LACTB2	-0.852155412	5.26e-07	51110
RANBP3L	1.6232387	5.45e-07	202151
MKX	-0.819370815	5.45e-07	283078
HAVCR2	0.838692801	5.65e-07	84868
DSEL	1.241385324	5.67e-07	92126
ADAM17	0.597638812	5.73e-07	6868
HN1L	-0.475254605	5.75e-07	NA
DBT	-0.623639787	5.9e-07	1629
SIGLEC1	1.1390904	6.02e-07	6614
SLAMF8	1.359218052	6.06e-07	56833
EVI2B	0.9919608	6.07e-07	2124
TMEM132C	-1.21623884	6.08e-07	92293
SLC31A2	0.582571849	6.18e-07	1318
HADHA	-0.419747491	6.27e-07	3030
TAX1BP3 /// P2RX5-TAX1BP3 /// P2RX5	0.331141882	6.28e-07	NA
PIK3AP1	1.080304828	6.35e-07	118788
LDHD	-1.015659877	6.36e-07	197257
MRPL39	-0.432878769	6.42e-07	54148
HOMEZ	-0.349731446	6.47e-07	57594
MCCC1	-0.555943082	6.5e-07	56922
NAALAD2	-1.150791716	6.56e-07	10003
ANKRD53	-0.39147949	6.63e-07	79998
XYLT1	0.980887278	6.65e-07	64131
TTC38	-0.782714842	6.72e-07	55020
LCP2	0.813650949	6.85e-07	3937
TADA2A	-0.455601284	6.9e-07	6871
ACSS3	-1.250453406	6.92e-07	79611
CCDC80	0.735491074	6.95e-07	151887
ACAT1	-0.398228236	7.07e-07	38
EIF4A2	-0.341657368	7.15e-07	1974
CNPY3	0.631086076	7.18e-07	10695
SYK	0.883649554	7.21e-07	6850
CASQ2	-2.318751747	7.46e-07	845
USP47	-0.256958007	7.48e-07	55031
KLHDC1	-0.59324428	7.63e-07	122773
FERMT3	0.953055245	7.78e-07	83706
ZFYVE9	-0.389142716	7.97e-07	9372
PIK3R5	0.812133791	7.99e-07	23533
SYT17	-0.90815081	8.05e-07	51760
PLD3	0.475638254	8.23e-07	23646
MTSS1	0.641357421	8.27e-07	9788
SLC2A1	-0.836094448	8.32e-07	6513
LIAS	-0.64477539	8.41e-07	11019
LOC105373974 /// BOK-AS1	-1.194893973	8.43e-07	NA
PDP2	-0.766688756	8.48e-07	57546
PDP2	-0.766688756	8.48e-07	57546
MSC-AS1	0.609845842	8.77e-07	NA
CRYBG3	-0.720232283	9e-07	131544
BIRC3	0.359261649	9.1e-07	330
GKAP1	-0.20245361	9.19e-07	80318
STAB1	0.892613001	9.28e-07	23166
LRRC47	-0.356515068	9.76e-07	57470
FAM221A	-0.621224541	9.85e-07	340277
PDLIM1	0.854038785	9.95e-07	9124
TTLL7	-0.888985771	9.98e-07	79739
PLBD2	0.693045479	1.01e-06	196463
LOC102723350	-0.312430248	1.02e-06	NA
SULF1	-0.875610352	1.04e-06	23213
HLF	-1.256783623	1.06e-06	3131
TTYH3	0.718366351	1.07e-06	80727
SPTAN1	0.493687224	1.08e-06	6709
F13A1	1.566824781	1.08e-06	2162
TERF2IP	-0.413800923	1.09e-06	54386
TERF2IP	-0.413800923	1.09e-06	54386
PLCB2	0.442016604	1.1e-06	5330
CD84	0.829223633	1.12e-06	8832
ABCC1	0.889090403	1.13e-06	4363
MUT	-0.595877513	1.14e-06	NA
NCF2	0.93901716	1.16e-06	4688
UBE3A	-0.420270649	1.19e-06	7337
EGFEM1P	-1.229614259	1.19e-06	NA
DAPK2 /// LOC105370860	-0.951206752	1.2e-06	NA
CXCR4	0.759713311	1.21e-06	7852
HEXIM1	0.629534038	1.21e-06	10614
ABCC3	1.582589286	1.24e-06	8714
SLIT3	0.521275111	1.25e-06	6586
FREM1	0.609776087	1.27e-06	158326
RPS6KA1	0.22732108	1.27e-06	6195
FOLR2	1.18472726	1.3e-06	2350
LINC01128	-0.73828125	1.3e-06	NA
LPXN	0.784720288	1.31e-06	9404
PYGM	-1.343662808	1.35e-06	5837
PPP3R1	-0.431535997	1.35e-06	5534
SLC25A4	-0.444126674	1.36e-06	291
LOC102723825	0.16734968	1.36e-06	NA
MYO5A	0.734915595	1.36e-06	4644
MCOLN3	-0.987566266	1.38e-06	55283
PLCXD1	-0.873997279	1.39e-06	55344
PLCXD1	-0.873997279	1.39e-06	55344
FANCE	-0.658482144	1.39e-06	2178
RAD21 /// MIR3610	-0.304277693	1.4e-06	NA
MAN2B1	0.447753907	1.42e-06	4125
LRRC16A /// LOC105375106	0.644531249	1.46e-06	NA
PLEKHJ1	-0.897617888	1.48e-06	55111
PROKR1 /// APLF	-1.062656947	1.5e-06	NA
DAB2IP	0.492222379	1.52e-06	153090
CEP57	-0.274501254	1.52e-06	9702
FBXO11	-0.307094029	1.52e-06	80204
CSF1	0.670863561	1.55e-06	1435
MLYCD	-0.388898578	1.55e-06	23417
GRN	0.587611624	1.56e-06	2896
MS4A6A	1.344220843	1.58e-06	64231
GPAT3	-1.76175363	1.58e-06	84803
ADAM12	1.237008231	1.59e-06	8038
SLC15A3	0.496425086	1.62e-06	51296
TNMD	1.804129476	1.62e-06	64102
SMAP2	0.620675223	1.64e-06	64744
TOMM7	-0.355398996	1.64e-06	54543
MFAP5	1.343331474	1.64e-06	8076
HTT	0.296648299	1.66e-06	3064
CHI3L1	2.375959125	1.67e-06	1116
HMOX1	0.959106448	1.7e-06	3162
MRPL32	-0.317121233	1.74e-06	64983
PFN1	0.22356307	1.75e-06	5216
PHKA2	-0.626604354	1.75e-06	5256
MPEG1	1.265938893	1.77e-06	219972
TAGAP	0.506373813	1.78e-06	117289
C1QC	1.298409601	1.81e-06	714
SLC19A2	-1.267037529	1.83e-06	10560
PTAFR	0.701328824	1.86e-06	5724
ALK	-0.171447752	1.87e-06	238
WDFY4	0.344133653	1.88e-06	57705
WDFY4	0.344133653	1.88e-06	57705
GCNT1	0.649135044	1.88e-06	2650
BASP1	1.516793389	1.92e-06	10409
BASP1	1.516793389	1.92e-06	10409
PIK3CG	0.818219866	1.93e-06	5294
ALDH1L2	0.76511928	1.93e-06	160428
EPB41L4B	-0.832013811	1.94e-06	54566
LRIG1	-0.593819754	2e-06	26018
PEA15	0.396379745	2.01e-06	8682
CD44	0.749250142	2.01e-06	960
CD44	0.749250142	2.01e-06	960
LSM6	-0.374668666	2.02e-06	11157
AOAH	1.181971958	2.02e-06	313
LPIN1	-0.669712611	2.02e-06	23175
AIF1	1.065098352	2.05e-06	199
JDP2	0.388253349	2.05e-06	122953
LYN	0.883649553	2.12e-06	4067
ZNF160	-0.502127509	2.12e-06	90338
AP5S1	0.286865233	2.13e-06	55317
NDRG4	-1.62702288	2.18e-06	65009
PRKX	1.317121234	2.21e-06	5613
PHIP	-0.450735909	2.21e-06	55023
WIPF1	0.501063759	2.35e-06	7456
CD86	0.988874162	2.36e-06	942
LPCAT2	0.677559988	2.42e-06	54947
EMC3	-0.444370816	2.43e-06	55831
SH3BGRL3	0.581211636	2.43e-06	83442
GNG2	0.416120256	2.46e-06	54331
GPT2	-1.087838309	2.47e-06	84706
DNAH9	-0.077854703	2.54e-06	1770
ITGAM	0.977975026	2.55e-06	3684
FAM47E /// FAM47E-STBD1 /// STBD1	-0.543247767	2.58e-06	NA
ADAM9	0.597551618	2.6e-06	8754
UGGT1	0.29750279	2.65e-06	56886
MRPL10	-0.263514927	2.68e-06	124995
NABP1	0.800868444	2.68e-06	64859
NABP1	0.800868444	2.68e-06	64859
MAOA	-0.582240529	2.7e-06	4128
KIAA1107	-0.701485774	2.74e-06	NA
NPR1	-0.628104072	2.85e-06	4881
PREX1	0.511073522	2.93e-06	57580
MAN2A2	-0.47504534	2.94e-06	4122
SLC25A38	-0.576433453	2.95e-06	54977
MPC1	-0.414254327	2.96e-06	51660
HSD11B1	1.603358676	3.01e-06	3290
LNX2	-0.606811522	3.05e-06	222484
NA	NA	NA	NA
ZSWIM6	0.592668807	3.15e-06	57688
LINC00963 /// LOC100128077	0.375279017	3.17e-06	NA
FAT1	0.582728794	3.21e-06	2195
SRP68	-0.451119559	3.21e-06	6730
GNG7 /// LOC101929097	-0.907470701	3.25e-06	NA
MMP19	0.732962471	3.29e-06	4327
EPB41L3	0.560686386	3.3e-06	23136
MRC1 /// LOC105369233	1.486729212	3.32e-06	NA
CST3	0.327183315	3.34e-06	1471
PLXDC2	0.66270229	3.35e-06	84898
PLXDC2	0.66270229	3.35e-06	84898
PC	-0.936192103	3.4e-06	5091
NRDC	-0.289672853	3.41e-06	4898
SFRP4	2.08356585	3.42e-06	6424
ABI3	0.393484933	3.5e-06	51225
LOC105374412	1.060703821	3.5e-06	NA
KRCC1	-0.509713309	3.51e-06	51315
CD37	0.933750699	3.53e-06	951
CSF2RB	0.449183874	3.54e-06	1439
MAPT-AS1	-0.15373012	3.6e-06	NA
BIN2	0.619105748	3.63e-06	51411
HMGXB4	-0.45478167	3.64e-06	10042
ERBB2 /// MIR4728	0.420200894	3.65e-06	NA
TGDS	-0.587411062	3.67e-06	23483
PLSCR4	-0.547154018	3.68e-06	57088
RNF125	-0.601126532	3.68e-06	54941
STAG2	-0.269217353	3.75e-06	10735
ALCAM	0.928484233	3.83e-06	214
COX7C	-0.240635459	3.84e-06	1350
TBXAS1	0.562709266	3.86e-06	6916
EIF4EBP2	-0.383370521	3.89e-06	1979
CSF1R	1.038957867	3.95e-06	1436
CCNF	-0.24370466	3.96e-06	899
LIPE	-0.409109946	3.99e-06	3991
C2	0.663277763	4.06e-06	717
EEA1	0.339425224	4.1e-06	8411
EXT1	0.576171876	4.18e-06	2131
DLST	-0.382672991	4.18e-06	1743
ARG2	-0.194780622	4.2e-06	384
IQGAP2	1.116489955	4.29e-06	10788
KIAA0754 /// MACF1	0.433018273	4.31e-06	NA
SLC24A3	0.779366633	4.32e-06	57419
LOC100507516	1.530116491	4.34e-06	NA
IMMP2L	-0.341918945	4.35e-06	83943
IMMP2L	-0.341918945	4.35e-06	83943
LOC105377599	0.516932896	4.44e-06	NA
RAB8B	0.368216377	4.52e-06	51762
HCK	0.804495675	4.61e-06	3055
LOX	1.110979354	4.62e-06	4015
MRC1	1.472586496	4.67e-06	4360
DARS	-0.235682895	4.74e-06	1615
NPL	1.150826592	4.75e-06	80896
HLA-DPA1	0.477556499	4.79e-06	3113
FH	-0.407052175	4.8e-06	2271
C1orf162	1.263532366	4.81e-06	128346
RNASE6	1.075247629	4.87e-06	6039
PER3	-0.699428014	4.91e-06	8863
PWWP2A	-0.199820384	4.91e-06	114825
SCN7A	-0.224731445	4.93e-06	6332
EIF4EBP1	-0.86657715	4.95e-06	1978
CD4	0.537981306	4.98e-06	920
CRHBP	-0.956717355	4.98e-06	1393
CYC1	-0.399972099	5.03e-06	1537
EPB41L5	-0.381574358	5.03e-06	57669
ALDH1L1	-1.156284875	5.03e-06	10840
CDKN1B	-0.426618304	5.05e-06	1027
PPP2R5A	-0.433419364	5.1e-06	5525
FAM120C	-0.315621511	5.12e-06	54954
XXYLT1	0.167122977	5.13e-06	152002
LGALS9B	0.446166991	5.24e-06	284194
SLAMF7	0.498700825	5.25e-06	57823
FAM161A	-0.276585171	5.32e-06	84140
FAM161A	-0.276585171	5.32e-06	84140
THEMIS2	0.825857979	5.34e-06	9473
SLC19A3	-0.770054421	5.39e-06	80704
RNASET2	0.400896346	5.41e-06	8635
ADAMTS9-AS2	-0.893467494	5.53e-06	NA
GART	-0.205392021	5.54e-06	2618
TRGC2 /// TRGJP2	-1.906860352	5.56e-06	NA
PPARG	-0.339460099	5.61e-06	5468
PPARG	-0.339460099	5.61e-06	5468
MSC	0.790544781	5.66e-06	9242
EIF3M	-0.264543803	5.69e-06	10480
DAPP1	0.293971471	5.7e-06	27071
FLNA	0.521414622	5.7e-06	2316
ARHGAP15	0.224609374	5.7e-06	55843
KCNQ1	0.238473076	5.78e-06	3784
ZSCAN2	-0.29030064	5.86e-06	54993
POLA1	-0.224173408	5.89e-06	5422
CHST11	0.413085937	6.07e-06	50515
ATP5B	-0.42044505	6.1e-06	NA
BLNK	0.630004883	6.14e-06	29760
PKN2	-0.346993584	6.15e-06	5586
BOK	-0.956891742	6.17e-06	666
ANKDD1A	0.595598494	6.2e-06	348094
PPP1R18	0.403826033	6.2e-06	170954
PPP1R18	0.403826033	6.2e-06	107987457
ATG7	0.419102261	6.25e-06	10533
AKAP1	-0.611537391	6.27e-06	8165
RBMX	-0.269984655	6.48e-06	27316
SEC11A	-0.261038643	6.53e-06	23478
NCEH1	1.211931501	6.63e-06	57552
PPT1	0.546561106	6.89e-06	5538
FXR1 /// LOC105374240	-0.418021067	6.98e-06	NA
SLC11A2	0.492274696	6.98e-06	4891
TREM2	1.652622769	7.08e-06	54209
ZFAND1	-0.564208982	7.09e-06	79752
ABCD3	-0.343401229	7.17e-06	5825
RPLP2	-0.190255301	7.18e-06	6181
HTRA1	0.753662113	7.18e-06	5654
SHKBP1	0.491158623	7.22e-06	92799
ITGA4	0.489423481	7.24e-06	3676
TLR8	0.402003696	7.28e-06	51311
TIAM1	0.461356027	7.38e-06	7074
KIAA0930	0.648472376	7.39e-06	23313
PHF10	-0.47548131	7.51e-06	55274
SETD9	-0.279218401	7.54e-06	133383
U2SURP /// PAQR9-AS1	-0.260428296	7.55e-06	NA
STK24	-0.360386441	7.59e-06	8428
SORBS3	0.320469447	7.74e-06	10174
RBPMS-AS1	-0.966552733	7.76e-06	NA
ATP6AP2	0.355503628	7.78e-06	10159
MN1	0.701747351	7.83e-06	4330
TMEM71 /// LRRC6 /// LOC105375766	0.214556013	7.86e-06	NA
GPNMB /// LOC101927890	0.774727961	8e-06	NA
MAPRE1	0.458234516	8.07e-06	22919
PARP15	0.314261301	8.08e-06	165631
FAM89A /// MIR1182	-0.830322266	8.09e-06	NA
CLU /// MIR6843	0.434570314	8.12e-06	NA
CIITA	0.765380858	8.14e-06	4261
PPARA	-0.534249443	8.14e-06	5465
PCK1	-1.371564592	8.14e-06	5105
GLB1 /// TMPPE	0.59654018	8.17e-06	NA
HACD4	0.53009033	8.18e-06	401494
ADAMTS2	0.849469869	8.25e-06	9509
CDH23	-0.559273859	8.26e-06	64072
AVPI1	-0.679042274	8.27e-06	60370
NRP2	0.837419783	8.28e-06	8828
CPVL	0.691214423	8.29e-06	54504
ECHDC3	-1.344168526	8.35e-06	79746
CFH	1.057599747	8.37e-06	3075
UFL1	-0.333775113	8.54e-06	23376
NPC2 /// MIR4709 /// LOC105370565	0.533447265	8.64e-06	NA
RPN2 /// EEF1A2	0.379499165	8.69e-06	NA
WDR48	-0.317539759	8.78e-06	57599
WDR19	-0.509364534	8.79e-06	57728
LOC100507661	-1.466796872	9.15e-06	NA
AP1B1	0.407069615	9.23e-06	162
PKM	0.629586357	9.24e-06	5315
OXR1	-0.4294608	9.27e-06	55074
PECR	-0.713692801	9.31e-06	55825
PRIMA1	-0.158787316	9.34e-06	145270
USP51	-0.214468822	9.42e-06	158880
GGNBP2	-0.346714566	9.49e-06	79893
TOPORS	-0.289637974	9.51e-06	10210
NRROS /// PIGX	0.275687082	9.6e-06	NA
P2RX6	0.632533485	9.61e-06	9127
NLN	0.429774692	9.64e-06	57486
EIF4B	-0.366210939	9.65e-06	1975
RFC1	-0.356759208	9.66e-06	5981
LOC389765	-0.513933458	9.77e-06	NA
BDH1	-0.284362792	9.77e-06	622
SLC38A10	0.450683593	9.84e-06	124565
ARPC1B /// ARPC1A	0.757237027	9.92e-06	NA
GINS3	-0.954197475	9.93e-06	64785
AKR1B1	0.412859236	1.01e-05	231
ATP6V0D1	0.363333567	1.02e-05	9114
USPL1	-0.256120955	1.03e-05	10208
PLCXD2 /// PHLDB2	-0.417602541	1.03e-05	NA
DLGAP4	0.318708147	1.03e-05	22839
NPEPPS	-0.316214426	1.03e-05	9520
ADCY7	0.779384069	1.03e-05	113
MNDA	0.794520789	1.03e-05	4332
STYX	-0.484287808	1.03e-05	6815
STX3 /// OR10Y1P	0.667794363	1.04e-05	NA
KIAA1429	-0.425345284	1.05e-05	NA
BGN	1.158290319	1.05e-05	633
RNF41	-0.406685965	1.05e-05	10193
MTHFD1	-0.49431501	1.05e-05	4522
ADCK3 /// LOC105373120 /// LOC105379282	-0.765032088	1.05e-05	NA
CD151	0.30282157	1.06e-05	977
BTG3	-0.332275393	1.06e-05	10950
CRBN	-0.295253209	1.06e-05	51185
MGP	0.631731315	1.06e-05	4256
PPME1	-0.293282645	1.06e-05	51400
SLC25A36	-0.340384346	1.06e-05	55186
ALDH1L1-AS2	-0.225211009	1.07e-05	NA
SPRYD3	0.456734795	1.08e-05	84926
MXRA5	2.563162667	1.08e-05	25878
NIPSNAP3B	-1.076206753	1.08e-05	55335
NIPSNAP3B	-1.076206753	1.08e-05	55335
BRCA2	0.269165039	1.09e-05	675
TENM3	-0.652186802	1.1e-05	55714
RGS10	0.346095493	1.13e-05	6001
POLR3GL	-0.190412247	1.15e-05	84265
TMEM106A	0.587158203	1.15e-05	113277
TSPAN13	-0.741734097	1.16e-05	27075
ADH1B	-1.075090679	1.16e-05	125
DGAT1	-0.496895927	1.16e-05	8694
PCK2	-0.639508927	1.17e-05	5106
FPR3	1.685093471	1.19e-05	2359
SUCLG2	-0.373308456	1.2e-05	8801
COX14 /// LOC101927340	-0.873657228	1.21e-05	NA
LOC105376197	-1.302961077	1.22e-05	NA
ALOX5AP	1.122576031	1.23e-05	241
IBTK	-0.251848493	1.24e-05	25998
C3AR1	0.591474261	1.24e-05	719
PGM5-AS1	-0.835178922	1.25e-05	NA
PGM5-AS1	-0.835178922	1.25e-05	NA
FSTL3	0.711948941	1.25e-05	10272
C1QA	0.342232838	1.26e-05	712
OSBPL6	-0.375392371	1.26e-05	114880
SRSF7	-0.280343188	1.27e-05	6432
ECI2	-0.262346539	1.27e-05	10455
PGRMC1	-0.479806097	1.27e-05	10857
LOC105371371	-0.167803081	1.29e-05	NA
DDT /// DDTL	-0.357631135	1.3e-05	NA
ST3GAL6-AS1	-0.473327636	1.31e-05	NA
ACVR1C	-0.937395388	1.32e-05	130399
FAM102B	0.752022879	1.32e-05	284611
GCDH	-0.443001883	1.32e-05	2639
NDST1	0.347830639	1.33e-05	3340
NDST1	0.347830639	1.33e-05	3340
TTC21B	-0.315726145	1.33e-05	79809
TTC21B	-0.315726145	1.33e-05	79809
RBBP4	-0.181483677	1.33e-05	5928
WAS	0.472063338	1.34e-05	7454
AOAH-IT1	0.193882536	1.34e-05	NA
STOX1	-2.077375141	1.36e-05	219736
INTU	-0.33945138	1.36e-05	27152
CCL2	1.829868863	1.37e-05	6347
HOXB2	-0.275251117	1.37e-05	3212
SSFA2	-0.241367886	1.37e-05	NA
CECR9	0.299447195	1.37e-05	NA
WDR86	-0.970031738	1.38e-05	349136
VLDLR	1.034284319	1.38e-05	7436
IDH3B	-0.292776926	1.39e-05	3420
FMO2	-0.989501958	1.39e-05	2327
PLPPR2	0.562482562	1.39e-05	64748
C5AR1	0.611868723	1.4e-05	728
METAP2	-0.234252929	1.4e-05	10988
DNAJC19	-0.425868443	1.41e-05	131118
SLCO2B1	0.725289481	1.42e-05	11309
SEC24D	0.484218051	1.42e-05	9871
COL6A6	-0.980006627	1.42e-05	131873
COL6A6	-0.980006627	1.42e-05	131873
HLA-DPB1	0.481933595	1.45e-05	3115
CECR1	0.578665594	1.47e-05	NA
TMEM189-UBE2V1 /// TMEM189 /// UBE2V1	0.259660994	1.48e-05	NA
FAM126B	-0.618879045	1.49e-05	285172
RPS29	-0.194144113	1.5e-05	6235
MAMLD1	-0.473362515	1.5e-05	10046
GNE	-0.371651785	1.54e-05	10020
TJP2	-0.517961775	1.55e-05	9414
CYBA	0.443324498	1.55e-05	1535
RGS22	-0.494402202	1.55e-05	26166
CTGF	1.564906528	1.56e-05	NA
