Ensembl_ID	HGNC_symbol	logFC	Fold.Change	P.Value	adj.P.Val
ENSG00000127951	FGL2	-0.529469279	-1.443398118	0.00020119	0.194519773
ENSG00000068028	RASSF1	-0.513865161	-1.42787052	0.000217304	0.195458823
ENSG00000006704	GTF2IRD1	0.410070116	1.328750391	0.00021749	0.195458823
ENSG00000119535	CSF3R	-0.663272628	-1.583670971	0.000219086	0.195458823
ENSG00000087494	PTHLH	-0.56639952	-1.48082332	0.000226058	0.195458823
ENSG00000124205	EDN3	-0.735857014	-1.665386476	0.000228079	0.195458823
ENSG00000030582	GRN	-0.449177327	-1.365261517	0.000241949	0.199313759
ENSG00000184060	ADAP2	-0.856097324	-1.810135033	0.000243149	0.199313759
ENSG00000165617	DACT1	-0.801950664	-1.743456857	0.000250656	0.201095204
ENSG00000148908	RGS10	-1.151933049	-2.222114333	0.000257369	0.202179062
ENSG00000145808	ADAMTS19	0.420450564	1.338345465	0.00028693	0.216914134
ENSG00000181404	WASHC1	0.627775209	1.545180321	0.000287631	0.216914134
ENSG00000115459	ELMOD3	0.454325291	1.370141877	0.000298788	0.220420097
ENSG00000224161	RPS26P54	0.552839168	1.466969797	0.000309749	0.220420097
ENSG00000105409	ATP1A3	0.665725165	1.586365453	0.00031945	0.220420097
ENSG00000132965	ALOX5AP	-1.329737358	-2.513569113	0.000330524	0.220420097
ENSG00000105122	RASAL3	-0.714854011	-1.641317121	0.000331659	0.220420097
ENSG00000139679	LPAR6	-0.737740703	-1.667562348	0.000331852	0.220420097
ENSG00000137198	GMPR	0.488705454	1.403185218	0.000335972	0.220420097
ENSG00000213316	LTC4S	-0.623450805	-1.540555657	0.000339045	0.220420097
ENSG00000128335	APOL2	0.889593965	1.852654635	0.00035431	0.220697065
ENSG00000073737	DHRS9	-0.837164787	-1.786535754	0.000366354	0.222808247
ENSG00000114013	CD86	-0.623657606	-1.540776502	0.000377526	0.223035351
ENSG00000026036	RTEL1-TNFRSF6B	0.689482261	1.612704664	0.000384424	0.223035351
ENSG00000171476	HOPX	-0.510616221	-1.424658583	0.000384472	0.223035351
ENSG00000076344	RGS11	0.619185685	1.536007952	0.000402467	0.223758661
ENSG00000116774	OLFML3	-0.601315751	-1.517099544	0.000406267	0.223758661
ENSG00000226091	LINC00937	0.469502825	1.384632221	0.000409055	0.223758661
ENSG00000179632	MAF1	0.455730612	1.371477175	0.000418261	0.223758661
ENSG00000235034	C19orf81	0.614919519	1.531472561	0.000418274	0.223758661
ENSG00000051523	CYBA	-1.059671153	-2.084456338	0.000421324	0.223758661
ENSG00000174996	KLC2	0.604771066	1.520737415	0.000430096	0.225244754
ENSG00000166927	MS4A7	-0.485302498	-1.399879355	0.000459545	0.233702876
ENSG00000156299	TIAM1	-0.562864504	-1.477199321	0.000478001	0.233702876
ENSG00000103064	SLC7A6	0.590555761	1.505826716	0.000483433	0.233702876
ENSG00000139910	NOVA1	-0.590987458	-1.506277372	0.000497343	0.237383742
ENSG00000169413	RNASE6	-0.50656649	-1.420665089	0.000514224	0.240729275
ENSG00000137460	FHDC1	0.518136681	1.432104413	0.000521707	0.240729275
ENSG00000138698	RAP1GDS1	-0.956765832	-1.940953872	0.000523505	0.240729275
ENSG00000231389	HLA-DPA1	-0.920135205	-1.892292625	0.000538233	0.244520081
ENSG00000074964	ARHGEF10L	0.380405055	1.301707275	0.000555032	0.248883105
ENSG00000078237	TIGAR	-0.608721362	-1.524907108	0.000564465	0.248883105
ENSG00000159261	CLDN14	0.338390884	1.264345614	0.000567639	0.248883105
ENSG00000213160	KLHL23	-0.693027939	-1.616673046	0.000604351	0.256047874
ENSG00000104756	KCTD9	0.638414456	1.556617473	0.000614333	0.256089579
ENSG00000133315	MACROD1	0.590308251	1.505568398	0.000618033	0.256089579
ENSG00000250546		-0.372528044	-1.294619414	0.000643349	0.261738261
ENSG00000173272	MZT2A	0.531463793	1.445394984	0.000645547	0.261738261
ENSG00000112183	RBM24	-0.629903781	-1.547461784	0.000708033	0.278539125
ENSG00000282608	ADORA3	-0.530082254	-1.444011522	0.0007147	0.278539125
ENSG00000145681	HAPLN1	-0.809861651	-1.753043325	0.000731448	0.278539125
ENSG00000100982	PCIF1	0.476007898	1.390889586	0.000733581	0.278539125
ENSG00000212932	RPL23AP4	0.876078337	1.835379421	0.000771157	0.278539125
ENSG00000228432	DHFRP2	-0.446119472	-1.36237085	0.000774572	0.278539125
ENSG00000032219	ARID4A	-0.361069152	-1.284377371	0.000777762	0.278539125
ENSG00000174197	MGA	0.512932477	1.426947718	0.000797393	0.278539125
ENSG00000177595	PIDD1	0.794376556	1.734327742	0.000806195	0.278539125
ENSG00000184254	ALDH1A3	0.896211984	1.861172769	0.000817567	0.278539125
ENSG00000238278	ALG1L6P	1.032701173	2.045851136	0.000823666	0.278539125
ENSG00000188807	TMEM201	0.479656435	1.39441156	0.000831379	0.278539125
ENSG00000168944	CEP120	-0.392207006	-1.312399552	0.000831466	0.278539125
ENSG00000119383	PTPA	0.651700695	1.571019073	0.000834889	0.278539125
ENSG00000029534	ANK1	0.737656815	1.667465387	0.000840514	0.278539125
ENSG00000139266	MARCH9	-0.391607146	-1.311853981	0.000841262	0.278539125
ENSG00000227887	RPS26P13	0.523132184	1.43707184	0.000841781	0.278539125
ENSG00000204653	ASPDH	0.614384165	1.53090437	0.00084211	0.278539125
ENSG00000157502	MUM1L1	-0.859672824	-1.814626741	0.00085752	0.281169494
ENSG00000127084	FGD3	-0.528142335	-1.442071138	0.000879593	0.283191973
ENSG00000164512	ANKRD55	-0.624275823	-1.54143689	0.000879832	0.283191973
ENSG00000131931	THAP1	-0.537723721	-1.451680253	0.000903571	0.283191973
ENSG00000188529	SRSF10	-0.569802278	-1.484320129	0.000932193	0.283191973
ENSG00000165102	HGSNAT	-0.40766371	-1.326535891	0.000939873	0.283191973
ENSG00000170293	CMTM8	-0.692530998	-1.616116273	0.000939998	0.283191973
ENSG00000131558	EXOC4	-0.497348953	-1.411617238	0.000949337	0.283191973
ENSG00000086730	LAT2	-0.476264096	-1.391136606	0.000950179	0.283191973
ENSG00000109339	MAPK10	-1.52065392	-2.869210709	0.000951621	0.283191973
ENSG00000144406	UNC80	-0.429931144	-1.347169279	0.000957017	0.283191973
ENSG00000196821	C6orf106	-0.811578427	-1.755130649	0.000967643	0.283191973
ENSG00000225585	IPPKP1	0.377893127	1.299442798	0.000982256	0.283191973
ENSG00000100122	CRYBB1	-0.401793778	-1.321149544	0.00100918	0.283191973
ENSG00000106560	GIMAP2	-0.337695813	-1.263736616	0.001036258	0.283191973
ENSG00000275395	FCGBP	-0.668271608	-1.589167955	0.001040288	0.283191973
ENSG00000136381	IREB2	-0.38959879	-1.310029037	0.001060636	0.283191973
ENSG00000139567	ACVRL1	-0.986622497	-1.981540559	0.001064492	0.283191973
ENSG00000163273	NPPC	-0.379269191	-1.300682817	0.001068598	0.283191973
ENSG00000145685	LHFPL2	-0.516168305	-1.430151818	0.001068677	0.283191973
ENSG00000110274	CEP164	0.813651038	1.757653925	0.001072625	0.283191973
ENSG00000106526	ACTR3C	0.321099827	1.249282566	0.001082664	0.283191973
ENSG00000168234	TTC39C	0.616829005	1.533500891	0.001084444	0.283191973
ENSG00000100644	HIF1A	0.469666941	1.38478974	0.001089949	0.283191973
ENSG00000103490	PYCARD	-0.556412181	-1.470607432	0.001090634	0.283191973
ENSG00000124493	GRM4	0.489858436	1.404307072	0.001109615	0.283191973
ENSG00000066294	CD84	-0.439712405	-1.356333921	0.001118616	0.283191973
ENSG00000099999	RNF215	0.562066315	1.476382268	0.001120059	0.283191973
ENSG00000171988	JMJD1C	-0.606615284	-1.52268264	0.001133237	0.283191973
ENSG00000134152	KATNBL1	0.434317433	1.351271369	0.001171687	0.283191973
ENSG00000133069	TMCC2	0.734361305	1.663660788	0.001206572	0.283191973
ENSG00000162980	ARL5A	-0.606049209	-1.522085297	0.001206784	0.283191973
ENSG00000174992	ZG16	0.342460246	1.267916946	0.001214205	0.283191973
ENSG00000133627	ACTR3B	-0.805081808	-1.747244867	0.001237779	0.283191973
ENSG00000125730	C3	-0.628259247	-1.545698831	0.001243638	0.283191973
ENSG00000173369	C1QB	-1.455833072	-2.74314916	0.00125645	0.283191973
ENSG00000228696	ARL17B	0.717434671	1.6442557	0.001256992	0.283191973
ENSG00000137752	CASP1	-0.477610844	-1.392435831	0.001262776	0.283191973
ENSG00000108984	MAP2K6	-0.351095721	-1.275529019	0.001273498	0.283191973
ENSG00000183914	DNAH2	-0.406485734	-1.325453203	0.001281118	0.283191973
ENSG00000183773	AIFM3	0.865718571	1.822247058	0.001296003	0.283191973
ENSG00000075340	ADD2	-0.488794976	-1.40327229	0.001302132	0.283191973
ENSG00000173227	SYT12	0.583196208	1.498164672	0.001306453	0.283191973
ENSG00000180251	SLC9A4	0.429291491	1.346572112	0.001325103	0.283191973
ENSG00000123505	AMD1	-0.88511831	-1.846916074	0.001327046	0.283191973
ENSG00000197093	GAL3ST4	-0.73643046	-1.66604857	0.001334788	0.283191973
ENSG00000104064	GABPB1	0.40508767	1.324169375	0.001337324	0.283191973
ENSG00000140678	ITGAX	-0.42685105	-1.344296196	0.001337754	0.283191973
ENSG00000073969	NSF	-0.552697038	-1.466825283	0.001342821	0.283191973
ENSG00000143499	SMYD2	0.530411111	1.444340717	0.001349923	0.283191973
ENSG00000178573	MAF	-0.720012449	-1.647196248	0.001359056	0.283191973
ENSG00000159840	ZYX	0.7974222	1.737992913	0.00135937	0.283191973
ENSG00000122986	HVCN1	-0.401497783	-1.320878514	0.001368168	0.283458749
ENSG00000103415	HMOX2	0.475860996	1.390747967	0.001384108	0.284040762
ENSG00000166664	CHRFAM7A	-0.718599118	-1.645583368	0.001396967	0.284040762
ENSG00000227232	WASH7P	0.491763838	1.406163	0.0014025	0.284040762
ENSG00000053702	NRIP2	0.589147539	1.504357588	0.001412503	0.284040762
ENSG00000090612	ZNF268	0.326364476	1.253849747	0.001416174	0.284040762
ENSG00000140968	IRF8	-0.500188851	-1.414398697	0.001440731	0.285132725
ENSG00000159140	SON	0.353153235	1.277349425	0.001443948	0.285132725
ENSG00000159733	ZFYVE28	0.430211928	1.347431497	0.001446397	0.285132725
ENSG00000187091	PLCD1	0.61734121	1.534045432	0.001451865	0.285132725
ENSG00000079841	RIMS1	-0.91590153	-1.886747719	0.001471451	0.285556574
ENSG00000134215	VAV3	1.330260868	2.514481376	0.001478857	0.285556574
ENSG00000136167	LCP1	-0.725944531	-1.653983143	0.001484316	0.285556574
ENSG00000143369	ECM1	0.705720313	1.630958772	0.00152366	0.291637793
ENSG00000103460	TOX3	-0.456794383	-1.372488806	0.001533559	0.292050069
ENSG00000163125	RPRD2	0.645836258	1.56464597	0.001551346	0.292162629
ENSG00000204482	LST1	-0.611460593	-1.527805185	0.001567246	0.292162629
ENSG00000184828	ZBTB7C	0.554200843	1.468355037	0.001573382	0.292162629
ENSG00000104691	UBXN8	-0.558319215	-1.472552648	0.001579031	0.292162629
ENSG00000080709	KCNN2	-0.439824779	-1.356439573	0.001589849	0.292162629
ENSG00000153551	CMTM7	-0.622863006	-1.539928115	0.001591001	0.292162629
ENSG00000166257	SCN3B	-0.989807994	-1.98592067	0.001598734	0.292162629
ENSG00000114026	OGG1	-0.594083326	-1.509513151	0.001603884	0.292162629
ENSG00000268043	NBPF12	0.3484475	1.273189796	0.001623466	0.294307832
ENSG00000100284	TOM1	0.551451747	1.465559709	0.001638356	0.295586123
ENSG00000104043	ATP8B4	-0.384961174	-1.305824644	0.001665263	0.297885605
ENSG00000181984	GOLGA8CP	0.662205684	1.582500202	0.001668254	0.297885605
ENSG00000006459	KDM7A	0.512231792	1.426254849	0.00167555	0.297885605
ENSG00000214595	EML6	-0.401954216	-1.321296474	0.001690602	0.297885605
ENSG00000018189	RUFY3	-0.65613504	-1.575855269	0.001710153	0.298300471
ENSG00000169059	VCX3A	0.449137789	1.365224101	0.00172731	0.298300471
ENSG00000112237	CCNC	-0.730896545	-1.659670153	0.001740848	0.298300471
ENSG00000119614	VSX2	0.29679026	1.22840838	0.001753644	0.298300471
ENSG00000133119	RFC3	-0.365912406	-1.288696384	0.001763548	0.298300471
ENSG00000186577	SMIM29	-0.362265939	-1.285443267	0.001769797	0.298300471
ENSG00000179222	MAGED1	-0.404235196	-1.323387168	0.001772537	0.298300471
ENSG00000065989	PDE4A	0.526569212	1.440499553	0.001774826	0.298300471
ENSG00000154330	PGM5	-0.695898816	-1.619893331	0.001781424	0.298300471
ENSG00000213199	ASIC3	0.537640487	1.451596504	0.001793685	0.298300471
ENSG00000177463	NR2C2	-0.627765573	-1.54517	0.001798615	0.298300471
ENSG00000174514	MFSD4A	-0.871028812	-1.828966704	0.00180377	0.298300471
ENSG00000113555	PCDH12	-0.393309536	-1.313402891	0.001818014	0.298300471
ENSG00000164794	KCNV1	-0.508932588	-1.422996968	0.001844363	0.301062355
ENSG00000173933	RBM4	-0.583484411	-1.498463986	0.001863819	0.301356597
ENSG00000156052	GNAQ	-1.126280867	-2.182952694	0.001874918	0.301356597
ENSG00000150627	WDR17	-0.41495771	-1.333259594	0.001901533	0.301356597
ENSG00000196071	OR2L13	-0.764005352	-1.698198792	0.001908758	0.301356597
ENSG00000134121	CHL1	-1.388409689	-2.617899454	0.001911411	0.301356597
ENSG00000165533	TTC8	-0.5330297	-1.446964673	0.001914208	0.301356597
ENSG00000082684	SEMA5B	0.559488541	1.473746658	0.001915591	0.301356597
ENSG00000155307	SAMSN1	-0.395038348	-1.314977713	0.001965347	0.301356597
ENSG00000165731	RET	0.381721364	1.302895489	0.001973766	0.301356597
ENSG00000106682	EIF4H	-1.235288041	-2.354283472	0.001974385	0.301356597
ENSG00000117632	STMN1	-1.184463466	-2.272788546	0.001980929	0.301356597
ENSG00000143569	UBAP2L	-0.627293434	-1.544664408	0.001981563	0.301356597
ENSG00000111641	NOP2	0.430736832	1.347921829	0.001994341	0.301356597
ENSG00000187134	AKR1C1	-0.619600439	-1.536449595	0.001997555	0.301356597
ENSG00000101901	ALG13	-0.665664144	-1.586298357	0.002010068	0.301356597
ENSG00000143119	CD53	-0.430819053	-1.347998651	0.002016029	0.301356597
ENSG00000266733	TBC1D29	0.417154797	1.335291569	0.002027555	0.301356597
ENSG00000205810	KLRC3	-0.37602947	-1.297765276	0.002031209	0.301356597
ENSG00000204291	COL15A1	-0.291230909	-1.223683881	0.002034242	0.301356597
ENSG00000106443	PHF14	-0.482571286	-1.397231707	0.002041516	0.301356597
ENSG00000072858	SIDT1	-0.458994391	-1.374583351	0.002043312	0.301356597
ENSG00000240463	RPS19P3	0.454237257	1.370058273	0.002045967	0.301356597
ENSG00000114279	FGF12	-1.04155012	-2.058438178	0.002062678	0.302635767
ENSG00000169213	RAB3B	-0.772843907	-1.708634606	0.002075287	0.303305672
ENSG00000144868	TMEM108	-0.516487467	-1.430468241	0.002118868	0.30802381
ENSG00000170291	ELP5	0.33398097	1.260486765	0.002123908	0.30802381
ENSG00000151176	PLBD2	0.651322593	1.570607393	0.002163172	0.308760732
ENSG00000159182	PRAC1	0.303639652	1.234254283	0.002190521	0.308760732
ENSG00000110066	KMT5B	0.380133374	1.301462167	0.002206862	0.308760732
ENSG00000204116	CHIC1	-0.385724163	-1.30651543	0.002225724	0.308760732
ENSG00000164129	NPY5R	-0.496819139	-1.411098933	0.002227166	0.308760732
ENSG00000116521	SCAMP3	0.424192925	1.341821649	0.00223545	0.308760732
ENSG00000236491		0.322025634	1.250084514	0.002244139	0.308760732
ENSG00000275391	MIR6770-3	0.356688242	1.280483127	0.002245177	0.308760732
ENSG00000274512	TBC1D3L	0.568189992	1.482662252	0.002247668	0.308760732
ENSG00000139209	SLC38A4	0.333281222	1.259875541	0.002257797	0.308760732
ENSG00000140564	FURIN	0.554401728	1.468559509	0.002276381	0.308760732
ENSG00000119684	MLH3	0.341510711	1.267082719	0.002289347	0.309127495
ENSG00000141497	ZMYND15	-0.388326923	-1.308874636	0.002300671	0.309127495
ENSG00000042317	SPATA7	-0.388371501	-1.30891508	0.002314723	0.309127495
ENSG00000229944	EIF4EP2	-0.59868381	-1.514334389	0.00232006	0.309127495
ENSG00000183751	TBL3	0.396842782	1.316623435	0.002340494	0.309127495
ENSG00000070831	CDC42	-1.163671531	-2.240268312	0.002348929	0.309127495
ENSG00000100030	MAPK1	-0.483376326	-1.398011595	0.00235476	0.309127495
ENSG00000011347	SYT7	0.459074706	1.374659877	0.002358488	0.309127495
ENSG00000175216	CKAP5	-0.652135276	-1.571492379	0.002362326	0.309127495
ENSG00000109381	ELF2	-0.400883312	-1.320316047	0.002387217	0.309127495
ENSG00000197889	MEIG1	0.284515096	1.218000813	0.002392479	0.309127495
ENSG00000270074		-0.284662933	-1.218125631	0.002397612	0.309127495
ENSG00000102606	ARHGEF7	-0.745333808	-1.676362097	0.002403587	0.309127495
ENSG00000025796	SEC63	-0.427453441	-1.344857618	0.00240662	0.309127495
ENSG00000205444		0.327683632	1.254996753	0.002410255	0.309127495
ENSG00000239719		0.411347685	1.329927578	0.002430274	0.30948287
ENSG00000181541	MAB21L2	0.914345763	1.884714193	0.002438643	0.30948287
ENSG00000215475	SIAH3	-0.451318502	-1.367289274	0.002444946	0.30948287
ENSG00000129682	FGF13	-0.361130702	-1.284432167	0.002454634	0.30948287
ENSG00000115216	NRBP1	0.452955336	1.368841435	0.002462096	0.30948287
ENSG00000166863	TAC3	-0.8080187	-1.750805352	0.002474723	0.310014591
ENSG00000156875	MFSD14A	-0.681018217	-1.603270903	0.002500628	0.311192073
ENSG00000172889	EGFL7	0.426075367	1.343573613	0.002519304	0.311659345
ENSG00000163697	APBB2	-0.41025133	-1.328917303	0.002520914	0.311659345
ENSG00000070404	FSTL3	0.450453571	1.366469795	0.002551471	0.313382145
ENSG00000125378	BMP4	0.56996976	1.484492454	0.002572255	0.314201446
ENSG00000168434	COG7	0.444002741	1.360373437	0.002574807	0.314201446
ENSG00000188517	COL25A1	0.294615727	1.22655823	0.002585705	0.31448576
ENSG00000179148	ALOXE3	0.360155992	1.283564676	0.002596214	0.31448576
ENSG00000185024	BRF1	0.663398931	1.583809623	0.002602158	0.31448576
ENSG00000138650	PCDH10	-0.753312465	-1.685658706	0.002646678	0.316372025
ENSG00000069493	CLEC2D	-0.447042379	-1.363242652	0.00265131	0.316372025
ENSG00000137193	PIM1	0.645029295	1.56377104	0.002661416	0.316372025
ENSG00000068745	IP6K2	-0.674017317	-1.595509631	0.002664307	0.316372025
ENSG00000171502	COL24A1	-0.730016343	-1.658657881	0.00267993	0.316372025
ENSG00000106415	GLCCI1	-0.390536824	-1.31088109	0.002684214	0.316372025
ENSG00000109534	GAR1	-0.371441034	-1.293644341	0.002744103	0.319357681
ENSG00000188324	OR6C6	-0.35399497	-1.278094907	0.002753468	0.319461551
ENSG00000139318	DUSP6	-0.724038038	-1.65179888	0.002768993	0.320277336
ENSG00000168395	ING5	-0.355565922	-1.279487384	0.002779137	0.32044658
ENSG00000143740	SNAP47	0.46474794	1.380076213	0.002804338	0.32044658
ENSG00000166250	CLMP	0.311904686	1.241345477	0.002812948	0.32044658
ENSG00000113532	ST8SIA4	-0.392640423	-1.312793885	0.002825633	0.320922162
ENSG00000132744	ACY3	-0.476210739	-1.391085157	0.002862784	0.324165142
ENSG00000147753	TTTY7	-0.312237385	-1.241631776	0.002885325	0.324767065
ENSG00000264112		0.488387636	1.402876137	0.002924862	0.327263456
ENSG00000101773	RBBP8	0.39557236	1.315464541	0.002949454	0.328470632
ENSG00000168802	CHTF8	0.426476926	1.343947634	0.002959282	0.328470632
ENSG00000109255	NMU	-0.658454076	-1.578390388	0.002969934	0.328470632
ENSG00000119688	ABCD4	-0.286975308	-1.220079628	0.002975744	0.328470632
ENSG00000266028	SRGAP2	-0.475121796	-1.390035565	0.002987918	0.328470632
ENSG00000203709	C1orf132	0.598342726	1.51397641	0.00299838	0.328662538
ENSG00000174876	AMY1B	-0.389178177	-1.309647158	0.003043811	0.330761004
ENSG00000176007	FAM220BP	-0.334580083	-1.26101032	0.00304384	0.330761004
ENSG00000258707		-0.729174104	-1.657689847	0.003077576	0.3330058
ENSG00000157216	SSBP3	0.780395279	1.717601408	0.00308216	0.3330058
ENSG00000106367	AP1S1	-1.841504788	-3.583836418	0.003120146	0.334611255
ENSG00000102225	CDK16	-0.326352683	-1.253839498	0.00312973	0.334611255
ENSG00000198399	ITSN2	0.279405186	1.213694383	0.00318142	0.334611255
ENSG00000131002	TXLNGY	0.338842949	1.264741856	0.003184033	0.334611255
ENSG00000164418	GRIK2	-0.462644678	-1.378065707	0.003203215	0.334611255
ENSG00000185989	RASA3	0.553897402	1.468046232	0.003208807	0.334611255
ENSG00000162433	AK4	-0.521385159	-1.435332677	0.003212647	0.334611255
ENSG00000196503	ARL9	-0.63059049	-1.548198536	0.003217604	0.334611255
ENSG00000140526	ABHD2	0.302429509	1.233219417	0.003245456	0.334611255
ENSG00000207716	MIR572	-0.41035367	-1.329011575	0.003245704	0.334611255
ENSG00000100060	MFNG	-0.497742345	-1.412002208	0.003268267	0.334611255
ENSG00000196154	S100A4	-0.493583833	-1.407938027	0.003271163	0.334611255
ENSG00000117697	NSL1	0.326570682	1.254028974	0.003272283	0.334611255
ENSG00000160194	NDUFV3	-0.286431402	-1.219619736	0.003283963	0.334611255
ENSG00000148835	TAF5	0.33509386	1.261459475	0.003285934	0.334611255
ENSG00000159189	C1QC	-1.183054302	-2.270569665	0.003292247	0.334611255
ENSG00000148110	MFSD14B	-0.618708946	-1.535500462	0.003321293	0.334873441
ENSG00000132958	TPTE2	-0.415494615	-1.333755865	0.003346152	0.334873441
ENSG00000151846	PABPC3	-0.472526583	-1.387537327	0.003347225	0.334873441
ENSG00000197903	HIST1H2BK	-0.464431345	-1.379773393	0.003356035	0.334873441
ENSG00000163171	CDC42EP3	-0.349897303	-1.274469902	0.003358517	0.334873441
ENSG00000255993	PSMC1P9	-0.713286613	-1.639534902	0.003379204	0.334873441
ENSG00000268034		-0.686153765	-1.608988222	0.003379405	0.334873441
ENSG00000139645	ANKRD52	0.395098161	1.315032232	0.003392741	0.334873441
ENSG00000100227	POLDIP3	-0.356657159	-1.280455539	0.003397823	0.334873441
ENSG00000116017	ARID3A	0.443949368	1.36032311	0.003401398	0.334873441
ENSG00000112511	PHF1	0.577945079	1.492721556	0.003449016	0.337797559
ENSG00000198026	ZNF335	0.453382488	1.36924678	0.003479753	0.338366643
ENSG00000103742	IGDCC4	0.633723591	1.551564413	0.003480004	0.338366643
ENSG00000231171	LINC01098	-0.356670168	-1.280467085	0.003508917	0.338366643
ENSG00000150175	FRMPD2B	-1.344745478	-2.539853841	0.003510496	0.338366643
ENSG00000187678	SPRY4	-0.354479697	-1.278524402	0.003512694	0.338366643
ENSG00000175318	GRAMD2A	-0.344263959	-1.269503136	0.003520089	0.338366643
ENSG00000179862	CITED4	0.46913398	1.384278265	0.003524749	0.338366643
ENSG00000197461	PDGFA	0.301394193	1.232334743	0.003526616	0.338366643
ENSG00000197622	CDC42SE1	-0.311003523	-1.240570327	0.00357777	0.338646134
ENSG00000154016	GRAP	-0.592181987	-1.507525062	0.003581838	0.338646134
ENSG00000174574	AKIRIN1	-0.875227814	-1.834297714	0.003587025	0.338646134
ENSG00000145248	SLC10A4	-0.558828495	-1.473072559	0.003588542	0.338646134
ENSG00000144161	ZC3H8	-0.491166044	-1.405580464	0.003592516	0.338646134
ENSG00000099917	MED15	0.445375032	1.361668039	0.003611899	0.338646134
ENSG00000133106	EPSTI1	-0.457568146	-1.373225113	0.003627943	0.338646134
ENSG00000225406		0.440851155	1.357404927	0.003637792	0.338646134
ENSG00000135486	HNRNPA1	-0.592212669	-1.507557124	0.003643939	0.338646134
ENSG00000239264	TXNDC5	-0.429985242	-1.347219795	0.003646281	0.338646134
ENSG00000114019	AMOTL2	0.323216356	1.251116692	0.003660514	0.338981231
ENSG00000105383	CD33	-0.400466689	-1.31993482	0.003683593	0.338981231
ENSG00000101187	SLCO4A1	0.31491872	1.243941569	0.003692318	0.338981231
ENSG00000164122	ASB5	0.32746952	1.254810512	0.00369238	0.338981231
ENSG00000198743	SLC5A3	-0.341290368	-1.266889212	0.003696844	0.338981231
ENSG00000157680	DGKI	-0.592477497	-1.507833883	0.003716424	0.338981231
ENSG00000167785	ZNF558	0.386783937	1.307475522	0.003743152	0.338981231
ENSG00000234903		0.267155179	1.203432463	0.003746072	0.338981231
ENSG00000142733	MAP3K6	0.520429409	1.434382119	0.003758753	0.338981231
ENSG00000243491		0.399956927	1.319468516	0.003769696	0.338981231
ENSG00000137161	CNPY3	-0.452073633	-1.368005123	0.003784738	0.338981231
ENSG00000105428	ZNRF4	0.328217455	1.25546121	0.003826955	0.341634539
ENSG00000110429	FBXO3	-0.838795149	-1.788555825	0.003881916	0.344412763
ENSG00000136531	SCN2A	-0.700545616	-1.625119284	0.003905311	0.345479874
ENSG00000229373	LINC00452	0.332844715	1.259494407	0.003912268	0.345479874
