GeneID	logFC	Fold.Change	P.Value	adj.P.val	hgnc_symbol
16868187	0.873639787	1.832279747	2.29e-08	1.47e-05	MYO1F
16677407	0.456054687	1.371785287	2.44e-08	1.55e-05	SMYD2
17075478	0.77205985	1.707706271	2.64e-08	1.66e-05	LOXL2 /// ENTPD4
17009093	-0.915631976	-1.88639523	2.73e-08	1.67e-05	VEGFA
16664802	-0.511980327	-1.426006272	2.76e-08	1.67e-05	SCP2
16818272	2.222464424	4.666899578	2.78e-08	1.67e-05	ITGAX
17010584	-0.621233258	-1.538189509	2.89e-08	1.72e-05	BCKDHB
17031139	0.865478512	1.821943868	3.09e-08	1.82e-05	---
16760792	1.916817801	3.775892787	3.25e-08	1.89e-05	CD163
17046041	0.395961217	1.315819152	3.36e-08	1.93e-05	IKZF1
17020846	1.082868321	2.118243322	3.41e-08	1.93e-05	COL12A1
16757098	0.425118581	1.342682859	3.47e-08	1.95e-05	SH2B3
16866849	-0.720458982	-1.647706156	3.55e-08	1.97e-05	MKNK2
17000793	1.227155414	2.341049459	4.09e-08	2.22e-05	CD14
16698883	1.404017856	2.646375634	4.09e-08	2.22e-05	LAMB3
16926893	-0.527744838	-1.441673868	4.45e-08	2.39e-05	BCL2L13
17109927	-0.839163645	-1.789012719	5.08e-08	2.69e-05	DMD
16703495	-0.367536273	-1.29014773	5.24e-08	2.72e-05	RAB18
16672838	1.946881976	3.855403816	5.28e-08	2.72e-05	FCER1G
16992122	1.108572822	2.156322288	5.29e-08	2.72e-05	DOCK2
16672390	0.623151505	1.540236088	5.48e-08	2.78e-05	IFI16
16919022	0.87942941	1.839647572	5.62e-08	2.83e-05	SAMHD1
16935455	-0.415039063	-1.333334779	6.04e-08	3.01e-05	PMM1
17040221	0.433175223	1.350201964	6.15e-08	3.03e-05	---
16929741	0.880946566	1.841583185	6.93e-08	3.37e-05	CYTH4
16841768	-0.909371511	-1.878227099	6.99e-08	3.37e-05	CENPV
17111711	1.756678992	3.379193563	7.61e-08	3.6e-05	VSIG4
16894614	-0.233799523	-1.175927832	7.62e-08	3.6e-05	NBAS
16712482	0.419555666	1.337515552	8.3e-08	3.89e-05	PIP4K2A
16792688	-0.359941754	-1.283374083	8.56e-08	3.94e-05	L2HGDH
16740725	1.643938338	3.125177945	8.62e-08	3.94e-05	CD248
16896579	-0.398498536	-1.318135366	8.67e-08	3.94e-05	ATL2
16832880	1.274169921	2.418596197	8.73e-08	3.94e-05	ADAP2
16838985	-0.20739746	-1.154603465	9e-08	3.99e-05	---
17102538	1.941092357	3.839962858	9.06e-08	3.99e-05	CYBB
16684056	0.55657959	1.47077809	9.11e-08	3.99e-05	FGR
17028313	0.897774815	1.863190017	9.37e-08	4.07e-05	---
17032710	0.442679269	1.359126056	1.01e-07	4.25e-05	---
16859763	2.676600866	6.393477586	1.02e-07	4.25e-05	IFI30
16819856	0.721191407	1.648542873	1.02e-07	4.25e-05	CMTM3
17119792	-1.619140629	-3.071919966	1.03e-07	4.25e-05	---
17030026	0.442435128	1.358896076	1.03e-07	4.25e-05	---
17105278	-1.619280137	-3.072217032	1.03e-07	4.25e-05	---
16967631	-1.676130021	-3.19569566	1.07e-07	4.38e-05	SLC4A4
16791669	-0.284406391	-1.217909042	1.09e-07	4.4e-05	HECTD1
16758052	0.778128489	1.714904799	1.12e-07	4.49e-05	P2RX7
17033604	0.846121666	1.797661849	1.14e-07	4.56e-05	---
17041225	0.822370263	1.768308834	1.19e-07	4.68e-05	---
17038596	0.822161004	1.768052365	1.2e-07	4.68e-05	---
17035880	0.822161004	1.768052365	1.2e-07	4.68e-05	---
16666239	-0.577218206	-1.491969668	1.24e-07	4.7e-05	ACADM
17018908	-0.754054479	-1.686525906	1.24e-07	4.7e-05	MOCS1 /// LOC100505635
16826879	-0.446428576	-1.362662776	1.24e-07	4.7e-05	CSNK2A2
16929662	1.027326308	2.03824335	1.25e-07	4.72e-05	NCF4
16726065	-1.045724061	-2.064402183	1.28e-07	4.74e-05	LGALS12
16968246	0.85032436	1.802906226	1.28e-07	4.74e-05	BMP2K
17024079	-1.49607631	-2.820745117	1.3e-07	4.81e-05	MAP3K5
17037511	0.455060686	1.370840467	1.47e-07	5.37e-05	---
16867915	-0.600394111	-1.516130682	1.49e-07	5.37e-05	INSR
16711598	0.796561106	1.736955877	1.49e-07	5.37e-05	ITIH5
16943184	-0.617754254	-1.534484693	1.5e-07	5.38e-05	ST3GAL6
16719644	-0.62273298	-1.539789331	1.57e-07	5.56e-05	BNIP3
16692834	1.937988283	3.831709754	1.6e-07	5.62e-05	CTSS
17103185	0.614222937	1.530733293	1.65e-07	5.74e-05	TIMP1
16958356	0.687604632	1.610607138	1.65e-07	5.74e-05	ITGB5
17045291	1.046142576	2.065001136	1.79e-07	6.15e-05	EPDR1
16986913	1.698172435	3.244896438	1.8e-07	6.15e-05	VCAN
16926460	0.422973632	1.340688088	1.82e-07	6.15e-05	ITGB2
16725210	1.898664203	3.728677969	1.82e-07	6.15e-05	MS4A7 /// MS4A14
16759592	-1.022460938	-2.03138112	1.85e-07	6.16e-05	PXMP2
16808974	-0.431815005	-1.348929552	1.86e-07	6.16e-05	COPS2
16968680	3.087193082	8.498410793	1.86e-07	6.16e-05	SPP1
16850595	1.308244979	2.476401055	1.88e-07	6.16e-05	EMILIN2
16824046	0.745465962	1.676515663	1.95e-07	6.36e-05	CPPED1
17084866	1.330008372	2.514041339	2.04e-07	6.61e-05	GLIPR2
16756649	-0.679094588	-1.601134593	2.08e-07	6.68e-05	ACACB
16872551	0.855643138	1.80956526	2.14e-07	6.83e-05	TGFB1
16767364	1.304085868	2.469272179	2.16e-07	6.85e-05	---
16882277	1.174525672	2.257186571	2.32e-07	7.32e-05	VAMP8
17126208	2.115408762	4.333127723	2.4e-07	7.5e-05	---
16874005	-0.902954101	-1.869890905	2.45e-07	7.56e-05	DBP
16780592	1.596121652	3.023294778	2.45e-07	7.56e-05	GPR183
16830343	-1.882202151	-3.686373244	2.46e-07	7.56e-05	SLC2A4
16898903	-1.162859234	-2.239007303	2.54e-07	7.71e-05	PAIP2B
16977111	-0.301487516	-1.232414461	2.55e-07	7.71e-05	CCDC158
16906800	-0.433663505	-1.350659019	2.56e-07	7.71e-05	GTF3C3
16776117	-0.607491629	-1.523607853	2.57e-07	7.71e-05	PCCA
16747678	0.687133787	1.610081578	2.61e-07	7.76e-05	C1S
16706600	0.667811802	1.588661547	2.63e-07	7.78e-05	PLAC9
16909081	1.078002929	2.111111721	2.73e-07	8.03e-05	DOCK10
17017805	0.395246233	1.315167208	2.76e-07	8.03e-05	GPSM3
16776856	0.322091241	1.250141364	2.76e-07	8.03e-05	LAMP1
16679907	-1.103009902	-2.148023686	2.92e-07	8.41e-05	LOC105379555
17080116	-0.346330917	-1.271323264	2.93e-07	8.41e-05	EIF3E /// LOC105375704
17051236	0.592564178	1.50792448	3.05e-07	8.72e-05	CALU
17087768	-1.889090402	-3.704016182	3.09e-07	8.76e-05	NIPSNAP3B
16899619	0.299665178	1.230858722	3.11e-07	8.76e-05	TGOLN2
16859395	0.605102539	1.52108686	3.26e-07	9.14e-05	MYO9B
16712879	-0.906372072	-1.874326221	3.28e-07	9.14e-05	SVIL
17018215	0.400565011	1.320024778	3.36e-07	9.3e-05	TAPBP
16914395	2.775913783	6.849096956	3.45e-07	9.51e-05	MMP9
17067170	-0.208356584	-1.155371317	3.63e-07	9.91e-05	BNIP3L
16705313	-0.917811804	-1.889247619	3.63e-07	9.91e-05	SIRT1
17093463	-0.840366911	-1.790505452	3.76e-07	0.000102017	CNTFR
17035441	1.375122069	2.593898574	3.82e-07	0.000102908	---
16957884	0.412423271	1.330919461	3.85e-07	0.000103165	FSTL1 /// LOC105374067 /// LOC105374068
16868219	1.181884764	2.268729747	3.99e-07	0.000106322	ADAMTS10
17096471	0.515694752	1.42968246	4.06e-07	0.000107593	TBC1D2
16877860	-0.402640209	-1.321924892	4.11e-07	0.000108428	HADHB
17067231	0.284232001	1.217761832	4.31e-07	0.000112927	PTK2B
16704375	0.797781809	1.738426183	4.37e-07	0.000113946	ALOX5
16983373	0.835518971	1.784498849	4.65e-07	0.000120641	FAM105A
16679003	1.288678854	2.443042318	4.68e-07	0.000120641	GPR137B
16750325	-0.442626936	-1.359076755	4.72e-07	0.000121052	ANO6
16948320	-0.614780972	-1.531325496	4.79e-07	0.000122207	USP13
16948572	-0.571498324	-1.486066137	4.83e-07	0.000122711	KLHL24
16985629	-0.516863144	-1.430840782	4.93e-07	0.000124528	MRPS36
16926433	0.244977679	1.185074436	5e-07	0.000125634	SUMO3
17043791	-0.724923269	-1.652812727	5.09e-07	0.000127232	MEOX2-AS1
16697119	0.534388953	1.448328591	5.22e-07	0.00012958	ARPC5
16969591	-0.549246653	-1.463321378	5.26e-07	0.00012958	HADH
17078121	-0.852155412	-1.805195906	5.26e-07	0.00012958	LACTB2
16995301	1.6232387	3.080658362	5.45e-07	0.000132885	RANBP3L
16712773	-0.819370815	-1.764636235	5.45e-07	0.000132885	MKX
17030643	1.361188614	2.568967455	5.51e-07	0.00013347	---
17117649	-0.661132816	-1.581323805	5.58e-07	0.000134546	---
17002141	0.838692801	1.788428946	5.65e-07	0.000135515	HAVCR2
16855781	1.241385324	2.36425447	5.67e-07	0.000135515	DSEL
16894335	0.597638812	1.513237897	5.73e-07	0.000136017	ADAM17
16814779	-0.475254605	-1.390163533	5.75e-07	0.000136017	HN1L
16690103	-0.623639787	-1.540757471	5.9e-07	0.000138945	DBT
16916802	1.1390904	2.202421197	6.02e-07	0.000140314	SIGLEC1
16672478	1.359218052	2.565460926	6.06e-07	0.000140314	SLAMF8
16843162	0.9919608	1.988886296	6.07e-07	0.000140314	EVI2B
16759087	-1.21623884	-2.323402074	6.08e-07	0.000140314	TMEM132C
17088164	0.582571849	1.497516448	6.18e-07	0.000142066	SLC31A2
16895471	-0.419747491	-1.337693403	6.27e-07	0.000142463	HADHA
16839769	0.331141882	1.258008685	6.28e-07	0.000142463	TAX1BP3 /// P2RX5-TAX1BP3 /// P2RX5
17027163	0.615495954	1.532084589	6.29e-07	0.000142463	---
16717005	1.080304828	2.114482805	6.35e-07	0.000142682	PIK3AP1
16828400	-1.015659877	-2.021827449	6.36e-07	0.000142682	LDHD
16924523	-0.432878769	-1.349924545	6.42e-07	0.000143411	MRPL39
16790776	-0.349731446	-1.274323394	6.47e-07	0.000143789	HOMEZ
16961989	-0.555943082	-1.470129334	6.5e-07	0.000143851	MCCC1
16729924	-1.150791716	-2.220357087	6.56e-07	0.000144602	NAALAD2
16881226	-0.39147949	-1.311737907	6.63e-07	0.000145212	ANKRD53
16824352	0.980887278	1.973678876	6.65e-07	0.000145212	XYLT1
16931361	-0.782714842	-1.720365186	6.72e-07	0.000146077	TTC38
17002681	0.813650949	1.757653817	6.85e-07	0.000148192	LCP2
16833545	-0.455601284	-1.371354237	6.9e-07	0.000148295	TADA2A
16754729	-1.250453406	-2.379161829	6.92e-07	0.000148295	ACSS3
16957396	0.735491074	1.664964104	6.95e-07	0.000148295	CCDC80
16730819	-0.398228236	-1.317888427	7.07e-07	0.000150164	ACAT1
16949365	-0.341657368	-1.26721153	7.15e-07	0.000151242	EIF4A2
17008706	0.631086076	1.548730456	7.18e-07	0.000151242	CNPY3
17086708	0.883649554	1.845036752	7.21e-07	0.000151275	SYK
17032495	0.6086077	1.524786974	7.28e-07	0.000151946	---
16691333	-2.318751747	-4.989003728	7.46e-07	0.000154966	CASQ2
16722032	-0.256958007	-1.194956422	7.48e-07	0.000154966	USP47
16783927	-0.59324428	-1.5086355	7.63e-07	0.000157248	KLHDC1
16726255	0.953055245	1.935968186	7.78e-07	0.000159757	FERMT3
17034810	0.592407229	1.507760444	7.93e-07	0.000161197	---
17039996	0.59226772	1.507614651	7.96e-07	0.000161197	---
16664708	-0.389142716	-1.309614968	7.97e-07	0.000161197	ZFYVE9
16841083	0.812133791	1.755806416	7.99e-07	0.000161197	PIK3R5
16816424	-0.90815081	-1.876638555	8.05e-07	0.000161729	SYT17
16862188	0.475638254	1.390533261	8.23e-07	0.000164789	PLD3
17080897	0.641357421	1.559796069	8.27e-07	0.000164924	MTSS1
16686060	-0.836094448	-1.785210811	8.32e-07	0.00016521	SLC2A1
16966137	-0.64477539	-1.56349585	8.41e-07	0.000166038	LIAS
16910478	-1.194893973	-2.28928007	8.43e-07	0.000166038	LOC105373974 /// BOK-AS1
16819883	-0.766688756	-1.701360372	8.48e-07	0.000166373	PDP2
17069937	0.609845842	1.52609613	8.77e-07	0.000171266	MSC-AS1
17123870	2.397652765	5.269451378	8.94e-07	0.000173966	---
16943107	-0.720232283	-1.647447263	9e-07	0.000174431	CRYBG3
16730522	0.359261649	1.282769226	9.1e-07	0.000175572	BIRC3
17095264	-0.20245361	-1.150653623	9.19e-07	0.000176727	GKAP1
16941560	0.892613001	1.856535628	9.28e-07	0.000177624	STAB1
16680891	-0.356515068	-1.280329433	9.76e-07	0.000186017	LRRC47
17044315	-0.621224541	-1.538180215	9.85e-07	0.000187146	FAM221A
16716782	0.854038785	1.807554047	9.95e-07	0.000187987	PDLIM1
16688864	-0.888985771	-1.851873781	9.98e-07	0.000187987	TTLL7
16757474	0.693045479	1.616692701	1.01e-06	0.00019001	PLBD2
16715083	-0.312430248	-1.241797771	1.02e-06	0.000190271	LOC102723350
17069816	-0.875610352	-1.834784153	1.04e-06	0.000193988	SULF1
16836260	-1.256783623	-2.389623985	1.06e-06	0.000197288	HLF
17043049	0.718366351	1.645317888	1.07e-06	0.00019751	TTYH3
17089735	0.493687224	1.408038931	1.08e-06	0.000198036	SPTAN1
17015331	1.566824781	2.962519768	1.08e-06	0.000198708	F13A1
16821083	-0.413800923	-1.332190984	1.09e-06	0.000199823	TERF2IP
16807342	0.442016604	1.358501919	1.1e-06	0.000200363	PLCB2
16695406	0.829223633	1.776728982	1.12e-06	0.000202277	CD84
16816214	0.889090403	1.852008092	1.13e-06	0.000203618	ABCC1
17019831	-0.595877513	-1.511391603	1.14e-06	0.000205317	MUT
16697095	0.93901716	1.917221681	1.16e-06	0.000208701	NCF2
16806122	-0.420270649	-1.338178573	1.19e-06	0.000212107	UBE3A
16947759	-1.229614259	-2.345042808	1.19e-06	0.000212107	EGFEM1P
16810473	-0.951206752	-1.933489261	1.2e-06	0.000212107	DAPK2 /// LOC105370860
16903140	0.759713311	1.693154131	1.21e-06	0.000213403	CXCR4
16834921	0.629534038	1.547065241	1.21e-06	0.000213848	HEXIM1
16836021	1.582589286	2.995069095	1.24e-06	0.000218237	ABCC3
17002612	0.521275111	1.435223194	1.25e-06	0.000219197	SLIT3
17092531	0.609776087	1.526022345	1.27e-06	0.000220875	FREM1
16661206	0.22732108	1.17065915	1.27e-06	0.000220875	RPS6KA1
16728642	1.18472726	2.273204159	1.3e-06	0.000223812	FOLR2
16657514	-0.73828125	-1.668187265	1.3e-06	0.000223812	LINC01128
16738630	0.784720288	1.722758276	1.31e-06	0.000224718	LPXN
16739979	-1.343662808	-2.537948523	1.35e-06	0.000229854	PYGM
16898518	-0.431535997	-1.348668702	1.35e-06	0.000229854	PPP3R1
16972912	-0.444126674	-1.360490303	1.36e-06	0.000229854	SLC25A4
16910143	0.16734968	1.12299358	1.36e-06	0.000229854	LOC102723825
16809457	0.734915595	1.664300096	1.36e-06	0.000229854	MYO5A
16689020	-0.987566266	-1.982837248	1.38e-06	0.000232695	MCOLN3
17115825	-0.873997279	-1.832733833	1.39e-06	0.000232758	PLCXD1
17007824	-0.658482144	-1.578421096	1.39e-06	0.000232758	FANCE
17080408	-0.304277693	-1.234800261	1.4e-06	0.000232996	RAD21 /// MIR3610
16869186	0.447753907	1.36391516	1.42e-06	0.000236129	MAN2B1
17124778	-0.472865513	-1.387863338	1.44e-06	0.000238213	---
17005420	0.644531249	1.563231289	1.46e-06	0.000241087	LRRC16A /// LOC105375106
16866912	-0.897617888	-1.862987363	1.48e-06	0.000242381	PLEKHJ1
16880977	-1.062656947	-2.088774785	1.5e-06	0.00024464	PROKR1 /// APLF
17088701	0.492222379	1.40661	1.52e-06	0.000246489	DAB2IP
16730340	-0.274501254	-1.209575861	1.52e-06	0.000246489	CEP57
16897349	-0.307094029	-1.237213112	1.52e-06	0.000246489	FBXO11
16668420	0.670863561	1.592025629	1.55e-06	0.000249469	CSF1
16821404	-0.388898578	-1.309393369	1.55e-06	0.000249469	MLYCD
16834766	0.587611624	1.502756879	1.56e-06	0.000249469	GRN
16738819	1.344220843	2.538930393	1.58e-06	0.000252068	MS4A6A
16968447	-1.76175363	-3.391100709	1.58e-06	0.000252068	GPAT3
16719417	1.237008231	2.357092263	1.59e-06	0.000252974	ADAM12
16738897	0.496425086	1.410713562	1.62e-06	0.000255509	SLC15A3
17105321	1.804129476	3.49218376	1.62e-06	0.000256082	TNMD
16663033	0.620675223	1.537594652	1.64e-06	0.000256664	SMAP2
17055789	-0.355398996	-1.27933935	1.64e-06	0.000256664	TOMM7
16760953	1.343331474	2.537365718	1.64e-06	0.000256664	MFAP5
16964316	0.296648299	1.228287511	1.66e-06	0.000257841	HTT
16698185	2.375959125	5.190807997	1.67e-06	0.000258551	CHI3L1
16929562	0.959106448	1.944105415	1.7e-06	0.000263044	HMOX1
17045475	-0.317121233	-1.245842103	1.74e-06	0.000267752	MRPL32
16840155	0.22356307	1.167613721	1.75e-06	0.000268559	PFN1
17109503	-0.626604354	-1.5439268	1.75e-06	0.000268706	PHKA2
16738694	1.265938893	2.404836637	1.77e-06	0.000269929	MPEG1
17025230	0.506373813	1.420475367	1.78e-06	0.000271289	TAGAP
16660581	1.298409601	2.459575943	1.81e-06	0.0002741	C1QC
16696177	-1.267037529	-2.406668655	1.83e-06	0.000276947	SLC19A2
16684144	0.701328824	1.626001765	1.86e-06	0.000280428	PTAFR
16896049	-0.171447752	-1.126188054	1.87e-06	0.000281282	ALK
16704690	0.344133653	1.269388478	1.88e-06	0.000281282	WDFY4
17086048	0.649135044	1.568227696	1.88e-06	0.000281493	GCNT1
16983451	1.516793389	2.861543204	1.92e-06	0.000285235	BASP1
17050134	0.818219866	1.76322901	1.93e-06	0.000285516	PIK3CG
16769481	0.76511928	1.699510505	1.93e-06	0.000285516	ALDH1L2
17096965	-0.832013811	-1.780168508	1.94e-06	0.000285516	EPB41L4B
16955939	-0.593819754	-1.509237397	2e-06	0.000292419	LRIG1
16672583	0.396379745	1.316200928	2.01e-06	0.000292419	PEA15
16723614	0.749250142	1.680918926	2.01e-06	0.000292419	CD44
16971226	-0.374668666	-1.296541752	2.02e-06	0.000292419	LSM6
17056701	1.181971958	2.268866869	2.02e-06	0.000292419	AOAH
16877225	-0.669712611	-1.590756052	2.02e-06	0.000292419	LPIN1
17027817	1.065307616	2.092616026	2.03e-06	0.000292419	---
17038140	1.065185546	2.092438972	2.04e-06	0.000292419	---
17040735	1.065534316	2.092944878	2.04e-06	0.000292419	---
17006683	1.065098352	2.092312513	2.05e-06	0.000292419	AIF1
17039113	0.401611326	1.320982474	2.05e-06	0.000292419	---
16786607	0.388253349	1.308807888	2.05e-06	0.000292419	JDP2
17126286	0.389212473	1.309678292	2.09e-06	0.000296235	---
17069063	0.883649553	1.84503675	2.12e-06	0.000299005	LYN
16875145	-0.502127509	-1.416300609	2.12e-06	0.000299005	ZNF160
16911070	0.286865233	1.219986542	2.13e-06	0.000299707	AP5S1
16819689	-1.62702288	-3.088749516	2.18e-06	0.000306402	NDRG4
17108827	1.317121234	2.491684206	2.21e-06	0.000308303	PRKX
17021004	-0.450735909	-1.366737243	2.21e-06	0.000308303	PHIP
16905238	0.501063759	1.415256705	2.35e-06	0.000326281	WIPF1
16944618	0.988874162	1.984635633	2.36e-06	0.000327461	CD86
16819082	0.677559988	1.599432367	2.42e-06	0.000334423	LPCAT2
16950632	-0.444370816	-1.360720553	2.43e-06	0.000334469	EMC3
16661141	0.581211636	1.496105213	2.43e-06	0.000334469	SH3BGRL3
16784157	0.416120256	1.334334388	2.46e-06	0.000336475	GNG2
16818610	-1.087838309	-2.125553113	2.47e-06	0.000337957	GPT2
16831125	-0.077854703	-1.055447415	2.54e-06	0.000346545	DNAH9
16818239	0.977975026	1.969698789	2.55e-06	0.000346545	ITGAM
16967981	-0.543247767	-1.457249359	2.58e-06	0.000349327	FAM47E /// FAM47E-STBD1 /// STBD1
17068170	0.597551618	1.513146442	2.6e-06	0.000351828	ADAM9
17122098	-0.202244351	-1.150486737	2.61e-06	0.000352026	---
17029847	0.476353234	1.391222561	2.64e-06	0.000355333	---
16885432	0.29750279	1.229015227	2.65e-06	0.000355484	UGGT1
16846121	-0.263514927	-1.200399753	2.68e-06	0.000356842	MRPL10
16888963	0.800868444	1.742149514	2.68e-06	0.000356842	NABP1
17102829	-0.582240529	-1.497172578	2.7e-06	0.000359468	MAOA
16667119	-0.701485774	-1.626178667	2.74e-06	0.000363075	KIAA1107
16671187	-0.628104072	-1.545532586	2.85e-06	0.000376307	NPR1
16920047	0.511073522	1.425110238	2.93e-06	0.000385878	PREX1
16804995	-0.47504534	-1.389961902	2.94e-06	0.000385878	MAN2A2
16939390	-0.576433453	-1.491158333	2.95e-06	0.000386282	SLC25A38
17025609	-0.414254327	-1.332609725	2.96e-06	0.000386569	MPC1
16676988	1.603358676	3.038498702	3.01e-06	0.000392308	HSD11B1
16777651	-0.606811522	-1.522889772	3.05e-06	0.000397233	LNX2
17026031	-0.507725306	-1.421806668	3.14e-06	0.000406903	NA
16985094	0.592668807	1.508033844	3.15e-06	0.000407707	ZSWIM6
17090063	0.375279017	1.297090387	3.17e-06	0.000409013	LINC00963 /// LOC100128077
16982269	0.582728794	1.497679366	3.21e-06	0.000412144	FAT1
16849072	-0.451119559	-1.367100741	3.21e-06	0.000412144	SRP68
16866974	-0.907470701	-1.875754086	3.25e-06	0.000415287	GNG7 /// LOC101929097
16765809	0.732962471	1.662048488	3.29e-06	0.000419318	MMP19
16853631	0.560686386	1.474970792	3.3e-06	0.000419592	EPB41L3
16702836	1.486729212	2.802528825	3.32e-06	0.000421888	MRC1 /// LOC105369233
16917939	0.327183315	1.254561604	3.34e-06	0.000422361	CST3
16703036	0.66270229	1.583045026	3.35e-06	0.000423594	PLXDC2
16740914	-0.936192103	-1.913471089	3.4e-06	0.000428057	PC
