hgnc_symbol	entrezgene	dis_score	GC_score	Type
RELA	5970	0.03	13.65	InflGene
TRPV1	7442	0.32	13.68	InflGene
IRF1	3659	0.01	13.89	InflGene
TNFRSF11B	4982	0.31	13.92	InflGene
MBL2	4153	0.02	13.95	InflGene
TREX1	11277	0.3	14.23	InflGene
IL4R	3566	0.01	14.32	InflGene
TIMP1	7076	0.31	14.41	InflGene
CTSG	1511	0.01	14.47	InflGene
CD40	958	0.03	14.76	InflGene
RETN	56729	0.03	14.76	InflGene
DEFB4A	1673	0.02	14.82	InflGene
ANXA1	301	0.02	14.83	InflGene
MMP2	4313	0.31	15	InflGene
SELP	6403	0.02	15.03	InflGene
CXCL2	2920	0.3	15.1	InflGene
THBD	7056	0.01	15.67	InflGene
ADA2	51816	0.01	15.79	InflGene
CSF2	1437	0.31	15.97	InflGene
MMP3	4314	0.03	16.01	InflGene
TNFAIP3	7128	0.3	16.07	InflGene
VEGFA	7422	0.33	16.15	InflGene
CASP1	834	0.3	16.37	InflGene
VWF	7450	0.02	16.39	InflGene
CHI3L1	1116	0.01	16.59	InflGene
LEP	3952	0.37	16.79	InflGene
TNFSF15	9966	0.31	17.09	InflGene
KNG1	3827	0.02	17.21	InflGene
TSLP	85480	0.31	17.31	InflGene
MUC1	4582	0.01	17.34	InflGene
C3	718	0.01	17.37	InflGene
CXCL1	2919	0.02	17.46	InflGene
CXCR3	2833	0.31	17.47	InflGene
CCL3	6348	0.3	17.81	InflGene
ADIPOQ	9370	0.36	17.84	InflGene
PPARG	5468	0.32	18.07	InflGene
CXCL10	3627	0.03	18.28	InflGene
F2	2147	0.01	18.64	InflGene
S100A9	6280	0.02	18.66	InflGene
IL12B	3593	0.01	19.26	InflGene
TLR9	54106	0.31	19.36	InflGene
SAA1	6288	0.02	19.94	InflGene
FCGR2A	2212	0.01	20.05	InflGene
NOS2	4843	0.31	20.62	InflGene
TLR3	7098	0.01	20.85	InflGene
IL12A	3592	0.01	21.05	InflGene
MIF	4282	0.36	21.24	InflGene
IL1A	3552	0.3	21.39	InflGene
C4A	720	0.01	21.65	InflGene
TLR2	7097	0.36	21.71	InflGene
FASLG	356	0.01	22.01	InflGene
HMGB1	3146	0.34	22.08	InflGene
CFTR	1080	0.02	22.39	InflGene
FOXP3	50943	0.02	23.1	InflGene
ABCB1	5243	0.01	23.47	InflGene
IL18	3606	0.04	23.53	InflGene
STAT3	6774	0.3	24.22	InflGene
CCL5	6352	0.02	24.29	InflGene
MMP1	4312	0.01	24.91	InflGene
SERPINA1	5265	0.01	25.3	InflGene
VCAM1	7412	0.01	25.37	InflGene
MMP9	4318	0.34	25.38	InflGene
SELE	6401	0.01	26.01	InflGene
FAS	355	0.01	27.26	InflGene
PTGS2	5743	0.37	27.55	InflGene
NFKB1	4790	0.04	27.82	InflGene
IL17A	3605	0.35	27.92	InflGene
ICAM1	3383	0.35	28.54	InflGene
CD40LG	959	0.02	28.6	InflGene
TGFB1	7040	0.38	28.66	InflGene
MPO	4353	0.33	29.01	InflGene
TNFRSF1A	7132	0.02	32.17	InflGene
CCL2	6347	0.34	32.79	InflGene
IFNG	3458	0.36	32.83	InflGene
CCL11	6356	0.3	33.54	InflGene
PRTN3	5657	0.04	33.8	InflGene
IL13	3596	0.31	36.23	InflGene
ELANE	1991	0.04	38.16	InflGene
IL1RN	3557	0.32	39.44	InflGene
MEFV	4210	0.01	39.89	InflGene
IL1B	3553	0.37	40.29	InflGene
NLRP3	114548	0.31	43.83	InflGene
CXCL8	3576	0.4	43.88	InflGene
NOD2	64127	0.03	44.97	InflGene
TLR4	7099	0.35	45.72	InflGene
CRP	1401	0.4	50.27	InflGene
IL10	3586	0.35	64.81	InflGene
IL6	3569	0.37	79.59	InflGene
TNF	7124	0.4	79.95	InflGene
